arm,iv,seed,receiver,step,n_per_boundary,pos,pos_equalunit,neg,neg_equalunit,l2,l2_equalunit,pre,pre_equalunit,actual,actual_equalunit,rounding,rounding_equalunit,fraction_down_at20
SNA,none,0,positive,1,16357.263157894737,-0.022754140717651403,-0.013932862122345756,0.003675472034153677,0.005047386028389816,0.0,0.0,0.0005502174093413204,0.0003428059739961124,-0.018528451960730018,-0.008542670538993236,-6.86573610709907e-10,-4.1903340869533573e-10,0.6796717653718073
SNA,none,0,positive,2,16357.263157894737,-0.05360840910407723,-0.031756492944283184,0.00800116390143804,0.010447847148836948,0.0,0.0,0.0010391120323124932,0.0006505063205933893,-0.04456813490340861,-0.020658140508075896,-1.7330819138851302e-09,-1.0332230437942415e-09,0.6796717653718073
SNA,none,0,positive,3,16357.263157894737,-0.0912087434776856,-0.05317429611390192,0.01359578035596107,0.017215789536762265,0.0,0.0,0.0014765868504499804,0.0009265555185004116,-0.0761363788560542,-0.03503195281295721,-2.584779653427599e-09,-1.7543179580305036e-09,0.6796717653718073
SNA,none,0,positive,4,16357.263157894737,-0.13063718262112006,-0.07503114614363239,0.020325638634584062,0.025000480308554927,0.0,0.0,0.0018655394190665853,0.0011725129844393258,-0.10844600800362408,-0.048858154874179514,-3.4361546557215154e-09,-2.0235413720947993e-09,0.6796717653718073
SNA,none,0,positive,5,16357.263157894737,-0.17167882982487034,-0.09728302546394012,0.027365696104029672,0.03354062371868323,0.0,0.0,0.0022092391423934057,0.0013902291001314433,-0.14210389887803995,-0.06235217512844461,-4.2995927071905575e-09,-2.4833191750203365e-09,0.6796717653718073
SNA,none,0,positive,6,16357.263157894737,-0.2128746640485458,-0.11903905725001956,0.03457240222015972,0.042448695065001436,0.0,0.0,0.0025142548026963695,0.0015842057468284073,-0.1757880111310869,-0.07500615890051542,-4.105397181651655e-09,-2.462325692218749e-09,0.6796717653718073
SNA,none,0,positive,7,16357.263157894737,-0.2520737375006579,-0.13890051885757673,0.04244544634625756,0.051609015248136776,0.0,0.0,0.0027883037689045904,0.0017581025340664153,-0.2068399893555472,-0.08553340279073969,-1.9700514736125992e-09,-1.7153661124587016e-09,0.6796717653718073
SNA,none,0,positive,8,16357.263157894737,-0.2889471861998396,-0.15772652395892903,0.050268417293239887,0.06022424497180744,0.0,0.0,0.0030347699579693545,0.0019144970251876309,-0.23564399916568943,-0.0955877828299371,-2.17058998706192e-10,-8.680031394100906e-10,0.6796717653718073
SNA,none,0,positive,9,16357.263157894737,-0.32388400891761493,-0.17538760317988697,0.05820696507511287,0.06817771931646205,0.0,0.0,0.003255451102955912,0.0020545628307518005,-0.26242158998449233,-0.10515532043620088,2.755053801555159e-09,5.964722560091846e-10,0.6796717653718073
SNA,none,0,positive,10,16357.263157894737,-0.35597122939134307,-0.1923101158625948,0.06582477892404567,0.07497815754420636,0.0,0.0,0.003453192408382733,0.0021802252647196802,-0.28669325350776137,-0.11515173208794688,4.5511533724399134e-09,9.657218873650776e-10,0.6796717653718073
