arm,iv,step,pos,neg,l2,pre,actual,rounding
LR,l2,1,-0.014862070360135348,0.0009071831690681702,2.187868695083035e-05,0.00015880660969341026,-0.01365859322326788,-9.964310112211022e-10
LR,l2,5,-0.12543386122068528,0.005071776249843436,0.0003119900140865036,0.0005925618581983582,-0.11392094154836528,-3.213255625622069e-09
LR,l2,10,-0.24177152646969713,0.01171180074606395,0.0011212775275079823,0.0008998463450917856,-0.22771232293796084,4.275885415890087e-09
LR,l2,20,-0.28367264274357035,0.00599829177890493,0.003952892881071251,0.0011834995190850915,-0.27951850241891907,3.096557152945445e-08
LR,none,1,-0.011855203554299342,0.005306400232273933,0.0,-1.9829124342523422e-06,-0.006347444527483667,-3.3700335442595095e-10
LR,none,5,-0.10084393651504024,0.051008986909782915,0.0,-2.8307485411755457e-05,-0.048310302690048317,-8.147011189841577e-10
LR,none,10,-0.20648227214189882,0.11640544733993263,0.0,-5.962314242029646e-05,-0.08821547232336836,2.2231170558881962e-09
LR,none,20,-0.3250657891252334,0.16699751171883562,0.0,-9.294815265749834e-05,-0.1612095813094038,1.3918771289561135e-08
SNA,l2,1,-0.014579719810482738,0.00492288686990474,1.3860956992516268e-05,-2.6129516301772152e-05,-0.009473353050592308,-5.585259678062305e-10
SNA,l2,5,-0.10821262568818932,0.03319640577016492,0.00018688048106469313,-0.00014084359196463856,-0.0703689981548793,-1.8757436039909284e-09
SNA,l2,10,-0.21237006829584149,0.06423353281966035,0.0006384050805221905,-0.0002474919972486252,-0.1524145060018518,2.6603748789864484e-09
SNA,l2,20,-0.2921146738437707,0.07365736097909846,0.0022251975264004653,-0.0003496537459318657,-0.2131773496550276,2.1030422243903878e-08
SNA,none,1,-0.01331370294861707,0.006355575850716851,0.0,-0.0001357875259767353,-0.006654682527635699,-3.757546033454007e-10
SNA,none,5,-0.09188165892789958,0.04516495152362877,0.0,-0.0005500631044527724,-0.04548619972606776,-8.004916744939972e-10
SNA,none,10,-0.18450096137450966,0.10002243393056616,0.0,-0.0008691324264820169,-0.08142030328789034,8.724398944841207e-10
SNA,none,20,-0.3212848436163032,0.16151050664630748,0.0,-0.001164544126704222,-0.17902640909951903,1.1562144517363731e-08
