step,n_negative,n_neg_local_up,n_neg_local_up_actual_down,n_neg_local_up_current_down,n_valid,n_opposed,arm,iv,seed,task
1,740,396,88,89,1599,487,SNA,l2,0,2
2,751,356,148,126,1600,626,SNA,l2,0,2
3,787,378,200,123,1600,485,SNA,l2,0,2
4,811,364,178,107,1600,558,SNA,l2,0,2
5,852,389,245,119,1600,568,SNA,l2,0,2
6,909,382,257,91,1599,613,SNA,l2,0,2
7,935,428,228,64,1599,532,SNA,l2,0,2
8,916,392,188,85,1599,469,SNA,l2,0,2
9,964,435,209,79,1599,554,SNA,l2,0,2
10,906,366,181,120,1600,579,SNA,l2,0,2
11,906,363,181,119,1600,581,SNA,l2,0,2
12,894,382,242,108,1600,628,SNA,l2,0,2
13,903,395,220,93,1600,611,SNA,l2,0,2
14,879,322,174,61,1600,594,SNA,l2,0,2
15,872,321,176,89,1600,582,SNA,l2,0,2
16,882,372,197,121,1600,627,SNA,l2,0,2
17,863,387,236,116,1599,654,SNA,l2,0,2
18,848,308,147,75,1600,682,SNA,l2,0,2
19,820,345,149,80,1600,660,SNA,l2,0,2
20,827,341,157,90,1599,702,SNA,l2,0,2
1,829,405,175,181,1600,573,SNA,l2,0,3
2,820,415,146,105,1600,484,SNA,l2,0,3
3,887,432,248,145,1600,653,SNA,l2,0,3
4,913,445,226,89,1600,552,SNA,l2,0,3
5,986,488,199,93,1600,441,SNA,l2,0,3
6,1011,495,248,154,1600,542,SNA,l2,0,3
7,1062,506,274,158,1600,584,SNA,l2,0,3
8,1058,480,313,115,1599,666,SNA,l2,0,3
9,1061,507,313,144,1600,599,SNA,l2,0,3
10,1070,493,305,140,1600,591,SNA,l2,0,3
11,1086,469,272,89,1600,596,SNA,l2,0,3
12,1095,457,226,127,1600,556,SNA,l2,0,3
13,1109,501,284,162,1600,593,SNA,l2,0,3
14,1102,532,307,161,1600,665,SNA,l2,0,3
15,1120,488,284,143,1599,630,SNA,l2,0,3
16,1160,558,283,157,1598,597,SNA,l2,0,3
17,1134,505,243,150,1600,600,SNA,l2,0,3
18,1107,488,237,121,1600,628,SNA,l2,0,3
19,1102,489,227,133,1600,634,SNA,l2,0,3
20,1098,508,209,151,1598,618,SNA,l2,0,3
1,809,427,185,182,1599,528,SNA,l2,0,4
2,864,407,190,159,1600,540,SNA,l2,0,4
3,899,458,240,183,1600,547,SNA,l2,0,4
4,960,532,300,210,1600,650,SNA,l2,0,4
5,1024,560,320,151,1600,628,SNA,l2,0,4
6,1083,561,345,108,1600,668,SNA,l2,0,4
7,1087,534,353,116,1600,710,SNA,l2,0,4
8,1098,580,392,112,1600,710,SNA,l2,0,4
9,1122,542,323,161,1600,573,SNA,l2,0,4
10,1158,529,314,131,1600,564,SNA,l2,0,4
11,1136,557,397,167,1598,672,SNA,l2,0,4
12,1199,608,404,129,1599,650,SNA,l2,0,4
13,1204,569,349,128,1598,634,SNA,l2,0,4
14,1192,503,331,158,1599,638,SNA,l2,0,4
15,1242,593,385,196,1598,657,SNA,l2,0,4
16,1230,658,386,122,1599,660,SNA,l2,0,4
17,1260,610,342,115,1598,668,SNA,l2,0,4
18,1268,585,317,118,1600,676,SNA,l2,0,4
19,1265,596,280,115,1599,619,SNA,l2,0,4
20,1261,580,305,228,1599,682,SNA,l2,0,4
1,911,491,150,132,1600,521,SNA,l2,0,5
2,920,473,206,200,1599,596,SNA,l2,0,5
3,935,470,217,184,1600,551,SNA,l2,0,5
4,1013,522,313,129,1600,678,SNA,l2,0,5
5,1052,552,348,174,1600,709,SNA,l2,0,5
6,1104,549,340,182,1599,691,SNA,l2,0,5
7,1126,567,351,136,1600,631,SNA,l2,0,5
8,1115,560,331,135,1600,671,SNA,l2,0,5
9,1147,507,332,197,1600,586,SNA,l2,0,5
10,1164,552,353,157,1600,592,SNA,l2,0,5
11,1136,553,365,161,1599,631,SNA,l2,0,5
12,1151,553,374,162,1599,624,SNA,l2,0,5
13,1162,552,341,133,1600,665,SNA,l2,0,5
14,1165,538,309,118,1600,625,SNA,l2,0,5
15,1171,555,332,176,1599,660,SNA,l2,0,5
16,1213,600,303,162,1599,571,SNA,l2,0,5
17,1172,570,240,143,1598,589,SNA,l2,0,5
18,1199,555,259,112,1597,673,SNA,l2,0,5
19,1182,546,224,187,1600,648,SNA,l2,0,5
20,1181,521,237,191,1597,637,SNA,l2,0,5
1,1016,581,124,116,1600,530,SNA,l2,0,6
2,976,539,170,206,1600,612,SNA,l2,0,6
3,1000,539,217,187,1600,623,SNA,l2,0,6
4,938,487,199,157,1600,553,SNA,l2,0,6
5,941,446,258,222,1600,626,SNA,l2,0,6
6,1015,472,282,202,1600,610,SNA,l2,0,6
7,993,494,274,124,1600,595,SNA,l2,0,6
8,1003,455,264,187,1600,637,SNA,l2,0,6
9,978,460,261,153,1599,607,SNA,l2,0,6
10,980,476,284,163,1600,599,SNA,l2,0,6
11,1039,499,334,183,1599,637,SNA,l2,0,6
12,1050,499,272,91,1598,629,SNA,l2,0,6
13,1050,445,311,220,1600,665,SNA,l2,0,6
14,1089,459,308,148,1598,633,SNA,l2,0,6
15,1100,486,296,167,1600,588,SNA,l2,0,6
16,1102,503,331,171,1598,617,SNA,l2,0,6
17,1119,507,277,108,1598,579,SNA,l2,0,6
18,1139,505,268,187,1600,555,SNA,l2,0,6
19,1128,493,276,160,1600,613,SNA,l2,0,6
20,1113,472,268,151,1599,689,SNA,l2,0,6
1,1017,558,195,179,1600,507,SNA,l2,0,7
2,1011,519,202,202,1600,585,SNA,l2,0,7
3,1030,553,241,205,1600,547,SNA,l2,0,7
4,1067,552,255,182,1600,629,SNA,l2,0,7
5,1087,499,243,217,1600,611,SNA,l2,0,7
6,1077,549,301,154,1600,620,SNA,l2,0,7
7,1109,623,296,128,1600,540,SNA,l2,0,7
8,1118,544,306,170,1600,656,SNA,l2,0,7
9,1137,526,296,193,1600,612,SNA,l2,0,7
10,1168,524,304,176,1599,666,SNA,l2,0,7
11,1162,604,326,108,1600,638,SNA,l2,0,7
12,1180,553,282,190,1600,641,SNA,l2,0,7
13,1171,555,317,193,1599,661,SNA,l2,0,7
14,1159,585,295,133,1599,637,SNA,l2,0,7
15,1145,566,294,185,1600,612,SNA,l2,0,7
16,1175,532,270,190,1600,594,SNA,l2,0,7
17,1162,525,285,153,1599,640,SNA,l2,0,7
18,1145,487,263,195,1598,628,SNA,l2,0,7
19,1159,484,272,193,1600,676,SNA,l2,0,7
20,1114,534,256,168,1599,577,SNA,l2,0,7
1,941,480,223,211,1600,567,SNA,l2,0,8
2,966,462,234,177,1600,611,SNA,l2,0,8
3,981,466,238,137,1600,551,SNA,l2,0,8
4,1000,538,277,107,1600,624,SNA,l2,0,8
5,1030,484,337,256,1600,710,SNA,l2,0,8
6,1080,494,331,240,1600,576,SNA,l2,0,8
7,1064,532,329,179,1599,564,SNA,l2,0,8
8,1073,589,335,134,1600,630,SNA,l2,0,8
9,1075,501,280,163,1599,627,SNA,l2,0,8
10,1068,552,354,128,1600,691,SNA,l2,0,8
11,1082,506,294,151,1600,645,SNA,l2,0,8
12,1082,448,254,183,1600,575,SNA,l2,0,8
13,1080,465,295,222,1600,572,SNA,l2,0,8
