task,arm,seed,online_acc,online_loss,train_acc,train_loss,val_acc,val_loss,samples,steps,online_global_acc,train_global_acc,val_global_acc,train_seconds,seconds,online_chunks
1,SNA,0,0.5179359912872314,1.1615385806655882,0.6128,0.9486478881835938,0.584,1.0598988647460938,62500,500,0.5175999999046326,0.6128,0.584,48.72615418297937,50.90694237500429,"[0.4066399931907654, 0.49503999948501587, 0.5376799702644348, 0.561199963092804, 0.5891199707984924]"
2,SNA,0,0.7571359872817993,0.644006972158432,0.8512,0.399932470703125,0.748,0.7173905944824219,62500,500,0.7568640112876892,0.8512,0.748,31.502041808969807,32.99453088402515,"[0.6254400014877319, 0.7553600072860718, 0.7816799879074097, 0.803119957447052, 0.8200799822807312]"
3,SNA,0,0.6825119853019714,0.7692648622665405,0.784,0.5352046516418457,0.728,0.7238674011230469,62500,500,0.6821119785308838,0.784,0.728,31.61368551501073,33.08318312501069,"[0.5451200008392334, 0.6657599806785583, 0.7111999988555908, 0.7348799705505371, 0.7555999755859375]"
4,SNA,0,0.6610080003738403,0.8871777813415527,0.738,0.6925555526733398,0.724,0.8181146240234375,62500,500,0.6605280041694641,0.738,0.724,31.69125522498507,33.37679772794945,"[0.5418399572372437, 0.6403999924659729, 0.6852799654006958, 0.7055999636650085, 0.7319200038909912]"
5,SNA,0,0.6772639751434326,0.840245649734497,0.8012,0.5481529647827148,0.7,0.8259819641113281,62500,500,0.6768320202827454,0.8012,0.7,31.755738716979977,33.23696177097736,"[0.5622400045394897, 0.6571999788284302, 0.7009599804878235, 0.7209599614143372, 0.7449600100517273]"
6,SNA,0,0.6842399835586548,0.8344943707504272,0.8112,0.5292559356689454,0.668,0.8540504760742188,62500,500,0.6838560104370117,0.8112,0.668,31.79683514300268,33.27916944999015,"[0.5588799715042114, 0.6676799654960632, 0.7091999650001526, 0.7321599721908569, 0.753279983997345]"
7,SNA,0,0.8188639879226685,0.46714252099227904,0.9196,0.2134751739501953,0.884,0.28317706298828127,62500,500,0.8184959888458252,0.9196,0.884,31.821574727015104,33.2960463949712,"[0.7060799598693848, 0.8071999549865723, 0.8379199504852295, 0.8632799983024597, 0.8798399567604065]"
8,SNA,0,0.7221119999885559,0.7208861230430603,0.836,0.4497757671356201,0.736,0.7140057067871094,62500,500,0.7216640114784241,0.836,0.736,31.837573213037103,33.31044985796325,"[0.6098399758338928, 0.7119199633598328, 0.7370399832725525, 0.7639999985694885, 0.7877599596977234]"
9,SNA,0,0.8189280033111572,0.4990727001914978,0.9196,0.23108151626586915,0.792,0.6787702331542969,62500,500,0.818560004234314,0.9196,0.792,31.838049791986123,33.36464855802478,"[0.7279199957847595, 0.8076799511909485, 0.8378399610519409, 0.8531999588012695, 0.8679999709129333]"
10,SNA,0,0.6999840140342712,0.7618405436382293,0.784,0.5391079360961915,0.624,1.09277001953125,62500,500,0.6995199918746948,0.784,0.624,31.856002677988727,33.429383423004765,"[0.5899999737739563, 0.6863999962806702, 0.7211999893188477, 0.7389599680900574, 0.7633599638938904]"
11,SNA,0,0.7992159724235535,0.5517337710380554,0.8716,0.3583878921508789,0.768,0.650024169921875,62500,500,0.7987679839134216,0.8716,0.768,31.932508515019435,33.54701533395564,"[0.6888799667358398, 0.7869600057601929, 0.8208799958229065, 0.8387199640274048, 0.8606399893760681]"
12,SNA,0,0.8222240209579468,0.4849889263534546,0.9132,0.23864248161315918,0.856,0.4344824371337891,62500,500,0.8219680190086365,0.9132,0.856,32.09313748497516,33.677912008948624,"[0.7072799801826477, 0.817359983921051, 0.8395199775695801, 0.8659999966621399, 0.8809599876403809]"
