seed,env,checkpoint,layer,branch,task,step,ce,acc,online_ce,online_acc
0,PM,50,1,A,51,0,9.44906234741211,0.11250000447034836,,
0,PM,50,1,B20,51,0,9.44906234741211,0.11250000447034836,,
0,PM,50,1,C20,51,0,9.44906234741211,0.11250000447034836,,
0,PM,50,1,D20,51,0,9.44906234741211,0.11250000447034836,,
0,PM,50,1,C5,51,0,9.44906234741211,0.11250000447034836,,
0,PM,50,1,D5,51,0,9.44906234741211,0.11250000447034836,,
0,PM,50,1,C10,51,0,9.44906234741211,0.11250000447034836,,
0,PM,50,1,D10,51,0,9.44906234741211,0.11250000447034836,,
0,PM,50,1,RB20,51,0,9.44906234741211,0.11250000447034836,,
0,PM,50,1,RC20,51,0,9.44906234741211,0.11250000447034836,,
0,PM,50,1,RD20,51,0,9.44906234741211,0.11250000447034836,,
1,PM,50,1,A,51,0,11.08011245727539,0.0949999988079071,,
1,PM,50,1,B20,51,0,11.08011245727539,0.0949999988079071,,
1,PM,50,1,C20,51,0,11.08011245727539,0.0949999988079071,,
1,PM,50,1,D20,51,0,11.08011245727539,0.0949999988079071,,
1,PM,50,1,C5,51,0,11.08011245727539,0.0949999988079071,,
1,PM,50,1,D5,51,0,11.08011245727539,0.0949999988079071,,
1,PM,50,1,C10,51,0,11.08011245727539,0.0949999988079071,,
1,PM,50,1,D10,51,0,11.08011245727539,0.0949999988079071,,
1,PM,50,1,RB20,51,0,11.08011245727539,0.0949999988079071,,
1,PM,50,1,RC20,51,0,11.08011245727539,0.0949999988079071,,
1,PM,50,1,RD20,51,0,11.08011245727539,0.0949999988079071,,
2,PM,50,1,A,51,0,13.540525436401367,0.0925000011920929,,
2,PM,50,1,B20,51,0,13.540525436401367,0.0925000011920929,,
2,PM,50,1,C20,51,0,13.540525436401367,0.0925000011920929,,
2,PM,50,1,D20,51,0,13.540525436401367,0.0925000011920929,,
2,PM,50,1,C5,51,0,13.540525436401367,0.0925000011920929,,
