arm,task,unit,m0,dm,cnorm0,fossil,zbar0,pos0,dep_task,align_task,dnorm2,cos_task,gpos,gneg,split_identity
SNA,21,0,-0.014295337574218806,0.0015439251537270836,3.1947404889405946,0.5135111092525685,-1.961206523654786,0.009765625,0.40932198608397885,-0.3118855078141746,0.0974364782698025,-0.07629517565594442,0.027114396242035835,-0.03217702396507133,1.0436096431476471e-14
SNA,21,1,-0.00402578837213009,-0.000725403483501191,3.2286992189093957,0.8089766766533458,0.16351859033690602,0.6015625,0.9512649201019743,-0.24732730503852687,0.7039376150634471,-0.039270256707780934,0.0005049673431749939,-0.008631698093966364,1.0436096431476471e-14
SNA,21,2,0.0056023570669840785,0.0006972190685701234,3.3560869225991077,1.0921815988879273,-0.7180221729861659,0.2421875,0.32597875130735166,-0.4011528079670422,-0.07517405665968013,-0.10467717521805366,0.06792736890856843,-0.07292687692217655,1.0436096431476471e-14
SNA,21,3,-0.016319361546730037,0.005135395706873873,3.106272320788616,0.342250214722722,-1.3030425847808735,0.021484375,0.3861322951492568,-0.2365024000977834,0.14962989505147029,-0.061262958626931666,0.052103228233703155,-0.08555894306222173,1.0436096431476471e-14
SNA,21,4,-0.002864850922617511,0.003859959013028647,3.0065172600007966,0.7026319579483463,-0.7800485827095862,0.181640625,0.6229606669814461,-0.35593390356783877,0.2670267634136074,-0.07499725141521187,0.01856690859342756,-0.047393042748613064,1.0436096431476471e-14
SNA,21,5,-0.010218117177735584,-7.138417759608456e-05,3.2534844274656702,0.7364611707686927,-1.262662375688173,0.08984375,0.37863823204123115,-0.4963251186238193,-0.11768688658258952,-0.1239582097051919,0.05569718620430249,-0.05900199679126397,1.0436096431476471e-14
SNA,21,6,-0.010095106337024734,0.004317407367960503,3.1384295280284378,0.9077254513394877,-1.3347997495752668,0.09765625,0.4496152996360223,-0.10536709775755895,0.3442482018784663,-0.02503468322966155,0.005516158108580996,-0.006199831855010595,1.0436096431476471e-14
SNA,21,7,-0.006014060681100462,0.006871401740663327,3.228194945732575,0.9395393126998434,-0.5733705409702443,0.271484375,0.8256370629919716,-0.262337564566235,0.5632994984257351,-0.044717358703607185,0.0032000582663892193,-0.024202620223303294,1.0436096431476471e-14
SNA,21,8,-0.017442071758504964,0.0005536395439395765,3.160133726933234,0.8433465712226975,-1.1037746325379212,0.095703125,0.43020271443756375,-0.3159956203751991,0.11420709406236007,-0.07622703610061793,0.032211883155118845,-0.034064471510594344,1.0436096431476471e-14
SNA,21,9,0.0029734293431309716,-0.00423838284824169,3.1800983352129713,0.6241696236666389,-0.049867828366297,0.490234375,1.91741788746932,-0.4845521498534676,1.432865737615849,-0.05501886061699535,0.012306009495099472,0.014467402908770856,1.0436096431476471e-14
SNA,21,10,-0.007192805628174214,-0.002371257166023312,2.7057179183368603,0.29545974499334987,-1.0446808481240717,0.0234375,0.3385019669105855,-0.19880105091956085,0.13970091599102386,-0.06314305122257347,0.042865603459845414,-0.029028656124790737,1.0436096431476471e-14
SNA,21,11,-0.005289499290910851,0.005172472929708807,3.196398535935463,0.9610454037366343,-1.20213550420613,0.126953125,1.52095029094754,-0.6652218074889817,0.8557284834585577,-0.08437582826643227,0.007691770229900343,-0.02495655690143221,1.0436096431476471e-14
SNA,21,12,-0.01261386071837478,-0.0015345839370935655,3.0138176763309916,0.6537326895347584,-1.3278251428091044,0.076171875,0.8796128081834438,-0.2047381229462419,0.6748746852372012,-0.03621645799660591,0.039207342227243,-0.02387769905057632,1.0436096431476471e-14
SNA,21,13,-0.012198914834893262,-0.004211032320886349,3.0478245902603733,0.6430812439411757,-1.768964763533785,0.0390625,1.0727887315209743,0.4354373996750719,1.5082261311960412,0.06896816354520305,0.024006624812951172,-0.008971243899490363,1.0436096431476471e-14
SNA,21,14,-0.014856658755332095,0.004165069871658267,2.9818942381815403,0.7951747233067369,-1.1689714176365185,0.06640625,0.8026021195108286,-0.20875224556342525,0.5938498739474039,-0.03907138202551827,0.004460868302753879,-0.024306752599033383,1.0436096431476471e-14
SNA,21,15,-0.004636343363774024,0.002180007312063023,2.966467988684081,0.6516529548825338,-0.6233000151291446,0.255859375,0.8108217321263403,0.08824260410606787,0.8990643362324047,0.01651756269493863,-0.03330902521862495,0.02291835196007462,1.0436096431476471e-14
SNA,21,16,-0.010630812813346614,0.00204006658984735,2.9560226480929983,0.46739530300225834,-1.2349863618879084,0.05859375,0.20235592332255542,-0.36994372498548844,-0.16758780166292908,-0.13910410669174156,0.03184959186487648,-0.04279677805504364,1.0436096431476471e-14
SNA,21,17,-0.0063087541446070735,0.0007245820104762215,2.974875782182042,0.5161848725926264,-0.43907860229738316,0.310546875,0.30121092812051337,-0.33143785041281865,-0.03022692229230195,-0.1015004364261793,0.04894392466016975,-0.048697993124714366,1.0436096431476471e-14
SNA,21,18,-0.004661306311892095,-2.2451328212425465e-06,3.202809385608769,0.4427747867835164,-0.8787749903463706,0.111328125,0.19664381783102028,-0.2815952522512791,-0.08495143442025999,-0.09913433356200813,0.07055616769325831,-0.06666933298699664,1.0436096431476471e-14
SNA,21,19,-0.00394630280442823,-0.004675318017577915,3.1572420105884076,0.8471656482297799,-0.9893404184330254,0.158203125,0.5053354124405672,-0.22736860994541275,0.2779668024951576,-0.05065271998386877,0.03475372689293891,-0.006647515289310181,1.0436096431476471e-14
SNA,21,20,0.0004658073307837185,0.00021233270502548217,3.36900017851599,0.6820286254004905,-0.6389892723057369,0.2265625,0.3633669055399563,-0.1290430149239865,0.23432389061597192,-0.03177099281571625,0.036303923200546304,-0.03503008451640055,1.0436096431476471e-14
SNA,21,21,0.0004954915635904882,0.0008418183246323341,3.1735023597995635,0.5447170823676613,-0.10296899721263542,0.453125,0.43368911549096534,-0.19833903820152993,0.23535007728943924,-0.04745151909757344,0.027315558905044855,-0.03104026416497833,1.0436096431476471e-14
SNA,21,22,-0.00011583207956809186,0.006341626829478683,3.2122780181973063,0.8085917004598011,-0.9384595868372532,0.16015625,0.6728933302488218,-0.39626392301160146,0.27662940723721796,-0.075191422571835,0.008336152646869448,-0.04590940964477109,1.0436096431476471e-14
SNA,21,23,0.009037524498645715,0.0015302741273760074,3.3592260590193086,0.963480178336111,1.116987008144239,0.86328125,0.7498020756206085,-0.416754296196468,0.33304777942414177,-0.07163702470899656,0.014052348283936918,-0.008863810454700369,1.0436096431476471e-14
SNA,21,24,-0.008629165195942529,0.0020228486609623337,2.8391624938777746,0.3740095072972789,-0.4695966114610809,0.232421875,1.0515313547254765,-0.20546677933148816,0.8460645753939904,-0.03528663579971231,0.026436685940212413,-0.013843437278023098,1.0436096431476471e-14
SNA,21,25,-0.001957827787696353,0.002316045581479483,3.063212971179506,0.4694721512597668,-0.6798795531618322,0.19140625,0.20414013273503603,-0.25000665416928985,-0.04586652143425596,-0.09031922108261285,0.039365084307806504,-0.05384476384568107,1.0436096431476471e-14
SNA,21,26,-0.01081782994151117,0.007388203828478098,3.1248965558035326,0.6182689702397847,-2.141888662492688,0.0078125,0.6238273259902198,-0.3112072526959494,0.31262007329427277,-0.06304517743828798,0.006350195553438761,-0.03671034161815008,1.0436096431476471e-14
SNA,21,27,-0.01793954030025519,0.005667123367713289,3.114440289758096,0.4772390138708357,-1.5240839443093996,0.029296875,0.33496773485779474,-0.22424746062476938,0.11072027423302622,-0.06220367461731791,0.011793773351056266,-0.035354847789321506,1.0436096431476471e-14
SNA,21,28,-0.007381304086284589,0.005252534778153439,3.175947874957422,0.42266312278292584,-1.2875303944048602,0.029296875,0.4207549237304459,-0.17952232292484246,0.24123260080560094,-0.043571297620031806,0.0061018899999915705,-0.02630116971472506,1.0436096431476471e-14
SNA,21,29,-0.015552202977362737,0.0028561595882653167,3.163501556140087,0.44986893165121916,-1.307937354157654,0.09765625,0.5701351478291098,-0.40291095688332695,0.16722419094577923,-0.08433777167265763,0.0414921310467395,-0.05100955584272173,1.0436096431476471e-14
SNA,21,30,0.004942591565386279,-0.004000604209420774,3.2201557947169768,0.706220968729372,-0.5638764147252047,0.212890625,0.2685103715696019,-0.2517646115019007,0.01674576006770856,-0.07544097151504521,0.04946050341157181,-0.03402510210067609,1.0436096431476471e-14
SNA,21,31,-0.014158577324196255,-0.0018919643537394523,2.999650620165389,0.5825829297025741,-0.5953271248788944,0.173828125,0.21415465563699068,-0.33111567652255364,-0.11696102088555804,-0.11926563177723834,0.07112305857022838,-0.058526586376937646,1.0436096431476471e-14
SNA,21,32,-0.0039254575071658,-0.0009453188923933903,3.255731146162603,1.0759877280101275,0.20473497123184772,0.587890625,1.208452868280594,-0.6342982281302785,0.5741546401503097,-0.08861354478706888,0.06087926523242188,-0.025055407875562905,1.0436096431476471e-14
SNA,21,33,-0.007992181077748238,0.002832554697930593,3.0641027765961173,0.45776446708706553,-0.6347896434683563,0.17578125,0.4022156239815272,-0.3176605377037305,0.08455508627779729,-0.08173357106422537,0.01521635142839562,-0.02884346733140359,1.0436096431476471e-14
SNA,21,34,-0.016141619825192514,0.0014630281198986653,3.3807831568549034,0.6549141919028667,-1.6816246900337755,0.021484375,0.3848559273773737,-0.043171518364638166,0.34168440901273556,-0.010292027114552831,0.007811522758634718,-0.019557272186929733,1.0436096431476471e-14
SNA,21,35,0.002038531467313041,-0.00197601980725341,3.604204665289334,0.8040725781397612,1.1714662132272662,0.900390625,0.9469700642925687,-0.8505587499736942,0.0964113143188765,-0.12125418904720121,0.0654408710469742,-0.029949035168301063,1.0436096431476471e-14
SNA,21,36,-0.002226363696202182,0.0036350859247658244,3.144089875271066,0.8569991526751598,-1.0116281227428787,0.150390625,0.3847951433822977,-0.290972139049277,0.09382300433302326,-0.07459533488478409,0.027176780812411053,-0.04623708349630765,1.0436096431476471e-14
