arm,task,unit,m0,dm,cnorm0,fossil,zbar0,pos0,dep_task,align_task,dnorm2,cos_task,gpos,gneg,dm20,dm100,gpos20,gneg20,split_identity
R,21,0,-0.021190514482181504,0.015868684824454193,3.2051852364348936,0.7233489420149376,-1.8358586354254016,0.01171875,3.0533443774153937,-0.7610027194780578,2.292341657937337,-0.06793837963707607,-0.021839904208509408,0.0,-0.00013020705268807406,0.011504724067203731,-1.1244035206869785e-05,0.0,9.270362255620057e-15
R,21,1,-0.027273163349236153,-0.0021193941935721042,3.067167491934584,0.6160460015368292,-2.2717042201873197,0.00390625,0.0518204265201368,-0.029055534484405718,0.02276489203573462,-0.020807068117112016,0.002170197172578515,0.0,3.445734642921206e-07,-0.0010836167415135955,0.0,0.0,9.270362255620057e-15
R,21,2,-0.03230032972925649,0.0,2.4218216407939113,0.30424151735675325,-3.849275518354992,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,3,-0.0241569997631591,-0.000925726190463156,3.7735255564244192,1.0312612235029164,-2.7160812339429294,0.00390625,0.014467355001679151,-0.013539888835388297,0.0009274661662903583,-0.01491568620969586,0.0032183058745257833,0.0,-0.00016033762294311453,-0.0004511705284891592,0.0003557439200024458,0.0,9.270362255620057e-15
R,21,4,-0.018957004504119718,0.004141529251367563,3.2621061501912245,0.7863709156895975,-0.8074245216158565,0.15234375,3.0014631306541086,-0.5902715787561409,2.411191551897966,-0.052222454660237186,-0.0004274429611487511,0.0,0.0006941257834114366,0.00666421415494091,0.0019216784585937903,0.0,9.270362255620057e-15
R,21,5,-0.02132838362497435,-0.0007904064043718878,2.8025808936173933,0.8543036473038137,-2.38422913539641,0.00390625,0.029528070668446572,0.01595735115241916,0.045485421820867344,0.016567428833707924,0.002499793864514923,0.0,0.0002455325342155874,0.0002798962699560027,0.0,0.0,9.270362255620057e-15
R,21,6,-0.02390837714158676,0.0024150529556097836,4.0486357890714695,0.9556619919217204,-1.2040017742513556,0.1328125,2.180383741087225,-0.4330840337955978,1.7472997072916279,-0.036221547451163315,-0.022605203118364198,0.0,-0.0004775139754090151,0.0020517315446972025,-0.0012084616758246888,0.0,9.270362255620057e-15
R,21,7,-0.02361629297401847,-0.0013975085066518583,3.012456506958837,0.6306580152728857,-2.6341868945752127,0.0,0.03846323157898178,0.022601532929958427,0.06106476450893794,0.019127765105798483,0.001468968921873957,0.0,0.0007822135829307943,-0.001392303734101748,0.0,0.0,9.270362255620057e-15
R,21,8,-0.029646270711036406,0.0,2.7549661850462708,0.33849820196102465,-2.8305932088021395,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,9,-0.022083221094288424,0.006803548414572286,3.729867369660311,1.1946576507294098,-2.8159794466831274,0.01171875,1.2129060014618434,-0.07242376213715158,1.1404822393246867,-0.008815442638556673,0.0027691170753355657,0.0,0.0013391631384773953,0.008419072772085203,-0.005683196489179374,0.0,9.270362255620057e-15
R,21,10,0.0019012701541028872,-0.006563759725446394,3.95462754816262,1.052210234796415,-0.44573800935435004,0.357421875,0.5829181014065691,0.15327414226640473,0.7361922436729706,0.0253822162920076,0.056197980572775155,0.0,-0.0040902681030274834,-0.0002087797941626659,0.05502982442264285,0.0,9.270362255620057e-15
R,21,11,-0.017310393991242654,0.0011404951614241898,3.75731389750663,0.6883606421626371,-1.9990554500017603,0.029296875,0.27625247267743325,0.07118553974420413,0.3474380124216321,0.018023171728615686,-0.005096564692276825,0.0,-2.0529683956274093e-05,0.002532120156854722,-0.0008600682953294538,0.0,9.270362255620057e-15
R,21,12,-0.014513252755264426,-0.0022652383426507907,3.9065791713279183,1.0380689040829403,-2.0089304679170317,0.03515625,0.16316834375400124,-0.1275094394485652,0.035658904305433836,-0.04040152497085187,0.013050136248970197,0.0,0.0009852633623880565,-0.00028206442569783945,-0.00280481577713562,0.0,9.270362255620057e-15
R,21,13,-0.01217482497702349,0.0,0.6439484570367167,0.01651220048563924,-1.260971911982148,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,14,-0.02583508497002408,-0.0020922815764216843,2.104805335039203,0.46003419030203113,-2.4030631716603303,0.0,0.03885496460308984,-0.07603939394258556,-0.03718442933949362,-0.09163754723481514,0.00023148244444224362,0.0,6.423249534255236e-07,-0.0020904230617890453,0.0,0.0,9.270362255620057e-15
R,21,15,-0.015685971079594182,0.0,0.8622441507448655,0.038268943195590356,-1.7716783614297102,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
