step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,eval_loss
0,B_w100_K10000_c0.0_lr0.01_bfull_s0,0,0,0,70.7303,26.5828,0.178541,0.501712,0,1.01148
0,B_w100_K10000_c0.0_lr0.01_bfull_s1,0,0,0,70.8685,27.379,0.176651,0.498778,0,1.29038
0,B_w100_K10000_c0.0_lr0.01_bfull_s2,0,0,0,71.0246,27.9266,0.174149,0.4995,0,2.33035
0,B_w100_K10000_c0.0_lr0.01_bfull_s3,0,0,0,71.1171,27.4472,0.175578,0.499654,0,1.28491
0,B_w100_K10000_c0.0_lr0.01_bfull_s4,0,0,0,71.1624,27.5594,0.174051,0.498855,0,1.2478
0,B_w100_K10000_c2.0_lr0.01_bfull_s0,0,0,0,65.6781,23.2662,0.175817,0.503367,0,0.897951
0,B_w100_K10000_c2.0_lr0.01_bfull_s1,0,0,0,66.1695,23.6146,0.176778,0.497787,0,1.05729
0,B_w100_K10000_c2.0_lr0.01_bfull_s2,0,0,0,66.451,24.2264,0.178027,0.498057,0,1.5946
0,B_w100_K10000_c2.0_lr0.01_bfull_s3,0,0,0,65.839,24.5819,0.172255,0.499798,0,1.66165
0,B_w100_K10000_c2.0_lr0.01_bfull_s4,0,0,0,67.3058,25.0356,0.175827,0.499779,0,1.57208
10000,B_w100_K10000_c0.0_lr0.01_bfull_s0,0,0,0,70.984,27.1116,0.176149,0.501751,0,0.044442
10000,B_w100_K10000_c0.0_lr0.01_bfull_s1,0,0,0,71.1881,27.7912,0.174031,0.497884,0,0.0347605
10000,B_w100_K10000_c0.0_lr0.01_bfull_s2,0,0,0,71.1068,28.0386,0.17427,0.499346,0,0.0353724
10000,B_w100_K10000_c0.0_lr0.01_bfull_s3,0,0,0,71.2702,28.0793,0.173307,0.500587,0,0.0369982
10000,B_w100_K10000_c0.0_lr0.01_bfull_s4,0,0,0,71.238,27.7296,0.173762,0.49849,0,0.0362269
10000,B_w100_K10000_c2.0_lr0.01_bfull_s0,0,0,0,66.1558,23.8569,0.175411,0.501684,0,0.0364554
10000,B_w100_K10000_c2.0_lr0.01_bfull_s1,0,0,0,67.0609,24.4645,0.174997,0.497239,0,0.0426675
10000,B_w100_K10000_c2.0_lr0.01_bfull_s2,0,0,0,66.4712,24.4012,0.176196,0.498932,0,0.0403978
10000,B_w100_K10000_c2.0_lr0.01_bfull_s3,0,0,0,66.3264,25.4221,0.170513,0.499596,0,0.0423094
10000,B_w100_K10000_c2.0_lr0.01_bfull_s4,0,0,0,66.7207,25.1731,0.174329,0.498923,0,0.0422422
20000,B_w100_K10000_c0.0_lr0.01_bfull_s0,0,0,0.01,71.0724,27.4801,0.173963,0.499481,0,0.0392532
20000,B_w100_K10000_c0.0_lr0.01_bfull_s1,0,0,0.01,71.4067,28.0991,0.173759,0.498259,0,0.0328045
20000,B_w100_K10000_c0.0_lr0.01_bfull_s2,0,0,0,71.1068,28.1064,0.173827,0.499346,0,0.0390716
20000,B_w100_K10000_c0.0_lr0.01_bfull_s3,0,0,0,71.5584,28.5116,0.172701,0.499702,0,0.0418694
20000,B_w100_K10000_c0.0_lr0.01_bfull_s4,0,0,0,71.3925,28.0739,0.172231,0.498076,0,0.0386021
20000,B_w100_K10000_c2.0_lr0.01_bfull_s0,0,0,0,66.4465,24.4103,0.174372,0.501991,0,0.0402431
20000,B_w100_K10000_c2.0_lr0.01_bfull_s1,0,0,0,66.9379,24.5016,0.175239,0.496739,0,0.0382469
20000,B_w100_K10000_c2.0_lr0.01_bfull_s2,0,0,0,67.2468,25.0392,0.174794,0.497932,0,0.0436879
20000,B_w100_K10000_c2.0_lr0.01_bfull_s3,0,0,0,66.9185,25.8128,0.170149,0.499086,0,0.0463418
20000,B_w100_K10000_c2.0_lr0.01_bfull_s4,0,0,0.01,66.7218,25.6867,0.173186,0.499144,0,0.0389192
30000,B_w100_K10000_c0.0_lr0.01_bfull_s0,0,0,0,71.1638,27.8083,0.173002,0.499307,0,0.0390496
30000,B_w100_K10000_c0.0_lr0.01_bfull_s1,0,0,0,71.532,28.4335,0.172406,0.498961,0,0.0323189
30000,B_w100_K10000_c0.0_lr0.01_bfull_s2,0,0,0,71.204,28.3971,0.171665,0.499144,0,0.0374361
30000,B_w100_K10000_c0.0_lr0.01_bfull_s3,0,0,0,71.6462,28.6986,0.171747,0.498903,0,0.0377864
30000,B_w100_K10000_c0.0_lr0.01_bfull_s4,0,0,0,71.5058,28.3746,0.170763,0.497778,0,0.0352038
30000,B_w100_K10000_c2.0_lr0.01_bfull_s0,0,0,0,66.0758,24.6256,0.172894,0.500298,0,0.0445463
30000,B_w100_K10000_c2.0_lr0.01_bfull_s1,0,0,0,67.3974,24.8369,0.174697,0.496999,0,0.0369594
30000,B_w100_K10000_c2.0_lr0.01_bfull_s2,0,0,0.01,67.2868,25.1875,0.173838,0.497932,0,0.0322999
30000,B_w100_K10000_c2.0_lr0.01_bfull_s3,0,0,0,67.075,26.091,0.17046,0.498393,0,0.0420098
30000,B_w100_K10000_c2.0_lr0.01_bfull_s4,0,0,0,66.6217,25.6391,0.172181,0.499038,0,0.0422225
40000,B_w100_K10000_c0.0_lr0.01_bfull_s0,0,0,0,71.3805,28.3027,0.171023,0.498432,0,0.037698
40000,B_w100_K10000_c0.0_lr0.01_bfull_s1,0,0,0,71.5073,28.2942,0.173523,0.499404,0,0.0396333
40000,B_w100_K10000_c0.0_lr0.01_bfull_s2,0,0,0,71.2293,28.4218,0.171553,0.499202,0,0.0373604
40000,B_w100_K10000_c0.0_lr0.01_bfull_s3,0,0,0,71.7392,29.03,0.170906,0.497999,0,0.0362159
40000,B_w100_K10000_c0.0_lr0.01_bfull_s4,0,0,0,71.606,28.6209,0.16984,0.497595,0,0.0359499
40000,B_w100_K10000_c2.0_lr0.01_bfull_s0,0,0,0,66.0618,24.8329,0.17301,0.499615,0,0.0396477
40000,B_w100_K10000_c2.0_lr0.01_bfull_s1,0,0,0,67.1694,24.8694,0.173828,0.497095,0,0.0430403
40000,B_w100_K10000_c2.0_lr0.01_bfull_s2,0,0,0,68.0967,25.8227,0.173051,0.498653,0,0.0454885
40000,B_w100_K10000_c2.0_lr0.01_bfull_s3,0,0,0,67.4866,26.4989,0.170053,0.49696,0,0.0376752
40000,B_w100_K10000_c2.0_lr0.01_bfull_s4,0,0,0,66.9614,26.0189,0.171883,0.500039,0,0.0384034
50000,B_w100_K10000_c0.0_lr0.01_bfull_s0,0,0,0,71.4384,28.4077,0.171339,0.498874,0,0.0373552
50000,B_w100_K10000_c0.0_lr0.01_bfull_s1,0,0,0,71.7488,28.7339,0.172229,0.499413,0,0.0368258
50000,B_w100_K10000_c0.0_lr0.01_bfull_s2,0,0,0,71.3757,28.5195,0.171209,0.498807,0,0.0353298
50000,B_w100_K10000_c0.0_lr0.01_bfull_s3,0,0,0,71.6199,28.9298,0.171492,0.498913,0,0.0362808
50000,B_w100_K10000_c0.0_lr0.01_bfull_s4,0,0,0.02,71.6141,28.6904,0.169736,0.496864,0,0.0297397
