step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,eval_loss
0,A_w100_T10000_std_lr0.01_b32_s0,0.32,0.0145455,0.31,7.71874,5.13947,0.180477,0.503232,0,1.69095
0,A_w100_T10000_std_lr0.01_b32_s1,0.17,0.0165657,0.15,8.302,4.94911,0.181953,0.499061,0.00020202,1.18451
0,A_w100_T10000_std_lr0.01_b32_s2,0.22,0.00484848,0.2,9.67111,5.11528,0.177063,0.500677,0,1.90813
0,A_w100_T10000_std_lr0.01_b32_s3,0.22,0.0280808,0.2,7.1173,4.96143,0.180118,0.499111,0,0.912842
0,A_w100_T10000_std_lr0.01_b32_s4,0.32,0.0230303,0.26,6.83692,5.08089,0.180265,0.499152,0,0.892092
10000,A_w100_T10000_std_lr0.01_b32_s0,0.34,0.00888889,0.36,10.3056,5.57512,0.18258,0.503465,0,0.000105566
10000,A_w100_T10000_std_lr0.01_b32_s1,0.19,0.0139394,0.17,9.93911,5.29395,0.183606,0.499131,0.00020202,0.000434269
10000,A_w100_T10000_std_lr0.01_b32_s2,0.21,0.00545455,0.22,12.2726,5.64167,0.178694,0.500697,0,1.65494e-06
10000,A_w100_T10000_std_lr0.01_b32_s3,0.23,0.0244444,0.23,8.38187,5.33649,0.180092,0.498586,0,0.000477736
10000,A_w100_T10000_std_lr0.01_b32_s4,0.32,0.0147475,0.31,8.57371,5.3337,0.179934,0.499343,0,0.00096421
20000,A_w100_T10000_std_lr0.01_b32_s0,0.34,0.00525253,0.36,11.4403,5.75049,0.183792,0.503626,0,4.6321e-08
20000,A_w100_T10000_std_lr0.01_b32_s1,0.25,0.0119192,0.22,10.6829,5.15398,0.184936,0.499495,0.00020202,1.73561e-05
20000,A_w100_T10000_std_lr0.01_b32_s2,0.23,0.00363636,0.23,12.8101,5.39766,0.182756,0.499899,0,1.20844e-06
20000,A_w100_T10000_std_lr0.01_b32_s3,0.21,0.0214141,0.19,9.01938,5.29977,0.180555,0.499,0,2.64425e-05
20000,A_w100_T10000_std_lr0.01_b32_s4,0.29,0.0107071,0.26,9.39865,5.23228,0.180738,0.499475,0,9.53584e-05
30000,A_w100_T10000_std_lr0.01_b32_s0,0.32,0.00545455,0.32,11.5423,5.56617,0.185526,0.503848,0,7.72624e-06
30000,A_w100_T10000_std_lr0.01_b32_s1,0.24,0.00868687,0.36,10.9456,5.32004,0.18545,0.499162,0.00020202,7.41969e-08
30000,A_w100_T10000_std_lr0.01_b32_s2,0.23,0.00222222,0.21,13.9846,5.38023,0.184841,0.500313,0,3.89361e-07
30000,A_w100_T10000_std_lr0.01_b32_s3,0.25,0.0155556,0.27,9.79207,5.20674,0.1815,0.498838,0,2.74607e-06
30000,A_w100_T10000_std_lr0.01_b32_s4,0.3,0.00989899,0.27,9.18764,4.99313,0.181685,0.499576,0,2.42986e-06
40000,A_w100_T10000_std_lr0.01_b32_s0,0.37,0.00545455,0.53,11.1402,5.76503,0.186509,0.504152,0,4.28511e-09
40000,A_w100_T10000_std_lr0.01_b32_s1,0.23,0.00505051,0.92,12.1658,5.26771,0.186122,0.499657,0.00020202,6.67473e-12
40000,A_w100_T10000_std_lr0.01_b32_s2,0.19,0.00282828,0.9,13.9084,5.3174,0.185335,0.501535,0,7.29971e-12
40000,A_w100_T10000_std_lr0.01_b32_s3,0.21,0.00828283,0.27,10.5463,5.21626,0.181265,0.49896,0,1.48082e-07
40000,A_w100_T10000_std_lr0.01_b32_s4,0.3,0.00464646,0.29,11.0376,5.31334,0.184579,0.50005,0,6.25103e-06
50000,A_w100_T10000_std_lr0.01_b32_s0,0.42,0.00646465,0.55,10.435,5.68775,0.187214,0.504222,0,1.79872e-09
50000,A_w100_T10000_std_lr0.01_b32_s1,0.29,0.00707071,0.3,11.8426,4.91208,0.187139,0.499596,0.00020202,1.77425e-07
50000,A_w100_T10000_std_lr0.01_b32_s2,0.21,0.00262626,0.72,13.9644,5.29699,0.185137,0.500778,0,3.03278e-11
