step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,eval_loss
0,B_w5_K10000_c0.0_lr0.01_b128_s0,0,0,0,4.78218,4.64775,0.145293,0.447619,0,1.29805
0,B_w5_K10000_c0.0_lr0.01_b128_s1,0,0,0,4.71369,4.0787,0.215246,0.466667,0,1.14531
0,B_w5_K10000_c0.0_lr0.01_b128_s2,0,0,0,4.81126,4.31986,0.220704,0.47619,0,1.99343
0,B_w5_K10000_c0.0_lr0.01_b128_s3,0,0,0,4.76139,4.58768,0.181597,0.485714,0,2.35774
0,B_w5_K10000_c0.0_lr0.01_b128_s4,0,0,0,4.66452,4.28157,0.183269,0.561905,0,1.58596
0,B_w5_K10000_c2.0_lr0.01_b128_s0,0,0,0,4.5993,4.08457,0.244492,0.504762,0,1.76298
0,B_w5_K10000_c2.0_lr0.01_b128_s1,0,0,0,3.89884,2.82632,0.295273,0.466667,0,2.45322
0,B_w5_K10000_c2.0_lr0.01_b128_s2,0,0,0,4.56753,3.79395,0.199618,0.485714,0,3.16938
0,B_w5_K10000_c2.0_lr0.01_b128_s3,0,0,0,4.23087,3.2926,0.111716,0.485714,0,3.87743
0,B_w5_K10000_c2.0_lr0.01_b128_s4,0,0,0,4.59601,4.41814,0.167157,0.52381,0,2.05198
10000,B_w5_K10000_c0.0_lr0.01_b128_s0,0,0,0,4.59914,4.04494,0.174119,0.542857,0,0.0142129
10000,B_w5_K10000_c0.0_lr0.01_b128_s1,0,0,0,4.70345,4.08097,0.260273,0.504762,0,0.00788334
10000,B_w5_K10000_c0.0_lr0.01_b128_s2,0,0,0,4.7732,4.38893,0.153567,0.447619,0,0.00835401
10000,B_w5_K10000_c0.0_lr0.01_b128_s3,0,0,0,4.7564,4.07875,0.246021,0.438095,0,0.0849167
10000,B_w5_K10000_c0.0_lr0.01_b128_s4,0,0,0,4.69257,4.17241,0.18383,0.495238,0,0.0293562
10000,B_w5_K10000_c2.0_lr0.01_b128_s0,0,0,0,4.57954,3.94831,0.208713,0.504762,0,0.0294494
10000,B_w5_K10000_c2.0_lr0.01_b128_s1,0,0,0,3.64275,2.791,0.209445,0.533333,0,0.0257612
10000,B_w5_K10000_c2.0_lr0.01_b128_s2,0,0,0,4.51036,3.79502,0.215834,0.552381,0,0.00570566
10000,B_w5_K10000_c2.0_lr0.01_b128_s3,0,0,0,4.20711,3.0262,0.143194,0.504762,0,0.00711947
10000,B_w5_K10000_c2.0_lr0.01_b128_s4,0,0,0,4.18049,2.84321,0.278556,0.476191,0,0.00930598
20000,B_w5_K10000_c0.0_lr0.01_b128_s0,0,0,0,4.7955,4.68166,0.146457,0.504762,0,0.0195794
20000,B_w5_K10000_c0.0_lr0.01_b128_s1,0,0,0,4.73366,3.99963,0.26453,0.476191,0,0.0153601
20000,B_w5_K10000_c0.0_lr0.01_b128_s2,0,0,0,4.56898,4.07109,0.219933,0.447619,0,0.145718
20000,B_w5_K10000_c0.0_lr0.01_b128_s3,0,0,0,4.71822,4.55021,0.111129,0.514286,0,0.0357278
20000,B_w5_K10000_c0.0_lr0.01_b128_s4,0,0,0,4.7717,4.49593,0.198196,0.47619,0,0.016358
20000,B_w5_K10000_c2.0_lr0.01_b128_s0,0,0,0,4.41824,3.72856,0.156493,0.447619,0,0.00525701
20000,B_w5_K10000_c2.0_lr0.01_b128_s1,0,0,0,3.5406,2.83472,0.265908,0.485714,0,0.0414373
20000,B_w5_K10000_c2.0_lr0.01_b128_s2,0,0,0,4.44461,3.60273,0.24724,0.514286,0,0.0307567
20000,B_w5_K10000_c2.0_lr0.01_b128_s3,0,0,0,4.23873,3.40416,0.152339,0.466667,0,0.0268032
20000,B_w5_K10000_c2.0_lr0.01_b128_s4,0,0,0,4.02545,2.75409,0.326489,0.52381,0,0.0752535
30000,B_w5_K10000_c0.0_lr0.01_b128_s0,0,0,0,4.63884,4.24281,0.21652,0.533333,0,0.00607891
30000,B_w5_K10000_c0.0_lr0.01_b128_s1,0,0,0,4.80717,4.47918,0.140737,0.495238,0,0.0424152
30000,B_w5_K10000_c0.0_lr0.01_b128_s2,0,0,0,4.6741,4.23708,0.221518,0.485714,0,0.00964991
30000,B_w5_K10000_c0.0_lr0.01_b128_s3,0,0,0,4.79838,4.43821,0.132089,0.438095,0,0.0301357
30000,B_w5_K10000_c0.0_lr0.01_b128_s4,0,0,0,4.73092,4.40883,0.173556,0.52381,0,0.0582249
30000,B_w5_K10000_c2.0_lr0.01_b128_s0,0,0,0,4.76273,4.46279,0.165369,0.457143,0,0.0178002
30000,B_w5_K10000_c2.0_lr0.01_b128_s1,0,0,0,3.74142,3.2223,0.163531,0.466667,0,0.0469049
30000,B_w5_K10000_c2.0_lr0.01_b128_s2,0,0,0,4.49628,4.0436,0.17393,0.47619,0,0.0180502
30000,B_w5_K10000_c2.0_lr0.01_b128_s3,0,0,0,4.58844,4.05648,0.23702,0.533333,0,0.0481158
30000,B_w5_K10000_c2.0_lr0.01_b128_s4,0,0,0,4.45776,4.23691,0.197389,0.457143,0,0.0211379
40000,B_w5_K10000_c0.0_lr0.01_b128_s0,0,0,0,4.65973,3.91938,0.261605,0.466667,0,0.0265644
40000,B_w5_K10000_c0.0_lr0.01_b128_s1,0,0,0,4.27581,3.50839,0.299183,0.561905,0.1,0.0164188
40000,B_w5_K10000_c0.0_lr0.01_b128_s2,0,0,0,4.70486,4.20366,0.22081,0.504762,0,0.0121486
40000,B_w5_K10000_c0.0_lr0.01_b128_s3,0,0,0,4.62089,4.10649,0.255069,0.561905,0,0.105164
40000,B_w5_K10000_c0.0_lr0.01_b128_s4,0,0,0,4.48412,3.56998,0.276738,0.542857,0,0.0192945
40000,B_w5_K10000_c2.0_lr0.01_b128_s0,0,0,0,4.65509,4.33475,0.109729,0.47619,0,0.0304836
40000,B_w5_K10000_c2.0_lr0.01_b128_s1,0,0,0,4.27825,3.72199,0.183583,0.485714,0,0.033833
40000,B_w5_K10000_c2.0_lr0.01_b128_s2,0,0,0,4.45938,4.19244,0.138199,0.504762,0,0.0378683
40000,B_w5_K10000_c2.0_lr0.01_b128_s3,0,0,0,4.35423,3.79337,0.197355,0.552381,0,0.0623004
40000,B_w5_K10000_c2.0_lr0.01_b128_s4,0,0,0,4.20202,3.39076,0.229229,0.466667,0,0.0444681
50000,B_w5_K10000_c0.0_lr0.01_b128_s0,0,0,0,4.75326,4.3628,0.169735,0.447619,0,0.0195307
