run_id,ckpt,M,n_periods,noise_floor,snr_all,snr_W,snr_b,snr_v,snr_c
B_w100_K10000_c0.0_lr0.01_b128_s0,0,500000,50.0,0.001414213445968926,0.08142862468957901,0.07867944985628128,0.06883085519075394,0.08210019022226334,0.009032941423356533
B_w100_K10000_c0.0_lr0.01_b128_s1,0,500000,50.0,0.001414213445968926,0.1485462188720703,0.0795147716999054,0.16929136216640472,0.15351428091526031,0.2225918471813202
B_w100_K10000_c0.0_lr0.01_b128_s2,0,500000,50.0,0.001414213445968926,0.2471136450767517,0.09468680620193481,0.31814923882484436,0.2564290761947632,0.43942776322364807
B_w100_K10000_c0.0_lr0.01_b128_s3,0,500000,50.0,0.001414213445968926,0.12937568128108978,0.07717262953519821,0.14305301010608673,0.1327999085187912,0.1816110461950302
B_w100_K10000_c0.0_lr0.01_b128_s4,0,500000,50.0,0.001414213445968926,0.31552854180336,0.09541989117860794,0.4278501868247986,0.3286956250667572,0.6626546382904053
B_w100_K10000_c2.0_lr0.01_b128_s0,0,500000,50.0,0.001414213445968926,0.46389058232307434,0.2395608276128769,0.5892027616500854,0.4792114496231079,0.9214975237846375
B_w100_K10000_c2.0_lr0.01_b128_s1,0,500000,50.0,0.001414213445968926,0.11405476182699203,0.09666676819324493,0.09963125735521317,0.1160755455493927,0.06191125512123108
B_w100_K10000_c2.0_lr0.01_b128_s2,0,500000,50.0,0.001414213445968926,0.25802186131477356,0.16132250428199768,0.2911364436149597,0.2657791078090668,0.3722817003726959
B_w100_K10000_c2.0_lr0.01_b128_s3,0,500000,50.0,0.001414213445968926,0.32494157552719116,0.19043980538845062,0.39128929376602173,0.3348050117492676,0.5226808190345764
B_w100_K10000_c2.0_lr0.01_b128_s4,0,500000,50.0,0.001414213445968926,0.26256683468818665,0.16581271588802338,0.31922879815101624,0.27013957500457764,0.3941585123538971
B_w100_K10000_c0.0_lr0.01_b128_s0,10000,500000,50.0,0.001414213445968926,0.19277942180633545,0.08996131271123886,0.2379647046327591,0.19704541563987732,0.329866886138916
B_w100_K10000_c0.0_lr0.01_b128_s1,10000,500000,50.0,0.001414213445968926,0.08350257575511932,0.06855711340904236,0.08160760998725891,0.08476374298334122,0.061670735478401184
B_w100_K10000_c0.0_lr0.01_b128_s2,10000,500000,50.0,0.001414213445968926,0.13690459728240967,0.08548658341169357,0.1649581342935562,0.13993293046951294,0.1972295343875885
B_w100_K10000_c0.0_lr0.01_b128_s3,10000,500000,50.0,0.001414213445968926,0.08859249949455261,0.07829361408948898,0.08926468342542648,0.08958982676267624,0.061504606157541275
B_w100_K10000_c0.0_lr0.01_b128_s4,10000,500000,50.0,0.001414213445968926,0.0957590714097023,0.0841560885310173,0.08513572812080383,0.0970088392496109,0.04783383756875992
B_w100_K10000_c2.0_lr0.01_b128_s0,10000,500000,50.0,0.001414213445968926,0.16894429922103882,0.11636074632406235,0.19853733479976654,0.17252688109874725,0.24298787117004395
B_w100_K10000_c2.0_lr0.01_b128_s1,10000,500000,50.0,0.001414213445968926,0.09327832609415054,0.07830706238746643,0.09455561637878418,0.09464927017688751,0.05410917103290558
B_w100_K10000_c2.0_lr0.01_b128_s2,10000,500000,50.0,0.001414213445968926,0.09818992018699646,0.0934751108288765,0.09170711040496826,0.09881722927093506,0.0482780747115612
B_w100_K10000_c2.0_lr0.01_b128_s3,10000,500000,50.0,0.001414213445968926,0.1799427568912506,0.11613346636295319,0.21378111839294434,0.18349087238311768,0.2685435712337494
B_w100_K10000_c2.0_lr0.01_b128_s4,10000,500000,50.0,0.001414213445968926,0.19789834320545197,0.1279202103614807,0.24963872134685516,0.20135743916034698,0.30028384923934937
B_w100_K10000_c0.0_lr0.01_b128_s0,50000,500000,50.0,0.001414213445968926,0.17809061706066132,0.08956362307071686,0.23416465520858765,0.1825891137123108,0.30542945861816406
B_w100_K10000_c0.0_lr0.01_b128_s1,50000,500000,50.0,0.001414213445968926,0.11747059971094131,0.0960656926035881,0.11719486862421036,0.1196918711066246,0.03951585292816162
B_w100_K10000_c0.0_lr0.01_b128_s2,50000,500000,50.0,0.001414213445968926,0.14322997629642487,0.08609463274478912,0.17911145091056824,0.14607687294483185,0.19706837832927704
B_w100_K10000_c0.0_lr0.01_b128_s3,50000,500000,50.0,0.001414213445968926,0.11792341619729996,0.07981827855110168,0.14016452431678772,0.11984022706747055,0.13863132894039154
B_w100_K10000_c0.0_lr0.01_b128_s4,50000,500000,50.0,0.001414213445968926,0.20251627266407013,0.08364079147577286,0.26869136095046997,0.20774391293525696,0.35878193378448486
B_w100_K10000_c2.0_lr0.01_b128_s0,50000,500000,50.0,0.001414213445968926,0.13654175400733948,0.09735866636037827,0.16334258019924164,0.13809600472450256,0.1931753158569336
B_w100_K10000_c2.0_lr0.01_b128_s1,50000,500000,50.0,0.001414213445968926,0.29502779245376587,0.17742164433002472,0.3554054796695709,0.3019845187664032,0.47854724526405334
B_w100_K10000_c2.0_lr0.01_b128_s2,50000,500000,50.0,0.001414213445968926,0.38905543088912964,0.20326483249664307,0.4937340021133423,0.398068368434906,0.7067770957946777
B_w100_K10000_c2.0_lr0.01_b128_s3,50000,500000,50.0,0.001414213445968926,0.25573545694351196,0.14945298433303833,0.3053555488586426,0.2609928250312805,0.404299259185791
B_w100_K10000_c2.0_lr0.01_b128_s4,50000,500000,50.0,0.001414213445968926,0.2616752088069916,0.15047788619995117,0.3101303279399872,0.26677724719047546,0.4260168969631195
B_w100_K10000_c0.0_lr0.01_b128_s0,100000,500000,50.0,0.001414213445968926,0.09868872165679932,0.0845668688416481,0.09471894055604935,0.09988776594400406,0.08050910383462906
B_w100_K10000_c0.0_lr0.01_b128_s1,100000,500000,50.0,0.001414213445968926,0.10060746222734451,0.07754695415496826,0.08970709890127182,0.10235588997602463,0.08704650402069092
B_w100_K10000_c0.0_lr0.01_b128_s2,100000,500000,50.0,0.001414213445968926,0.15099726617336273,0.09435303509235382,0.17673450708389282,0.1545175015926361,0.20161320269107819
B_w100_K10000_c0.0_lr0.01_b128_s3,100000,500000,50.0,0.001414213445968926,0.49750494956970215,0.11312501132488251,0.72635418176651,0.5145912170410156,1.4112200736999512
B_w100_K10000_c0.0_lr0.01_b128_s4,100000,500000,50.0,0.001414213445968926,0.10116435587406158,0.0814635157585144,0.09861954301595688,0.10277680307626724,0.05353222414851189
B_w100_K10000_c2.0_lr0.01_b128_s0,100000,500000,50.0,0.001414213445968926,0.23520514369010925,0.1327396035194397,0.29746735095977783,0.24065817892551422,0.4008597433567047
B_w100_K10000_c2.0_lr0.01_b128_s1,100000,500000,50.0,0.001414213445968926,0.47033247351646423,0.24432528018951416,0.6470798254013062,0.4855026602745056,1.0452296733856201
B_w100_K10000_c2.0_lr0.01_b128_s2,100000,500000,50.0,0.001414213445968926,0.16281650960445404,0.09443114697933197,0.18743804097175598,0.16652117669582367,0.23116827011108398
