arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,m_l1,m_l2
H,std,0,0,0.0001,1,1,5,0.6665064103,0.7967999578,0.7400000095,0.7967999578,0,0,0.3792177141,6.41866827,-2.835175991,0.5031999946,27.30959953,0,0,-0.05658253655,5.643609524,-1.323809266,0.4643999934,27.29819881,0.7523889542,0.6271626353,0.6485853195,4.306328297,3.275858402
H,std,0,0,0.0001,2,0,1,0.8799278846,0.6900000572,0.6800000072,0.6900000572,0,0,-1.311582565,1.363633633,-4.803899765,0.08800000697,11.13096237,0,0,-1.507351637,1.416093946,-7.371736526,0.07400000095,8.409655143,0.6655147672,0.6245103478,0.7723798156,4.399309635,1.692706823
H,std,0,0,0.0001,3,1,5,0.5856570513,0.5748000145,0.4820000231,0.5748000145,0,0,-0.5141358376,7.837390423,-4.265296936,0.4267999828,17.03502934,0,0,2.393225431,24.3632679,-8.117525101,0.5539999604,16.5951868,0.8154047728,0.7716653347,0.7708696723,8.640996933,13.05528736
H,std,0,0,0.0001,4,0,1,0.8637820513,0.908000052,0.6800000072,0.908000052,0,0,-1.087951899,4.262662411,-35.63055038,0.2400000095,10.69364381,0,0,-1.617231846,7.641798973,-7.347314835,0.2720000148,11.12539095,0.7535927296,0.8070760965,0.8153742552,3.891531229,5.60299778
H,std,0,0,0.0001,5,1,5,0.6338541667,0.7211999893,0.6480000019,0.7211999893,0,0,-0.6481404305,2.367015362,-14.32188988,0.3027999997,13.97052125,0,0,0.1946561784,21.18968582,-4.674526215,0.5891999602,19.08306711,0.7367814779,0.8384193778,0.8256679177,5.538202286,9.012221336
H,std,0,0,0.0001,6,0,1,0.9206330128,0.9740000367,0.9099999666,0.9740000367,0,0,-1.139657497,7.855674267,-14.07191849,0.3420000076,10.81877359,0,0,-0.5086368918,29.19819069,-4.336437702,0.5560000539,10.18400717,0.8688292503,0.8924896121,0.8508939743,6.643229008,13.45843983
H,std,0,0,0.0001,7,1,5,0.6421474359,0.7459999919,0.6840000153,0.7459999919,0,0,-0.4693377912,10.66916084,-16.26457405,0.4731999934,13.83547283,0,0,0.4496975541,51.64600372,-4.185482502,0.5967999697,11.7374459,0.8680245876,0.9474732876,0.8671191931,9.106144905,21.41607094
H,std,0,0,0.0001,8,0,1,0.9443509615,0.9420000315,0.8599999547,0.9420000315,0,0,-0.948792398,16.1584053,-28.21797752,0.4520000219,18.55044847,0,0,-3.306736469,24.8568821,-21.82422447,0.4960000217,15.30884463,1.20358479,0.9650213122,0.8924074769,11.92130947,11.11843491
H,std,0,0,0.0001,9,1,5,0.4236378205,0.4943999946,0.4400000274,0.4943999946,0,0,-0.5277124643,4.745038033,-6.004274845,0.4143999815,13.58549772,0,0,0.7690471411,48.97110748,-5.790712357,0.6223999858,11.6431615,0.9000035524,0.9794931412,0.923016727,7.858841419,20.99811745
H,std,0,0,0.0001,10,0,1,0.969911859,0.9960000515,0.8399999738,0.9960000515,0,0,0.6538304687,20.80600548,-14.37917995,0.5120000243,16.68945541,0,0,-2.034557343,36.04785156,-8.717739105,0.6000000238,13.72612694,1.187802196,1.018098354,0.9492374659,11.11159229,18.47288704
