arm,seed,window,t1_online,T_A,tasks,diverged
LE_e8,0,0.0992635416665,0.8841666667,3,50,False
LE_e8,1,0.0999455208325,0.8763479167,3,50,False
LE_e8,2,0.1021973958385,0.8694145833,3,50,False
LE_e8,3,0.100626875007,0.8715895833,3,50,False
LE_e8,4,0.09941020833,0.8672208333,3,50,False
LE_e8,5,0.09965218749900001,0.8621145833,3,50,False
LE_e8,6,0.101025520826,0.8826666667,3,50,False
LE_e8,7,0.099627812503,0.8718770833,3,50,False
LE_e8,8,0.10049385416050001,0.8681708333,3,50,False
LE_e8,9,0.10045687499599998,0.8781895833,3,50,False
LE_e4,0,0.099288645825,0.8826541667,3,50,False
LE_e4,1,0.09993416667300001,0.8894270833,3,50,False
LE_e4,2,0.10220625000099999,0.8791916667,3,50,False
LE_e4,3,0.1007867708315,0.87835625,3,50,False
LE_e4,4,0.0994063541665,0.8695708333,3,50,False
LE_e4,5,0.09965656250199999,0.8777479167,3,50,False
LE_e4,6,0.1012969791705,0.8727104167,3,50,False
LE_e4,7,0.10013343749900001,0.87545,3,50,False
LE_e4,8,0.100892395837,0.8689395833,3,50,False
LE_e4,9,0.10045531250000002,0.88958125,3,50,False
LE_e3,0,0.1001123958335,0.8731833333,3,50,False
LE_e3,1,0.1000322916595,0.8760166667,3,50,False
LE_e3,2,0.1022247916685,0.8563083333,3,50,False
LE_e3,3,0.10142552083399999,0.8582895833,3,50,False
LE_e3,4,0.10018979167099999,0.8545958333,3,50,False
LE_e3,5,0.1004313541595,0.8585208333,3,50,False
LE_e3,6,0.10196229166349999,0.86580625,3,50,False
LE_e3,7,0.10123239583799999,0.86218125,3,50,False
LE_e3,8,0.10135354166999999,0.86276875,3,50,False
LE_e3,9,0.1009854166715,0.8678583333,3,50,False
LL_e8,0,0.7300790625,0.8731104167,0,50,False
LL_e8,1,0.73318552084,0.8610729167,0,50,False
LL_e8,2,0.7226511458299999,0.8500625,0,50,False
LL_e8,3,0.730316145835,0.8601604167,0,50,False
LL_e8,4,0.7292014583349999,0.8453895833,0,50,False
LL_e8,5,0.726245625,0.8631770833,0,50,False
LL_e8,6,0.7283779166600001,0.86686875,0,50,False
LL_e8,7,0.7201820833300001,0.8666145833,0,50,False
LL_e8,8,0.72705520833,0.8586854167,0,50,False
LL_e8,9,0.72261052083,0.864075,0,50,False
LL_e4,0,0.7293070833299999,0.88324375,0,50,False
LL_e4,1,0.73018354166,0.8727291667,0,50,False
LL_e4,2,0.7229535416699999,0.8549625,0,50,False
LL_e4,3,0.7236311458400001,0.8591041667,0,50,False
LL_e4,4,0.7244650000000001,0.8437916667,0,50,False
LL_e4,5,0.728256562505,0.8698791667,0,50,False
LL_e4,6,0.728694166675,0.8846833333,0,50,False
LL_e4,7,0.7244006250099998,0.8610916667,0,50,False
LL_e4,8,0.72318718751,0.8661604167,0,50,False
LL_e4,9,0.72066979166,0.8767354167,0,50,False
LL_e3,0,0.7310364583300001,0.8687875,0,50,False
LL_e3,1,0.73864541667,0.8713354167,0,50,False
LL_e3,2,0.72402947917,0.8433479167,0,50,False
LL_e3,3,0.7260327083349999,0.854375,0,50,False
LL_e3,4,0.7254496875,0.83833125,0,50,False
LL_e3,5,0.728902500005,0.8568166667,0,50,False
LL_e3,6,0.7319994791700001,0.87955,0,50,False
LL_e3,7,0.725845,0.8667520833,0,50,False
LL_e3,8,0.7254395833299999,0.8538854167,0,50,False
LL_e3,9,0.7229328125100001,0.8568291667,0,50,False
