arm,cell,eps,seed,task,open_frac,n_img,n_unit,npos,apos,a1_rms,mu2,zbar2_med,p_pos2,w2_row_med,cos2_med,dcos,dcos_pos,drms,dcos_grad
LE_e8,LE,1e-08,0,0,1,1200,100,46,0.2088992568,0.1901983437,1.679303167,0.0001640600152,0.5131333333,0.5771517015,0.003017402122,nan,nan,nan,nan
LE_e8,LE,1e-08,0,1,0.9622833333,1200,100,5,3.847556676,3.798034281,24.27636869,-5.214929129,0.2146833333,1.537666536,-0.1359526841,0.07956865974,0.01154338202,0.1161217604,0.1115412862
LE_e8,LE,1e-08,0,2,0.4062416667,1200,100,5,10.71846499,6.562875895,37.93946355,-22.64690936,0.094075,2.431348102,-0.2563640563,0.0611889354,0.08381330521,0.1546191608,0.04169590812
LE_e8,LE,1e-08,0,3,0.003166666667,148,61,14,53.5470549,36.71297062,346.7932192,-178.4041193,0.001716666667,2.572870112,-0.2102095508,0.2122870349,0.1909276337,0.1428111,0.2794795835
LE_e8,LE,1e-08,0,4,0.0002666666667,12,20,19,82.69437773,64.71780902,620.6583207,-348.7251495,0.00015,2.57159733,-0.226402837,0.674831006,0.5334780413,0.1181504345,0.2162957771
LE_e8,LE,1e-08,0,5,0,0,0,17,115.7235969,83.39092212,802.8895174,-457.4670628,0,2.575835823,-0.2305391017,0.8362650736,0.7461908558,0.06313857688,0.2429017445
LE_e8,LE,1e-08,0,6,3.333333333e-05,1,4,20,115.8442674,89.21348598,859.0946569,-464.3120428,8.333333333e-06,2.576421486,-0.2148026858,0.5866830911,0.6090445012,0.03583797288,0.2230787357
LE_e8,LE,1e-08,0,7,0,0,0,17,142.0017255,91.74590228,883.9238297,-490.3284563,0,2.576421486,-0.2178301804,0.7760013814,0.696602759,0.01867327574,0.4831852079
LE_e8,LE,1e-08,0,8,0,0,0,17,142.0024414,91.74610896,883.9259091,-490.3286441,0,2.576421486,-0.2178295913,0.09827655289,0.1934351191,2.165538886e-06,0.7843951024
LE_e8,LE,1e-08,0,9,3.333333333e-05,1,4,19,121.3138596,88.85503493,855.6790774,-488.968383,1.666666667e-05,2.572738262,-0.2275467927,0.9837614523,0.6518317716,0.02393903878,-0.2055649362
LE_e8,LE,1e-08,0,10,5e-05,1,6,19,139.3266911,95.02138517,914.4984077,-522.0610156,1.666666667e-05,2.576421486,-0.2254192015,0.785691489,0.5793786201,0.04304142241,-0.05998843363
LE_e8,LE,1e-08,0,11,3.333333333e-05,1,4,22,126.6637626,98.80837046,951.1210068,-558.8613621,2.5e-05,2.572738262,-0.2252971133,0.6789309544,0.4246668933,0.03664996583,0.1524048328
LE_e8,LE,1e-08,0,12,3.333333333e-05,1,4,22,126.6434434,98.79951494,951.0346555,-562.7461031,2.5e-05,2.572738262,-0.225288371,0.4875050302,-0.6309370751,2.353907892e-05,0.1900449917
