act,arm,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,wt_q10_l1,wt_med_l1,wt_q90_l1,wt_max_l1,wt_ratio0_med_l1,rowmean_abs_med_l1,b_med_l1,exceed_t1_frac_l1,exceed_2x0_frac_l1,bind_frac_l1,proj_rows_l1,proj_removed_l1,wt_q10_l2,wt_med_l2,wt_q90_l2,wt_max_l2,wt_ratio0_med_l2,rowmean_abs_med_l2,b_med_l2,exceed_t1_frac_l2,exceed_2x0_frac_l2,bind_frac_l2,proj_rows_l2,proj_removed_l2,pen_wt_total,pen_rest_total
LR,l2wt,0,0.001,8,1,0.9426770833,1,1,0,0,-0.2319788635,0.6171117425,-1.37364161,0.4089999795,51.95690689,0,0,0.4542095363,0.2156654149,-0.07944210619,0.9925000072,21.07763622,0.9476882219,0.6702314615,8.744395256,0.1268594226,0.06408496267,0.940326746,1.452064271,1.605036988,1.623363896,0.0038724053,-0.01811882015,0,0.4,nan,nan,nan,0.4177554557,0.5895660723,0.6952564057,0.8008155037,1.022903172,0.03090696436,0.06124375388,0,0,nan,nan,nan,0.1268594226,0.7730164676
LR,l2wt,0,0.001,8,2,0.93111875,0.9966666698,0.9966666698,0,0,-0.6285816431,0.7509080768,-1.403557658,0.2364999652,63.05054436,0,0,0.1624308079,0.2220388502,-0.1890503466,0.7787500024,45.53092232,1.094787717,0.76402843,13.60076046,0.155727759,0.3012298866,1.086783029,1.573825712,1.899122328,1.887432674,0.005376121062,-0.07988923416,0.68,0.44,nan,nan,nan,0.3478772003,0.6281900737,0.7810541296,0.948622204,1.099565287,0.03268626794,0.09019998088,0.62,0,nan,nan,nan,0.155727759,1.899196148
LR,l2wt,0,0.001,8,3,0.9286958333,0.8033333421,0.8033333421,0,0,-0.9255623221,0.7758641839,-2.826250315,0.1532499939,56.66176024,0,0,-0.2247126997,0.2613710463,-0.8613762259,0.2619999647,43.48630426,0.9848234653,0.8109348416,16.86197281,0.1393533379,0.3252200817,0.9541823654,1.535146271,1.841865201,1.658386966,0.006456143468,-0.1416582242,0.61,0.39,nan,nan,nan,0.2495626161,0.5651291417,0.7882267727,0.9662375901,0.9654299893,0.0468346919,0.07702152804,0.44,0,nan,nan,nan,0.1393533379,2.916951308
LR,l2wt,0,0.001,8,4,0.93698125,1,1,0,0,-0.4979386926,0.5774565339,-1.342558861,0.2874999642,55.50956475,0,0,0.2390255481,0.1710909009,-0.2027789801,0.9227500558,32.44140811,0.8186718822,0.8411539793,19.21571541,0.1049658536,0.05354593225,0.8206735514,1.408462876,1.543179898,1.420502951,0.004126345049,-0.1735232994,0.47,0.24,nan,nan,nan,0.09239161871,0.4378505973,0.7915899929,0.8980618446,0.7515216872,0.05073204087,0.04672372341,0.37,0,nan,nan,nan,0.1049658536,3.800543233
LR,l2wt,0,0.001,8,5,0.9333895833,1,1,0,0,-0.5773813725,0.6082134843,-1.923925757,0.2642499506,55.77947467,0,0,0.2080290467,0.181384325,-0.2130071819,0.8627500534,32.15790089,0.8056322336,0.913536787,21.23385811,0.1156489382,0.1079101878,0.8083462046,1.418346505,1.694266038,1.383187623,0.004528431167,-0.2045614794,0.54,0.36,nan,nan,nan,0.08674430507,0.3196468166,0.8853239747,1.073294508,0.5578382235,0.06853915911,-0.01863644086,0.35,0,nan,nan,nan,0.1156489382,4.636460654
LR,l2wt,0,0.001,8,6,0.9306854167,1,1,0,0,-0.6159513593,0.5878908038,-1.812023282,0.2289999574,51.75402991,0,0,0.1064806208,0.2177765071,-0.2771981657,0.736000061,37.7779796,0.742072463,0.9573827982,22.94005585,0.1255813119,0.1485480716,0.686494336,1.611555397,1.981459962,1.173835784,0.003962294972,-0.2359209359,0.6,0.38,nan,nan,nan,0.09414895034,0.3289916488,0.9059996656,1.051573818,0.5616299859,0.07598219485,-0.05729968846,0.35,0,nan,nan,nan,0.1255813119,5.384304882
LR,l2wt,0,0.001,8,7,0.9297520833,1,1,0,0,-0.6716345549,0.7169257998,-1.218877077,0.2169999629,65.33450086,0,0,-0.1056930274,0.2484172136,-0.5198639035,0.3294999301,41.21457004,0.9623804092,0.9716098309,24.62513542,0.1453257134,0.2670774315,0.9598801527,1.638276072,1.856660733,1.654464337,0.004122481369,-0.2676022649,0.67,0.4,nan,nan,nan,0.1576980804,0.3352850306,0.9214904604,1.112964289,0.5660210153,0.07823390802,-0.09833662957,0.39,0,nan,nan,nan,0.1453257134,6.181355846
LR,l2wt,0,0.001,8,8,0.9286729167,1,1,0,0,-0.7260762453,0.7180699706,-1.668336272,0.211749956,62.34790237,0,0,-0.3358082473,0.26393345,-0.8421568871,0.1345000118,33.52839996,0.9976294637,0.9941166043,25.84794617,0.1404825764,0.2181093052,0.978555515,1.624504089,1.91831647,1.682999901,0.005507572008,-0.2674107552,0.58,0.44,nan,nan,nan,0.1315669923,0.2790766503,0.9413100362,1.041763195,0.4771886735,0.06935340911,-0.1412898526,0.33,0,nan,nan,nan,0.1404825764,6.846972386
LR,l2wt,0,0.001,8,9,0.9295541667,1,1,0,0,-0.6729560494,0.5943104625,-1.717145205,0.2034999579,54.4573743,0,0,-0.2063133568,0.2738049924,-0.7203820944,0.2725000083,38.63140566,0.7406057715,1.003899455,26.79076767,0.1398602043,0.2361792204,0.7232094801,1.684371277,1.943304683,1.262657642,0.005839925411,-0.29305695,0.62,0.39,nan,nan,nan,0.1336265988,0.2717358926,0.9254063443,1.157832694,0.4644572605,0.07151546897,-0.153059572,0.33,0.01,nan,nan,nan,0.1398602043,7.514029378
LR,l2wt,0,0.001,8,10,0.9268354167,1,1,0,0,-0.5836347938,0.6200944781,-2.139727116,0.2432499677,54.75355574,0,0,-0.05422185734,0.1822254658,-0.5641638637,0.447999984,30.68630598,0.7662109733,0.9943329692,28.16824532,0.1079710848,0.05295496136,0.786462798,1.431923673,1.76553716,1.337863923,0.003881216334,-0.2900767475,0.47,0.31,nan,nan,nan,0.02814744212,0.1355722425,0.9649986315,1.040182339,0.2284169378,0.07067482473,-0.2245804071,0.27,0,nan,nan,nan,0.1079710848,8.105119262
LR,l2wt,0,0.001,8,11,0.9343625,1,1,0,0,-0.6345242262,0.5602500439,-1.327773213,0.2387499809,54.67890636,0,0,-0.1214260086,0.1713396758,-0.5527601838,0.2567499876,30.63847438,0.7371816039,0.9802669883,29.14673424,0.1036795486,0.06762854868,0.6928686958,1.461601895,1.689492815,1.192663048,0.003617386036,-0.318031013,0.46,0.3,nan,nan,nan,0.0252701713,0.1047328231,0.9499505339,1.081215678,0.1820280311,0.06568255611,-0.2376932204,0.27,0,nan,nan,nan,0.1036795486,8.646359854
