act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total
SNA,none,0,0.001,3,32,0.9854083333,1,1,0,0,-5.175801277,4.592769146,-8.988663673,0.5590146184,83.69723447,0,0,-15.0880518,14.53090763,-26.0336132,0.6638388634,81.58230561,14.95557022,4.684316158,2.470098495,0.1351218671,0.09722664952,0.1967647821,0,1.200000048,0.05000000075,0.05000000075,0.05076678097,0.9800000191,1.401035905,0,24.48121261,24.36282195,22.24828452
SNA,none,0,0.001,3,33,0.98535,1,1,0,0,-5.111013412,4.591861248,-9.568389893,0.554746449,83.69225454,0,0,-15.36091805,14.48035431,-26.20233345,0.6616133451,81.03305792,15.03960991,4.719455242,2.450365782,0.1349983662,0.1050388664,0.1940129101,0,1.200000048,0.05000000075,0.05000000075,0.05481208488,0.9499999881,1.411174655,0,25.03566124,24.91970717,22.77794658
SNA,none,0,0.001,3,34,0.9856479167,1,1,0,0,-5.129663467,4.595211506,-8.367239952,0.555060029,84.08703884,0,0,-15.0788393,14.82978249,-28.19496727,0.6781031489,81.11679059,15.10972023,4.755102158,2.472291708,0.1340096295,0.1049237475,0.1751653999,0,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.436505556,0,25.56244501,25.44938187,23.28154056
SNA,none,0,0.001,3,35,0.9870166667,1,1,0,0,-4.837332249,4.77879715,-9.010176659,0.5572574735,84.20784322,0,0,-14.52377605,14.93527508,-26.16792297,0.6828292608,82.11988688,15.33446693,4.796841145,2.465872288,0.1283716857,0.1031880528,0.1952495873,0,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.443498015,0,25.98430655,25.87020235,23.68451805
SNA,none,0,0.001,3,36,0.9859166667,1,1,0,0,-5.152028561,4.763790607,-9.444361687,0.5542002916,83.90279417,0,0,-13.77255535,14.98036194,-23.8935585,0.6922602057,82.92939993,15.39178371,4.808968067,2.484214067,0.1291353554,0.09218624979,0.1859637499,0,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.451648116,0,26.40662579,26.29563621,24.08808004
SNA,none,0,0.001,3,37,0.98614375,1,1,0,0,-5.379404068,4.746602058,-9.260295868,0.55751127,83.88328227,0,0,-15.45341015,15.29865265,-27.39979553,0.6964349151,80.79912074,15.565485,4.85357523,2.469301701,0.1301385015,0.09776008874,0.1791149229,0,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.480260849,0,26.81489293,26.70233338,24.47983205
SNA,none,0,0.001,3,38,0.9868125,1,1,0,0,-5.005125523,4.802675247,-8.67729187,0.5534796715,84.29915179,0,0,-14.79554081,15.27619171,-26.44410896,0.6979379058,81.33802985,15.57354736,4.847572803,2.474438667,0.1286843121,0.1003631502,0.1866125166,0,1.200000048,0.05000000075,0.05000000075,0.05026043579,0.9900000095,1.480872631,0,27.26100394,27.14727848,24.90775294
SNA,none,0,0.001,3,39,0.98555625,1,1,0,0,-5.308825016,4.771962643,-8.682073593,0.5564314723,83.78226739,0,0,-15.3946991,15.20601749,-30.79570007,0.6981118917,80.62029055,15.6269455,4.87453413,2.471588135,0.1294947267,0.09718329459,0.1841837466,0,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.472805858,0,27.73251285,27.6199279,25.35928105
SNA,none,0,0.001,3,40,0.98609375,1,1,0,0,-5.098995686,4.688141823,-9.365068436,0.5557090044,84.1714368,0,0,-13.64686012,15.33396244,-25.56456184,0.6947669387,82.48921906,15.92924786,4.923851967,2.501295328,0.1314783096,0.08425186574,0.186798051,0,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.490604162,0,28.27456953,28.16469907,25.87940764
SNA,none,0,0.001,3,41,0.985725,1,1,0,0,-5.294914246,4.764405251,-9.523964882,0.5508649945,83.52407582,0,0,-15.28242397,15.59822178,-26.59373474,0.699960351,81.359309,16.01013565,4.974901199,2.464771986,0.1293536872,0.08976409584,0.1735281795,0,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.507822633,0,28.85193723,28.74173318,26.43335964
SNA,none,0,0.001,3,42,0.98675,1,1,0,0,-5.375038147,4.795507908,-8.842291832,0.5530596375,84.33321003,0,0,-14.06230164,15.65722752,-26.74183083,0.7214419246,82.5015391,16.05908775,5.021252632,2.50343442,0.1291353405,0.09077960998,0.1680106223,0,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.521258235,0,29.32524269,29.21676676,26.88627839
SNA,none,0,0.001,3,43,0.9858291667,1,1,0,0,-5.275524139,4.775422096,-9.67199707,0.5555175543,83.25635814,0,0,-15.79856968,15.73542786,-35.13208771,0.7244840264,80.40934188,16.19016075,5.015048504,2.482800484,0.1298686713,0.08531301469,0.1744213551,0,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.527428746,0,29.73176938,29.62481098,27.27860284
SNA,none,0,0.001,3,44,0.9848333333,1,1,0,0,-5.508901596,4.803300858,-9.426037788,0.5522757769,83.34463848,0,0,-15.44018555,15.83341789,-29.83587646,0.7064031959,80.84309882,16.38052368,5.03445816,2.484807253,0.1283200532,0.08552180231,0.1636562645,0,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.533670783,0,30.2772709,30.1669974,27.80210872
SNA,none,0,0.001,3,45,0.9858541667,1,1,0,0,-5.089323521,4.868532181,-9.177820206,0.5565902591,84.26741441,0,0,-15.55426884,16.0819416,-26.81369209,0.7215101123,81.79674642,16.66208076,5.051204205,2.510828495,0.1277449578,0.09103256464,0.1637572199,0,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.548947692,0,30.63981741,30.52976218,28.14989252
SNA,none,0,0.001,3,46,0.9863041667,1,1,0,0,-5.177105904,4.771604538,-11.09376812,0.5562306643,83.62163501,0,0,-14.6607914,16.41348076,-31.32824898,0.7483593822,81.04707488,16.68972015,5.07419157,2.468012333,0.1291228384,0.09627699107,0.170798108,0,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.586901426,0,30.91504561,30.80649425,28.41504205
SNA,none,0,0.001,3,47,0.9856166667,1,1,0,0,-5.214101315,4.889657497,-9.171080589,0.5540398955,83.95757857,0,0,-14.57172394,16.04177856,-24.10314369,0.7182565928,82.63042377,16.81266785,5.074340343,2.470219135,0.1267104894,0.09756656736,0.1734597534,0,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.5528332,0,31.44483126,31.33702852,28.92467761
SNA,none,0,0.001,3,48,0.9858625,1,1,0,0,-5.570169926,4.91323185,-10.71002579,0.5546115041,83.35880916,0,0,-15.52314472,16.04055595,-35.66910934,0.7455294728,80.24819056,16.94361877,5.13833952,2.507266521,0.1246747449,0.09267769754,0.1831108779,0,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.557790279,0,31.86060439,31.75453393,29.32339051
SNA,none,0,0.001,3,49,0.9867041667,1,1,0,0,-5.375380039,4.980055332,-9.078494072,0.5534120798,84.119498,0,0,-15.50148582,16.67160225,-25.79838562,0.7479968071,82.10593222,17.0657959,5.169306755,2.481513023,0.1233528778,0.09308382124,0.1728729904,0,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.615448952,0,32.29586188,32.19077572,29.74161318
SNA,none,0,0.001,3,50,0.98575625,1,1,0,0,-5.316989422,4.995990276,-9.053571701,0.5590902567,84.14148014,0,0,-14.5263052,16.83110428,-25.56316376,0.7595462203,81.8995518,17.09921646,5.148557186,2.462965965,0.1243688688,0.08899131417,0.1642907858,0,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.624612093,0,32.59192559,32.48669602,30.02685511
