metric,arm,x,regime,verdict,n_onset,onset_seeds,late_unfit_values,late_unfit_median,late_unfit_min,late_unfit_max,early_unfit_seed_median,dU_log,point,studentized_ci_lo,studentized_ci_hi,percentile_ci_lo,percentile_ci_hi,se0,degenerate_se_fraction,studentized_width_ratio,ci_degenerate,boot_ok,sign_test_p,n_seed,statistic,layer,seed_values,increase,sign_test_note,h0_rejected
G0,L1w100,,INTERPOLATING,LOP_PRESENT,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.9993716624888371, 0.5845020730398265, 0.9746113865645214, 0.5879741775863391, 0.8100774228687422, 0.9533000752211336, 0.3361454787918823, 0.8045138383794235, 0.9848023391983132, 0.3825235593422975]",0.8072956306240828,0.3361454787918823,0.9993716624888371,6.861691207005194e-05,4.119248114657026,4.119248114657026,-2963558396555.5215,4469128377134.386,3.263970352273104,4.854743799977643,0.026569785116820288,0.1804,1804379480624.8914,1,8196,0.001953125,10,median,,,,,
wall_trend,L1w100,layer1,,REPORT_ONLY,,,,,,,,,0.393080715285691,0.36991249126193043,0.4155152934366127,0.2968678727118573,0.5256730159444493,0.033079186491397156,0.378,0.11601383736553486,1,6220,0.001953125,10,median,1,"[0.5835472323893948, 0.5256730159444493, 0.27490743991003264, 0.4241339786293823, 0.21676164151957067, 0.5432705867763896, 0.3820543197885586, 0.40410711078282335, 0.2968678727118573, 0.36073954926833063]",0,,
G0,L1wide,,INTERPOLATING,LOP_PRESENT,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.3311463072866318, 0.33969164288292997, 0.17974090234439427, 0.39707302009726486, 0.27386339032228024, 0.17446144776370365, 0.4061997808615211, 0.1018079585645874, 0.7758461132704494, 0.007233219760163725]",0.30250484880445605,0.007233219760163725,0.7758461132704494,3.41524515351446e-10,8.759524320458214,8.759524320458214,-1931468850173.9766,50312458484477.43,7.156046064832345,9.234922483501087,0.13988126680295565,0.1178,5964242511734.759,1,8822,0.001953125,10,median,,,,,
wall_trend,L1wide,layer1,,REPORT_ONLY,,,,,,,,,0.29506898704825424,0.22030064972841884,0.7956955303837719,0.12925320158554127,0.49976197890519297,0.08253478853190004,0.3778,1.9500350965764341,1,6222,0.001953125,10,median,1,"[0.3225805832255543, 0.12925320158554127, 0.3546135971796867, 0.5881993504324167, 0.26755739087095426, 0.057011328249307415, 0.08710931487787404, 0.14652844299749485, 0.5380707463134171, 0.49976197890519297]",0,,
G0,L2,,INTERPOLATING,LOP_PRESENT,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.6615294163099159, 0.12615215025069945, 0.06294209246440795, 0.13508425929510864, 0.06917732279796057, 0.07948501319151044, 0.07219216796706643, 0.3291011477478646, 0.08425207904390111, 0.05745329111144121]",0.08186854611770578,0.05745329111144121,0.6615294163099159,3.0006260523148876e-13,10.849226917324412,10.849226917324412,-266253855000.92462,10.882000006161991,10.350246667752987,11.00058995403445,0.027789500298607273,0.2241,24541274418.97666,1,7759,0.001953125,10,median,,,,,
wall_trend,L2,layer1,,REPORT_ONLY,,,,,,,,,0.35929177452030714,0.3173838742719504,0.4053525106066924,0.2145408868452305,0.5338580526227494,0.053067151061495094,0.3899,0.24483899318928054,1,6101,0.001953125,10,median,1,"[0.5338580526227494, 0.5408770142238171, 0.15177447923486315, 0.43023155320511985, 0.07551815144670894, 0.5788359220484578, 0.31954534587954697, 0.2145408868452305, 0.34160272416647547, 0.37698082487413886]",0,,
wall_trend,L2,layer2,,REPORT_ONLY,,,,,,,,,0.04379268717074868,0.0426766156968723,0.049744853833164376,-0.16255908223632895,0.2876436465745863,0.0016937347749391015,0.3697,0.16140224756550925,1,6303,0.75390625,10,median,2,"[0.12381063924255697, 0.04322810891243565, 0.2876436465745863, -0.1922178248712995, 0.33464821859287436, -0.4329820839283357, -0.16255908223632895, 0.3596451825807303, -0.12680450721802888, 0.04435726542906172]",0,,
wall_layer_contrast,L2,early,,REPORT_ONLY,,,,,,,,,0.3322437987202724,0.3244532530285714,0.34118876569078105,-0.14993297041619513,0.6310186535320128,0.01070662739221534,0.377,0.05037118142361429,1,6230,0.34375,10,median,,,,,
wall_layer_contrast,L2,late,,REPORT_ONLY,,,,,,,,,-1.452423702269234,-2.045793392248401,1.0411985570565907,-1.9661354607596098,-1.1166193491090013,0.24747121081496015,0.3725,2.1254073067534947,1,6275,0.001953125,10,median,,,,,
arm_effect,L1wide-L1w100,eff_rank,,H0_REJECTED,,,,,,,,,0.6411594265462559,0.45543085289656204,0.8441537721718452,0.444971391142178,0.8330145981356637,,0.0,0.6062812198975586,0,10000,,,,,,,not defined for unpaired arm contrast,1
arm_effect,L2-L1w100,eff_rank,,H0_REJECTED,,,,,,,,,-0.6536550017150353,-1.1323639852811471,-0.15288928351155162,-1.1472154052923356,-0.2057401122088371,,0.0,1.4984582068517593,0,10000,,,,,,,not defined for unpaired arm contrast,1
arm_effect,L1wide-L1w100,alive,,H0_REJECTED,,,,,,,,,-0.30779282376565,-0.5545990096549813,-0.08890946917320272,-0.5282270485812491,-0.08798440642442562,,0.0,1.512996744967483,0,10000,,,,,,,not defined for unpaired arm contrast,1
arm_effect,L2-L1w100,alive,,H0_REJECTED,,,,,,,,,-3.1651647920117267,-3.8226440487847415,-2.4725235250737345,-3.7230621638452535,-2.583489530777971,,0.0,0.4265561550281534,0,10000,,,,,,,not defined for unpaired arm contrast,1
