width,seed0_early_unfit,seed1_early_unfit,seed2_early_unfit,median_early_unfit,phase0_l2_target,phase0_l2_target_seed_values,abs_log10_difference,within_tolerance,selected,elapsed_sec,steps_per_sec,projected_5m_same_3seeds_sec,projected_5m_10seeds_linear_sec,calibration_reached
150,2.739289885049174e-07,0.00010457300978996276,1.1335524528092127e-07,2.739289885049174e-07,3.0006260523148876e-13,"[1.099525287638192e-12, 1.9909989104561345e-14, 2.2049685936756093e-13, 4.225449775995845e-11, 6.226232543715446e-13, 2.7181480624765732e-14, 4.5745561085551995e-14, 4.128356925224369e-11, 3.796283510954166e-13, 1.0303931828396441e-14]",5.960426118231801,0,0,13.127060174942017,15235.703755039991,328.1765043735504,1093.921681245168,1
200,7.345224437292098e-06,8.764247447169441e-08,1.5796887558046257e-06,1.5796887558046257e-06,3.0006260523148876e-13,"[1.099525287638192e-12, 1.9909989104561345e-14, 2.2049685936756093e-13, 4.225449775995845e-11, 6.226232543715446e-13, 2.7181480624765732e-14, 4.5745561085551995e-14, 4.128356925224369e-11, 3.796283510954166e-13, 1.0303931828396441e-14]",6.72135965123852,0,0,13.67507791519165,14625.145190421175,341.87694787979126,1139.5898259326375,1
300,5.894733251258485e-10,2.1346100597294572e-07,9.86882765062707e-11,5.894733251258485e-10,3.0006260523148876e-13,"[1.099525287638192e-12, 1.9909989104561345e-14, 2.2049685936756093e-13, 4.225449775995845e-11, 6.226232543715446e-13, 2.7181480624765732e-14, 4.5745561085551995e-14, 4.128356925224369e-11, 3.796283510954166e-13, 1.0303931828396441e-14]",3.2932522815421255,0,0,13.959276676177979,14327.389924243524,348.98191690444946,1163.2730563481648,1
450,2.3880794272145797e-09,1.0474314476910885e-07,3.28552033399545e-10,2.3880794272145797e-09,3.0006260523148876e-13,"[1.099525287638192e-12, 1.9909989104561345e-14, 2.2049685936756093e-13, 4.225449775995845e-11, 6.226232543715446e-13, 2.7181480624765732e-14, 4.5745561085551995e-14, 4.128356925224369e-11, 3.796283510954166e-13, 1.0303931828396441e-14]",3.900836891656489,0,0,15.004388809204102,13329.433310693372,375.10972023010254,1250.3657341003418,1
600,1.7029287819387e-11,2.8710583895219498e-11,1.341134612736309e-09,2.8710583895219498e-11,3.0006260523148876e-13,"[1.099525287638192e-12, 1.9909989104561345e-14, 2.2049685936756093e-13, 4.225449775995845e-11, 6.226232543715446e-13, 2.7181480624765732e-14, 4.5745561085551995e-14, 4.128356925224369e-11, 3.796283510954166e-13, 1.0303931828396441e-14]",1.9808301493356772,1,1,15.564486980438232,12849.764997160788,389.1121745109558,1297.040581703186,1
