metric,seed,a,b,difference
P1,0,0.5776895833333333,0.10227291666666667,0.47541666666666665
P1,1,0.6316416666666667,0.10400833333333333,0.5276333333333333
P1,2,0.55965625,0.09675625,0.4629
P1,3,0.5752666666666667,0.100825,0.4744416666666667
P1,4,0.5575020833333333,0.10173333333333333,0.45576874999999994
P1,5,0.5555916666666667,0.10160208333333333,0.4539895833333334
P1,6,0.6136166666666667,0.10425416666666666,0.5093625
P1,7,0.616175,0.10314583333333334,0.5130291666666666
P1,8,0.5330854166666666,0.10213333333333334,0.4309520833333333
P1,9,0.47536666666666666,0.10485,0.37051666666666666
P2,0,0.96505625,0.32169583333333335,0.6433604166666667
P2,1,0.9726916666666666,0.2771895833333333,0.6955020833333333
P2,2,0.97158125,0.2760375,0.6955437499999999
P2,3,0.9665416666666666,0.30781875,0.6587229166666666
P2,4,0.9713875,0.2986916666666667,0.6726958333333333
P2,5,0.9667520833333333,0.25566666666666665,0.7110854166666667
P2,6,0.9729104166666667,0.29251875,0.6803916666666667
P2,7,0.97284375,0.28370416666666665,0.6891395833333334
P2,8,0.9738354166666666,0.30064375,0.6731916666666666
P2,9,0.9753416666666667,0.30923333333333336,0.6661083333333333
P1_95,0,0.5776895833333333,0.10227291666666667,0.47541666666666665
P1_95,1,0.6316416666666667,0.10400833333333333,0.5276333333333333
P1_95,2,0.55965625,0.09675625,0.4629
P1_95,3,0.5752666666666667,0.100825,0.4744416666666667
P1_95,4,0.5575020833333333,0.10173333333333333,0.45576874999999994
P1_95,5,0.5555916666666667,0.10160208333333333,0.4539895833333334
P1_95,6,0.6136166666666667,0.10425416666666666,0.5093625
P1_95,7,0.616175,0.10314583333333334,0.5130291666666666
P1_95,8,0.5330854166666666,0.10213333333333334,0.4309520833333333
P1_95,9,0.47536666666666666,0.10485,0.37051666666666666
P2_95,0,0.96505625,0.32169583333333335,0.6433604166666667
P2_95,1,0.9726916666666666,0.2771895833333333,0.6955020833333333
P2_95,2,0.97158125,0.2760375,0.6955437499999999
P2_95,3,0.9665416666666666,0.30781875,0.6587229166666666
P2_95,4,0.9713875,0.2986916666666667,0.6726958333333333
P2_95,5,0.9667520833333333,0.25566666666666665,0.7110854166666667
P2_95,6,0.9729104166666667,0.29251875,0.6803916666666667
P2_95,7,0.97284375,0.28370416666666665,0.6891395833333334
P2_95,8,0.9738354166666666,0.30064375,0.6731916666666666
P2_95,9,0.9753416666666667,0.30923333333333336,0.6661083333333333
restore_reset,0,0.92594375,0.10155,0.8243937499999999
restore_reset,1,0.9337583333333334,0.10390833333333334,0.82985
restore_reset,2,0.9318729166666667,0.09616041666666666,0.8357125000000001
restore_reset,3,0.9329145833333333,0.1006,0.8323145833333333
restore_reset,4,0.92805625,0.10237708333333333,0.8256791666666667
restore_reset,5,0.925275,0.09929791666666667,0.8259770833333333
restore_reset,6,0.9333270833333334,0.10522708333333333,0.8281000000000001
restore_reset,7,0.9262416666666666,0.10120625,0.8250354166666667
restore_reset,8,0.9215604166666667,0.10211875,0.8194416666666666
restore_reset,9,0.9233166666666667,0.10740833333333333,0.8159083333333333
sink_keep,0,0.9093479166666667,0.300925,0.6084229166666667
sink_keep,1,0.94284375,0.2786958333333333,0.6641479166666666
sink_keep,2,0.9207395833333333,0.2782,0.6425395833333333
sink_keep,3,0.913175,0.3011333333333333,0.6120416666666666
sink_keep,4,0.91610625,0.29531875,0.6207875
sink_keep,5,0.9214520833333333,0.25583125,0.6656208333333333
sink_keep,6,0.9090229166666667,0.2915916666666667,0.61743125
sink_keep,7,0.91993125,0.2804083333333333,0.6395229166666667
sink_keep,8,0.9032583333333334,0.30250625,0.6007520833333334
sink_keep,9,0.93646875,0.30134791666666666,0.6351208333333334
sink_L1,0,0.96505625,0.9642645833333333,0.000791666666666635
sink_L1,1,0.9726916666666666,0.9699479166666667,0.0027437499999999337
sink_L1,2,0.97158125,0.9704166666666667,0.0011645833333332467
sink_L1,3,0.9665416666666666,0.9651833333333333,0.0013583333333333503
sink_L1,4,0.9713875,0.9681229166666667,0.0032645833333332375
sink_L1,5,0.9667520833333333,0.96603125,0.0007208333333332817
sink_L1,6,0.9729104166666667,0.9628854166666667,0.01002499999999995
sink_L1,7,0.97284375,0.962225,0.01061875000000001
sink_L1,8,0.9738354166666666,0.9696958333333333,0.004139583333333308
sink_L1,9,0.9753416666666667,0.9719333333333333,0.0034083333333333465
layer_difference,0,0.9642645833333333,0.32169583333333335,0.6425687499999999
layer_difference,1,0.9699479166666667,0.2771895833333333,0.6927583333333334
layer_difference,2,0.9704166666666667,0.2760375,0.6943791666666668
layer_difference,3,0.9651833333333333,0.30781875,0.6573645833333333
layer_difference,4,0.9681229166666667,0.2986916666666667,0.66943125
layer_difference,5,0.96603125,0.25566666666666665,0.7103645833333334
layer_difference,6,0.9628854166666667,0.29251875,0.6703666666666668
layer_difference,7,0.962225,0.28370416666666665,0.6785208333333334
layer_difference,8,0.9696958333333333,0.30064375,0.6690520833333333
layer_difference,9,0.9719333333333333,0.30923333333333336,0.6627
