arm,branch,layer,source,reset
N1,1,,,False
N10,10,,,False
N1r,1,,,True
N10r,10,,,True
R1_10,10,2,1,False
R1_10r,10,2,1,True
S1_10r,1,2,10,True
S1_10,1,2,10,False
S1u5r,1,2,-5,True
S1u10r,1,2,-10,True
S1u20r,1,2,-20,True
S1_L1_10r,1,1,10,True
