seed,task,update,G1,Q1,Q_count1,pair_count1,neff_zero_units1,zero_count1,zero1,dead_unit1,neff1,neff_fraction1,zmean1,zsd1,diag_gdiff1,Wnorm1,bias1,G2,Q2,Q_count2,pair_count2,neff_zero_units2,zero_count2,zero2,dead_unit2,neff2,neff_fraction2,zmean2,zsd2,diag_gdiff2,Wnorm2,bias2,mu2_norm,memo_acc,memo_ce,online_acc,online_ce,major_frac,label_hash,order_hash,finite,arm,excess_over_floor,initial_G1,initial_Q1,initial_Q_count1,initial_pair_count1,initial_neff_zero_units1,initial_zero_count1,initial_zero1,initial_dead_unit1,initial_neff1,initial_neff_fraction1,initial_zmean1,initial_zsd1,initial_diag_gdiff1,initial_Wnorm1,initial_bias1,initial_G2,initial_Q2,initial_Q_count2,initial_pair_count2,initial_neff_zero_units2,initial_zero_count2,initial_zero2,initial_dead_unit2,initial_neff2,initial_neff_fraction2,initial_zmean2,initial_zsd2,initial_diag_gdiff2,initial_Wnorm2,initial_bias2,initial_mu2_norm,initial_memo_acc,initial_memo_ce
0,2,30000,0.4521803732507934,0.43821666666666664,52586,120000,0,4868,0.04056666666666667,0.0,547.7308480137008,0.4564423733447507,-6.337265727331644,53.316830685552695,0.0,9.78613507288899,-0.30822782712057234,0.061801517889534446,0.9065416666666667,108785,120000,0,52424,0.4368666666666667,0.0,75.4083319444621,0.06284027662038509,-109.26537295981656,86.51279417901752,0.0,1.8112097217651686,-0.018322419008472934,182.45962023451295,0.9941666722297668,0.018265215680003166,0.9093479166666667,0.27059345703125,0.11083333333333334,e98762ef86c2d1e1a59037b05501eba70a2a6e5e8cd4127a538b60c2d08bd8fe,08035669d8840c04586be611d67dcbd1e11f0f35cf71f2b5a6f27c6eadeee7dd,True,N1,0.8980482661668229,0.4780855590502191,0.2225,26700,120000,0,0,0.0,0.0,590.690919760379,0.4922424331336492,-2.007487221956312,16.831030640519916,0.0,3.650591957490941,-0.08101118516060524,0.34215947619112885,0.26631666666666665,31958,120000,0,10,8.333333333333334e-05,0.0,432.4981201578434,0.3604151001315362,-7.155478249936728,12.778447943373058,0.0,1.0095413383148826,0.02071558649535291,52.486653037604576,1.0,0.00013493825099430978
1,2,30000,0.4378563502801759,0.450625,54075,120000,0,4624,0.038533333333333336,0.0,530.6505066175015,0.4422087555145846,-8.215494429258195,51.48105254887826,0.0,9.571520115076718,-0.32359762894921007,0.07015022844724543,0.8911,106932,120000,0,45110,0.3759166666666667,0.0,85.68623121196885,0.07140519267664071,-95.15374167472501,75.8938107644119,0.0,1.789073090934962,-0.037051944703562184,166.5290457269763,0.9450000524520874,0.24495024979114532,0.94284375,0.182660693359375,0.11666666666666667,e98762ef86c2d1e1a59037b05501eba70a2a6e5e8cd4127a538b60c2d08bd8fe,08035669d8840c04586be611d67dcbd1e11f0f35cf71f2b5a6f27c6eadeee7dd,True,N1,0.9352948113207546,0.46300099095387454,0.2514416666666667,30173,120000,0,8,6.666666666666667e-05,0.0,570.9330298859944,0.47577752490499536,-2.6935224272025518,18.16536768149862,0.0,3.9230340605784795,-0.08781939128311933,0.34191185564970183,0.2991083333333333,35893,120000,0,12,0.0001,0.0,429.60885593746013,0.35800737994788345,-7.705053135586739,13.950297908784396,0.0,1.029780298148048,0.012957268270329224,55.972293698385556,1.0,0.00022043347416911274
2,2,30000,0.44385040397097797,0.43993333333333334,52792,120000,0,4291,0.035758333333333336,0.0,537.9186428285527,0.4482655356904606,-7.385501358495228,50.02337268371894,0.0,9.543463426885728,-0.27441107913618906,0.06381481614579464,0.8997083333333333,107965,120000,0,42741,0.356175,0.0,78.07144598507622,0.06505953832089685,-90.65112219782245,69.24196823920805,0.0,1.7566634109242023,-0.03882225316250697,165.66709343349532,0.9991666674613953,0.0021734184119850397,0.9207395833333333,0.24175491536458332,0.11333333333333333,e98762ef86c2d1e1a59037b05501eba70a2a6e5e8cd4127a538b60c2d08bd8fe,08035669d8840c04586be611d67dcbd1e11f0f35cf71f2b5a6f27c6eadeee7dd,True,N1,0.9106085526315789,0.4603633465120699,0.24221666666666666,29066,120000,0,5,4.166666666666667e-05,0.0,569.0968276709267,0.4742473563924389,-2.945309397771394,16.979037982790643,0.0,3.553441781934422,-0.0647813978791237,0.3818591732072483,0.232975,27957,120000,0,10,8.333333333333334e-05,0.0,481.92292296530854,0.4016024358044238,-6.126368588755261,12.350521540757581,0.0,0.9895193085822368,0.004801347163156606,49.408647570168306,1.0,0.00010509853746043518
3,2,30000,0.4488946271576366,0.436825,52419,120000,0,3967,0.033058333333333335,0.0,543.9838416586337,0.45331986804886143,-6.7884004373402105,49.98960904588775,0.0,9.67903822406627,-0.2972929398948327,0.06738457843266087,0.895025,107403,120000,0,46727,0.3893916666666667,0.0,82.20395792295491,0.0685032982691291,-96.15701189453263,75.59299243265593,0.0,1.848266329642911,-0.034073322118492795,166.04931606837587,0.996666669845581,0.009134138002991676,0.913175,0.25218146158854166,0.11333333333333333,e98762ef86c2d1e1a59037b05501eba70a2a6e5e8cd4127a538b60c2d08bd8fe,08035669d8840c04586be611d67dcbd1e11f0f35cf71f2b5a6f27c6eadeee7dd,True,N1,0.9020770676691728,0.4649431647279931,0.23321666666666666,27986,120000,0,0,0.0,0.0,574.446574071181,0.4787054783926508,-2.490612964648862,16.796896759808725,0.0,3.585573425942562,-0.058623517086962236,0.365255780426806,0.244525,29343,120000,0,6,5e-05,0.0,460.8079633703427,0.38400663614195224,-6.279082371897179,12.645716437448796,0.0,1.004632050499627,-0.0010118982195854186,50.439710378956505,1.0,0.00011078143870690838
4,2,30000,0.46274450320008625,0.42255,50706,120000,0,3602,0.030016666666666667,0.0,560.6406974397189,0.46720058119976576,-4.904300974064829,49.739002662192306,0.0,9.532053749619156,-0.2912121000094339,0.06049121544961844,0.906975,108837,120000,0,50441,0.42034166666666667,0.0,73.87397662178843,0.061561647184823695,-101.11576727809941,75.61361750923611,0.0,1.781430819558772,-0.022948676978703588,172.98623108689452,0.9991666674613953,0.004156077746301889,0.91610625,0.246503955078125,0.11666666666666667,e98762ef86c2d1e1a59037b05501eba70a2a6e5e8cd4127a538b60c2d08bd8fe,08035669d8840c04586be611d67dcbd1e11f0f35cf71f2b5a6f27c6eadeee7dd,True,N1,0.9050259433962264,0.4845149634753424,0.19670833333333335,23605,120000,0,0,0.0,0.0,600.2882645839856,0.5002402204866546,-1.483268932768047,15.522903097516604,0.0,3.525020545375062,-0.07364284449722618,0.36808628700069423,0.22430833333333333,26917,120000,0,2,1.6666666666666667e-05,0.0,465.62276403135394,0.3880189700261283,-5.690992430510173,11.751960292920945,0.0,0.9896074294310095,0.013219433523481712,50.120031702516556,1.0,8.751999848755077e-05
5,2,30000,0.43084061613293756,0.46208333333333335,55450,120000,0,5109,0.042575,0.0,521.8990149327495,0.4349158457772913,-8.651578290635829,53.607790609805825,0.0,9.814945004373147,-0.3202111024037004,0.0649103750848399,0.8994416666666667,107933,120000,0,50517,0.42097500000000004,0.0,79.31274077044081,0.06609395064203401,-104.29908430229945,83.70449749318253,0.0,1.8456977766654277,-0.01712409537634812,174.65911887009864,0.9941666722297668,0.018736161291599274,0.9214520833333333,0.23288115234375,0.11,e98762ef86c2d1e1a59037b05501eba70a2a6e5e8cd4127a538b60c2d08bd8fe,08035669d8840c04586be611d67dcbd1e11f0f35cf71f2b5a6f27c6eadeee7dd,True,N1,0.9117439138576778,0.46428744686380996,0.232925,27951,120000,0,1,8.333333333333334e-06,0.0,573.8525040714959,0.4782104200595799,-2.347502553649794,16.827724506061344,0.0,3.734174088427439,-0.08080507575068623,0.3409232973619076,0.2649,31788,120000,0,6,5e-05,0.0,431.27822459500686,0.3593985204958391,-7.148618971013887,12.812228075097966,0.0,1.0114860170936546,0.017668495974503456,51.8413365012074,1.0,0.0001385890500387177
6,2,30000,0.45435880789682104,0.4363,52356,120000,0,4106,0.034216666666666666,0.0,550.3768731972472,0.45864739433103935,-5.4880170241911514,52.34007916399453,0.0,9.863253423136548,-0.29013745466247204,0.0679780405115039,0.8985333333333333,107824,120000,0,51130,0.42608333333333337,0.0,82.92581487952434,0.06910484573293696,-104.62726515370177,83.02099107300093,0.0,1.8004786453816621,-0.03299897958990187,182.33786085037758,0.9858333468437195,0.03506838530302048,0.9090229166666667,0.26337333984375,0.1175,e98762ef86c2d1e1a59037b05501eba70a2a6e5e8cd4127a538b60c2d08bd8fe,08035669d8840c04586be611d67dcbd1e11f0f35cf71f2b5a6f27c6eadeee7dd,True,N1,0.8969098205854579,0.4748057577777482,0.2264,27168,120000,0,1,8.333333333333334e-06,0.0,586.1995780498045,0.4884996483748371,-1.9181077025596363,16.847494928293933,0.0,3.6266024357896662,-0.06980309516598936,0.3546666289643513,0.26403333333333334,31684,120000,0,12,0.0001,0.0,447.1365682283968,0.37261380685699735,-7.0002435896849216,13.136530260176208,0.0,1.0039001895221926,0.007080103732296266,53.48303017556671,1.0,0.0001057209083228372
7,2,30000,0.4481318388393049,0.4397583333333333,52771,120000,0,4068,0.0339,0.0,542.9982438624023,0.45249853655200195,-6.39482505307401,51.39384234017537,0.0,9.873588606413582,-0.3220844607008621,0.06256826261235082,0.90555,108666,120000,0,51446,0.4287166666666667,0.0,76.35162733916384,0.06362635611596987,-103.33721026211215,78.07357954401424,0.0,1.8696872324873135,-0.03499660994741134,174.2670892435062,0.9983333349227905,0.006132499780505896,0.91993125,0.23464108072916667,0.11833333333333333,e98762ef86c2d1e1a59037b05501eba70a2a6e5e8cd4127a538b60c2d08bd8fe,08035669d8840c04586be611d67dcbd1e11f0f35cf71f2b5a6f27c6eadeee7dd,True,N1,0.9091847826086956,0.4785709676273992,0.22555833333333333,27067,120000,0,1,8.333333333333334e-06,0.0,590.724135793727,0.4922701131614392,-1.8927817053867892,16.955453723449885,0.0,3.696586632428798,-0.07381872243015096,0.33678092648181224,0.27869166666666667,33443,120000,0,2,1.6666666666666667e-05,0.0,424.7523771159579,0.35396031426329827,-7.3327538642187164,13.067465189533957,0.0,1.021513948648226,0.002945731955114752,54.15179832687117,1.0,0.00011003620602423325
8,2,30000,0.4489364259503786,0.4421583333333333,53059,120000,0,4719,0.039325,0.0,543.8090257509168,0.45317418812576404,-6.889330849264982,52.91510267658196,0.0,9.696511024838522,-0.308120790515095,0.0648517012293889,0.901025,108123,120000,0,50303,0.4191916666666667,0.0,79.23993115428796,0.06603327596190664,-103.43733635948418,81.96210674466725,0.0,1.8234516978092727,-0.03018703747307882,177.2992542563724,0.9941666722297668,0.014757262542843819,0.9032583333333334,0.27542233072916666,0.11416666666666667,e98762ef86c2d1e1a59037b05501eba70a2a6e5e8cd4127a538b60c2d08bd8fe,08035669d8840c04586be611d67dcbd1e11f0f35cf71f2b5a6f27c6eadeee7dd,True,N1,0.8907902163687677,0.46320591326644817,0.2502916666666667,30035,120000,0,4,3.3333333333333335e-05,0.0,571.5880722880911,0.4763233935734093,-2.6221522640700736,18.068790292919527,0.0,3.72936199897404,-0.0812733641784871,0.33885064323038544,0.28851666666666664,34622,120000,0,20,0.0001666666666666667,0.0,427.56101604311493,0.3563008467025958,-7.996168010937672,13.886928306053584,0.0,1.0202117733207992,0.0008275707051507197,55.0489060134606,1.0,0.00015933095710352063
9,2,30000,0.45252105215188265,0.4278,51336,120000,0,3116,0.02596666666666667,0.0,548.5831174633458,0.45715259788612156,-5.595060581181106,48.0653177643675,0.0,9.430359157004212,-0.33987092930357904,0.07302398634603736,0.888675,106641,120000,0,44508,0.3709,0.0,89.10615306829892,0.07425512755691577,-91.45665764452387,70.38301314369618,0.0,1.7743060703679836,-0.013599272588035092,163.4536704366023,1.0,0.00024513647076673806,0.93646875,0.19638492838541666,0.10583333333333333,e98762ef86c2d1e1a59037b05501eba70a2a6e5e8cd4127a538b60c2d08bd8fe,08035669d8840c04586be611d67dcbd1e11f0f35cf71f2b5a6f27c6eadeee7dd,True,N1,0.9289492078285181,0.47289420295178325,0.224975,26997,120000,0,0,0.0,0.0,584.0554733113529,0.4867128944261275,-1.9108006175780168,16.768372772883474,0.0,3.7170558689216247,-0.0899987770000007,0.35654041909848416,0.25751666666666667,30902,120000,0,3,2.5e-05,0.0,449.2989858911073,0.3744158215759228,-6.242840301441788,12.719393692246973,0.0,1.0049626898579114,0.01847311747726053,52.72571042683078,1.0,0.00015248054114636034
