seed,task,R10_online,R20_online,difference
0,1,0.9831666666666666,0.9835958333,-0.0004291666333333666
1,1,0.9824791666666667,0.9837145833,-0.001235416633333264
2,1,0.9827479166666667,0.9830104167,-0.0002625000333332794
3,1,0.9827104166666667,0.98328125,-0.0005708333333332982
4,1,0.98256875,0.9821625,0.0004062499999999414
5,1,0.98205625,0.9820958333,-3.958330000009003e-05
6,1,0.9834375,0.9826541667,0.000783333299999911
7,1,0.9830979166666667,0.9838645833,-0.0007666666333333572
8,1,0.98219375,0.9822,-6.249999999985434e-06
9,1,0.9828770833333333,0.9826604167,0.0002166666333333067
0,2,0.9093479166666667,0.9003958333,0.008952083366666752
1,2,0.94284375,0.91861875,0.02422499999999994
2,2,0.9207395833333333,0.91378125,0.006958333333333289
3,2,0.913175,0.9311041667,-0.0179291667
4,2,0.91610625,0.94263125,-0.02652500000000002
5,2,0.9214520833333333,0.9210458333,0.00040625003333327747
6,2,0.9090229166666667,0.89429375,0.014729166666666682
7,2,0.91993125,0.9096625,0.010268749999999938
8,2,0.9032583333333334,0.9468666667,-0.043608333366666585
9,2,0.93646875,0.9208604167,0.015608333299999999
0,3,0.4461541666666667,0.4127041667,0.0334499999666667
1,3,0.5130791666666666,0.3915125,0.12156666666666666
2,3,0.419,0.38074375,0.03825624999999999
3,3,0.37980833333333336,0.4749125,-0.09510416666666666
4,3,0.33135416666666667,0.4753520833,-0.14399791663333333
5,3,0.35377916666666664,0.4344729167,-0.08069375003333334
6,3,0.46315208333333335,0.2694541667,0.19369791663333336
7,3,0.4176666666666667,0.5003854167,-0.08271875003333334
8,3,0.36495625,0.6553979167,-0.29044166670000005
9,3,0.35288125,0.4355270833,-0.08264583330000003
0,4,0.1805125,0.1780125,0.0025000000000000022
1,4,0.20582291666666666,0.1634520833,0.042370833366666666
2,4,0.18039166666666667,0.18078125,-0.00038958333333333206
3,4,0.19774375,0.22291875,-0.025175000000000003
4,4,0.18395625,0.2001104167,-0.0161541667
5,4,0.16088958333333334,0.17775,-0.016860416666666656
6,4,0.18347291666666668,0.14245625,0.041016666666666673
7,4,0.2351125,0.19090625,0.04420625
8,4,0.173775,0.2331645833,-0.05938958329999999
9,4,0.16294791666666666,0.1706708333,-0.0077229166333333266
0,5,0.1223875,0.12214375,0.0002437500000000009
1,5,0.13916666666666666,0.1215458333,0.017620833366666658
2,5,0.13289166666666666,0.1323395833,0.0005520833666666503
3,5,0.14067083333333333,0.1335270833,0.00714375003333334
4,5,0.14538541666666666,0.1368458333,0.008539583366666659
5,5,0.12449375,0.1339208333,-0.009427083299999986
6,5,0.14032708333333332,0.1253958333,0.014931250033333315
7,5,0.157225,0.1415270833,0.01569791670000001
8,5,0.12865833333333335,0.1626875,-0.034029166666666666
9,5,0.12464166666666666,0.1221770833,0.0024645833666666617
0,6,0.11044583333333333,0.1093333333,0.0011125000333333246
1,6,0.1100125,0.1046125,0.005400000000000002
2,6,0.11675416666666667,0.1076520833,0.009102083366666666
3,6,0.1123,0.11375,-0.0014500000000000068
4,6,0.12527708333333334,0.1167854167,0.008491666633333339
5,6,0.1154,0.1116229167,0.0037770832999999976
6,6,0.12231666666666667,0.1133520833,0.008964583366666667
7,6,0.11900208333333333,0.1228645833,-0.0038624999666666687
8,6,0.09961666666666667,0.1210729167,-0.021456250033333332
9,6,0.11467083333333333,0.1081375,0.0065333333333333354
0,7,0.10181041666666667,0.1012708333,0.0005395833666666655
1,7,0.10245416666666667,0.1030354167,-0.0005812500333333276
2,7,0.10939583333333333,0.1106145833,-0.0012187499666666685
3,7,0.11110208333333334,0.11546875,-0.004366666666666658
4,7,0.11924166666666666,0.1112395833,0.008002083366666662
5,7,0.11524583333333334,0.1164291667,-0.001183333366666664
6,7,0.11186666666666667,0.1077416667,0.004124999966666668
7,7,0.10725208333333333,0.1153729167,-0.008120833366666663
