arm,online_mean,online_sd,online_min,online_max,memo_mean,initial_G2,final_G2,final_Q2,final_neff2
N1,0.9192345833333333,0.01231912165272965,0.9032583333333334,0.94284375,0.990666675567627,0.352703448761252,0.06569747221489747,0.8992575,80.21802108979665
N10,0.10215812500000002,0.0022973249695717617,0.09675625,0.10485,0.10591666921973228,6.708691247538928e-05,5.333397774936025e-05,0.9999399999999999,0.9201896848676308
N1r,0.9708941666666666,0.0035027956482494293,0.96505625,0.9753416666666667,0.9850833356380463,0.352703448761252,0.11268270514946448,0.7490133333333334,140.49448433905968
N10r,0.10198541666666668,0.003120800573432369,0.09616041666666666,0.10740833333333333,0.10533333644270897,6.708691247538928e-05,5.713121154910754e-05,0.9999324999999999,0.9372080106323191
R1_10,0.5695591666666667,0.045592529638894326,0.47536666666666666,0.6316416666666667,0.7605833530426025,0.35270345186603996,0.01779555895505588,0.9799925,21.722596935702366
R1_10r,0.9282266666666666,0.004451286811968823,0.9215604166666667,0.9337583333333334,0.9812500059604645,0.35270345186603996,0.048527751038684626,0.9411858333333333,58.88103222000031
S1_10r,0.29231999999999997,0.019467588091777354,0.25566666666666665,0.32169583333333335,0.34833334684371947,6.708691245754052e-05,0.0004919451270952379,0.9994799999999999,1.423772098491493
S1_10,0.28859583333333333,0.015151536892871601,0.25583125,0.30250625,0.33758334815502167,6.708691245754052e-05,0.00022808886485552082,0.9997516666666668,1.1423095841129385
S1u5r,0.9651783333333332,0.0019411627068128393,0.9626395833333333,0.9693208333333333,1.0,0.20379872488236633,0.107111373634503,0.7966566666666667,132.34168775528423
S1u10r,0.9630227083333333,0.0015592099466695535,0.9611416666666667,0.9662666666666667,1.0,0.10460867960945666,0.11293205216489219,0.8065008333333333,138.73335043919315
S1u20r,0.9581602083333334,0.0016263211183574486,0.95636875,0.9612291666666667,1.0,0.02207559095316371,0.10330120898447581,0.8428116666666667,126.2527588301385
S1_L1_10r,0.9670706249999999,0.0034096572252800333,0.962225,0.9719333333333333,1.0,0.352703448761252,0.13488122111573383,0.73221,167.22699330073763
