metric,arm_a,arm_b,mean,sd,low,high,level,degenerate_sd,sign,tier
P1,R1_10,N10,0.46740104166666674,0.04550333914887914,0.4287652948060891,0.5060367885272443,0.975,False,+,PRIMARY
P2,N1r,S1_10r,0.6785741666666667,0.019998436768575906,0.6615939943309624,0.695554339002371,0.975,False,+,PRIMARY
P1_95,R1_10,N10,0.46740104166666674,0.04550333914887914,0.4348499137617955,0.499952169571538,0.95,False,+,REPORT_ONLY
P2_95,N1r,S1_10r,0.6785741666666667,0.019998436768575906,0.6642681468156504,0.692880186517683,0.95,False,+,REPORT_ONLY
restore_reset,R1_10r,N10r,0.82624125,0.005786233612748148,0.8221020278255616,0.8303804721744384,0.95,False,+,REPORT_ONLY
sink_keep,N1,S1_10,0.6306387499999999,0.02258650165693582,0.6144813400579954,0.6467961599420045,0.95,False,+,REPORT_ONLY
sink_L1,N1r,S1_L1_10r,0.00382354166666663,0.0036262926135673386,0.0012294482024812039,0.006417635130852056,0.95,False,+,REPORT_ONLY
layer_difference,S1_L1_10r,S1_10r,0.6747506249999999,0.019875386819019018,0.6605326297801785,0.6889686202198214,0.95,False,+,REPORT_ONLY
