arm,seed,layer,actual_batch_G,full_same_state_G,max_abs_difference,mean_abs_difference,actual_Q,full_Q,note
N1,0,1,0.48154444059734464,0.48154444037974,3.7789344787597656e-05,9.788047835083896e-08,0.31845833333333334,0.31845833333333334,Both at each pre-update state; includes learning during epoch.
N1,0,2,0.054025466601201,0.054025466369317446,3.0040740966796875e-05,4.7347647855854456e-08,0.8255583333333333,0.8255583333333333,Both at each pre-update state; includes learning during epoch.
N1,1,1,0.4573632848816066,0.45736328705404644,5.1140785217285156e-05,1.0386511303979735e-07,0.3342583333333333,0.3342583333333333,Both at each pre-update state; includes learning during epoch.
N1,1,2,0.06713172299289916,0.06713172505612006,3.415346145629883e-05,5.459086329174195e-08,0.7899,0.7899,Both at each pre-update state; includes learning during epoch.
N1,2,1,0.4670292458051926,0.4670292420182107,3.445148468017578e-05,1.0019986215152038e-07,0.3237583333333333,0.3237583333333333,Both at each pre-update state; includes learning during epoch.
N1,2,2,0.06119826068285919,0.06119825582073768,3.349781036376953e-05,4.976899464655474e-08,0.801525,0.801525,Both at each pre-update state; includes learning during epoch.
N1,3,1,0.4688410485397075,0.4688410511681526,2.7954578399658203e-05,9.33712289826489e-08,0.32285833333333336,0.32285833333333336,Both at each pre-update state; includes learning during epoch.
N1,3,2,0.06701734334934333,0.0670173422472037,2.765655517578125e-05,5.527959304128705e-08,0.782025,0.782025,Both at each pre-update state; includes learning during epoch.
N1,4,1,0.4910637815225583,0.4910637826453203,4.553794860839844e-05,1.0109994426142112e-07,0.30094166666666666,0.30094166666666666,Both at each pre-update state; includes learning during epoch.
N1,4,2,0.0602083826648718,0.06020838604815841,2.467632293701172e-05,4.9703438726640375e-08,0.8118666666666666,0.8118666666666666,Both at each pre-update state; includes learning during epoch.
N1,5,1,0.46273498621747516,0.4627349856026689,3.838539123535156e-05,1.0026918820832045e-07,0.3320416666666667,0.3320416666666667,Both at each pre-update state; includes learning during epoch.
