zbar_cur,sigma_cur,between_cur,pos_frac,zbar_inv,sigma_inv,between_inv,pos_frac_inv,var_off,var_wid,var_cross,rowmean,rowmean_sd,cnorm,bias,bias_sd,star,star_sd,eps_max,w2col,gate_mean,ce_probe,acc,gbar,gvar_mean,gbar_var,pooled_var,g3_ident,cov,cov_abs,cov10,cov50,q10_med,hard_dead,gmin,gmax,sat,dead_units,gcorr,gcorr_degenerate,task,step,clamp,arm,seed,act,twin,lr
0.5270098903111323,1.0146138124748612,0.38837572819576666,0.67462890625,0.1184483482708808,0.3536751856262543,0.2933469103686417,0.5893310546874999,0.037950172404496635,0.08699959378200249,0.0001363707412663091,0.000997439829486463,0.005288808478152541,1.1545971965100605,0.02143274445203133,0.03394649592931493,0.12360829803815934,0.5368007919010578,0.18242239526850135,0.783020937496611,0.700839879509972,0.250963419675827,0.9160000085830688,0.7008398794971845,0.14848961924055146,0.0371252381439686,0.1856148573845205,4.440892098500626e-16,0.32537109375,0.32537109375,0.32537109375,0.32537109375,0.08404821902513504,0,0.0036219207104295492,1.0,0.01294921875,0,0.19625818892500588,0,1,625,ref,SMINS,0,SMINS,,0.001
-0.13028603172389713,1.2222062301632064,1.0499882613368674,0.43939453125,-0.09271823477438997,0.4873936134675103,0.6836042715702539,0.46156494140625,0.08577598354910693,0.15208562892708385,-0.00030907802727389024,-0.0009578156111518501,0.008034498775752593,1.542542013850062,0.023535138391307556,0.04793311358087652,-0.07458139697229657,0.8111088785368231,0.2557127863760871,0.8602581226246538,0.4796727899719819,0.21046867966651917,0.9279999732971191,0.479672790025662,0.1451258875079635,0.06725718961095704,0.21238307711897744,5.687117443642364e-14,0.56060546875,0.56060546875,0.56060546875,0.56060546875,0.06738420277833938,0,0.00011944074503844604,1.0,0.0698828125,0,0.2323704069447941,0,2,625,ref,SMINS,0,SMINS,,0.001
-0.6013299504222261,1.2570527142786811,1.3150993740719519,0.29322265625,-0.3565080077261463,0.5763115860192555,0.799456131105,0.3371337890625,0.11643618024851268,0.2169389191308914,-0.0012400551993743158,-0.003488020740960743,0.00875822041126029,1.8017173856106945,0.023164562614401803,0.06043474588026138,-0.3341406497822695,0.8830945823118099,0.28374426339545256,0.9266576810096381,0.341060595595972,0.24674071371555328,0.9190000295639038,0.34106059556590124,0.11209387082916646,0.06828120325675718,0.18037507408596987,4.624078897563777e-14,0.70677734375,0.70677734375,0.70677734375,0.70677734375,0.05544272214174271,0,7.755510887363926e-05,1.0,0.1180859375,0,0.18002609382325943,0,3,625,ref,SMINS,0,SMINS,,0.001
-1.0003703674177882,1.2908321405899563,1.8413087960036665,0.24205078125,-0.676538389809223,0.6613178585386208,0.9163785756080783,0.235263671875,0.17495231016795645,0.26427333401602426,-0.00188433416187332,-0.006751012913127932,0.009378719575566007,1.99864418937284,0.020564830128569155,0.07345376525683842,-0.6709941604734868,0.9492603949407196,0.2712058338955803,0.9839668004211838,0.28804379421959864,0.22067880630493164,0.9277999997138977,0.28804379423009335,0.09571100543401993,0.0665291986879914,0.16224020412197476,3.658184866139891e-14,0.75794921875,0.75794921875,0.75794921875,0.75794921875,0.042406579852104186,0,1.5328707377193496e-05,1.0,0.2234375,0,0.17096730316723055,0,4,625,ref,SMINS,0,SMINS,,0.001
-0.9931774109256116,1.2808317649487182,1.4917671322261186,0.22759765625,-0.8352558032013667,0.7314261058467686,1.0541542246758135,0.20511474609375,0.22226883168804007,0.3167010251166559,-0.003985708490527354,-0.008253599118323043,0.010076216068875082,2.155205942894047,0.022049346775747835,0.07871869957718622,-0.8234312868047465,1.0186243921224232,0.252284766739745,1.033165202560518,0.27582254627902564,0.21371181309223175,0.9244999885559082,0.27582254620412733,0.0914329852105553,0.0634420710163885,0.15487505622696593,2.2121193765656244e-14,0.77240234375,0.77240234375,0.77240234375,0.77240234375,0.0447048656642437,0,4.752899258164689e-05,1.0,0.20173828125,0,0.27046501020723285,0,5,625,ref,SMINS,0,SMINS,,0.001
-1.1447775978321717,1.3145249099916694,1.4729195446001935,0.206015625,-0.9910704047524186,0.7852400919504263,1.1043913357384565,0.17659179687499998,0.26205290023439926,0.35790257538070586,-0.00335347360879087,-0.009655161094916567,0.010334216929659003,2.2953880757463585,0.02302119489759207,0.08436239660128558,-0.966032380739408,1.048542768345347,0.2678535378718713,1.0823593525328763,0.25393697905126367,0.22833606600761414,0.9276999831199646,0.2539369791387792,0.088643492753539,0.05616834336301284,0.144811836116521,3.086420008457935e-14,0.793984375,0.793984375,0.793984375,0.793984375,0.03966482095420361,0,5.9925539972027764e-05,1.0,0.23373046875,0,0.34926414808654077,0,6,625,ref,SMINS,0,SMINS,,0.001
-1.2852954447349847,1.335405948004092,1.89245386400312,0.203671875,-1.0998998302785816,0.8279117882628632,1.1642551815478117,0.16110595703125002,0.29791768583633066,0.3904926427180607,-0.0029723994097790828,-0.010803920895112885,0.010519892030659343,2.41169053451098,0.025332783714402465,0.09019334178598598,-1.0813972321976764,1.06522125031759,0.3301468017462681,1.1293780306634824,0.24915192967481073,0.22633980214595795,0.9190000295639038,0.24915192965653266,0.0849380323184024,0.05969874102594601,0.14463677334433134,1.7069679003611782e-14,0.796328125,0.796328125,0.796328125,0.796328125,0.032922323793172836,0,1.7770971680874936e-05,1.0,0.280390625,0,0.330185503511174,0,7,625,ref,SMINS,0,SMINS,,0.001
-1.3379324804589257,1.3717682348566798,1.7358685976834118,0.19298828125,-1.2366766967036025,0.8815685506591786,1.309211492224861,0.15198974609375002,0.3510735714738828,0.4243507629861861,0.0017387750512564304,-0.012033546174577067,0.011097707374958786,2.5433408686223644,0.0265501571749337,0.09302694729331769,-1.2061399817627472,1.1250310872076956,0.34008779018971613,1.1753201082737206,0.23848788730325332,0.22229908406734467,0.9251000285148621,0.23848788727061865,0.08574340626080117,0.053386211531473944,0.13912961779224964,2.5479618415147343e-14,0.80701171875,0.80701171875,0.80701171875,0.80701171875,0.03272055312991142,0,3.799930345849134e-05,1.0,0.2986328125,0,0.30540693077700615,0,8,625,ref,SMINS,0,SMINS,,0.001
-1.4448553548056173,1.3647133975568486,1.5914924273736406,0.16849609375,-1.3101878443915878,0.9206783055094044,1.2976386522917838,0.148193359375,0.379905258943848,0.46976551478556616,-0.0020222314937455277,-0.012923970800112894,0.011087957421896682,2.661547949288285,0.028667512305546552,0.09756945106162024,-1.2952357768907168,1.1213387440140214,0.39904936628039334,1.2183265622686728,0.21495523602661734,0.1978166401386261,0.932200014591217,0.21495523605920247,0.07961975762358675,0.04572890233214311,0.125348659955733,3.1363800445660672e-15,0.83150390625,0.83150390625,0.83150390625,0.83150390625,0.030054848268628122,0,3.647533230832778e-05,1.0,0.3155078125,0,0.39445928752563536,0,9,625,ref,SMINS,0,SMINS,,0.001
-1.4515561743729983,1.4312702902899344,1.7604044453718541,0.18537109375,-1.3865661897436743,0.9568923277283086,1.2894359148219794,0.1448486328125,0.4050243414529547,0.5131287767071225,-0.0025101912947760076,-0.013738946860457173,0.01097205102675827,2.7717502910110827,0.03330590911093168,0.10124427111571584,-1.3740817444183568,1.1135743359659542,0.48880898523403793,1.2597484821305645,0.229788932987894,0.22632767260074615,0.9248999953269958,0.22978893294316122,0.08372480600737121,0.05175289013855256,0.13547769614591515,8.631984016460592e-15,0.81462890625,0.81462890625,0.81462890625,0.81462890625,0.026275126822292806,0,2.5303426809841767e-05,1.0,0.326171875,0,0.372122871270124,0,10,625,ref,SMINS,0,SMINS,,0.001
