pair,cell,r,J,g,D,n_swapped,net,arm,iv,seed,task
1_15,AAAA,A,A,A,A,0,0.0001979955861801247,LR,none,0,21
1_15,AAAB,A,A,A,B,1,0.0007385290630735555,LR,none,0,21
1_15,AABA,A,A,B,A,1,0.01191287795204138,LR,none,0,21
1_15,AABB,A,A,B,B,2,0.009376405424830961,LR,none,0,21
1_15,ABAA,A,B,A,A,1,0.003034014103635287,LR,none,0,21
1_15,ABAB,A,B,A,B,2,0.0025228431695257843,LR,none,0,21
1_15,ABBA,A,B,B,A,2,0.012688670593188652,LR,none,0,21
1_15,ABBB,A,B,B,B,3,0.009729202451594888,LR,none,0,21
1_15,BAAA,B,A,A,A,1,1.648498158969336e-05,LR,none,0,21
1_15,BAAB,B,A,A,B,2,-0.00017819871811660713,LR,none,0,21
1_15,BABA,B,A,B,A,2,-0.0006649866968139914,LR,none,0,21
1_15,BABB,B,A,B,B,3,-0.000544688631003105,LR,none,0,21
1_15,BBAA,B,B,A,A,2,0.0003541497425151441,LR,none,0,21
1_15,BBAB,B,B,A,B,3,0.00022632876310975172,LR,none,0,21
1_15,BBBA,B,B,B,A,3,0.0002827378547666584,LR,none,0,21
1_15,BBBB,B,B,B,B,4,0.00035013989163172306,LR,none,0,21
1_15,J:gate2_only,A,gate2_only,A,A,1,0.002623775754562574,LR,none,0,21
1_15,J:weights_only,A,weights_only,A,A,1,0.0002609564446665591,LR,none,0,21
1_40,AAAA,A,A,A,A,0,0.0001979955861801247,LR,none,0,21
1_40,AAAB,A,A,A,B,1,0.0001805844143460654,LR,none,0,21
1_40,AABA,A,A,B,A,1,0.019834332702323872,LR,none,0,21
1_40,AABB,A,A,B,B,2,0.013343277465628857,LR,none,0,21
1_40,ABAA,A,B,A,A,1,0.010592359452648277,LR,none,0,21
1_40,ABAB,A,B,A,B,2,0.007487684987389071,LR,none,0,21
1_40,ABBA,A,B,B,A,2,0.03689904615863646,LR,none,0,21
1_40,ABBB,A,B,B,B,3,0.025025540871233088,LR,none,0,21
1_40,BAAA,B,A,A,A,1,-0.003892346566202286,LR,none,0,21
1_40,BAAB,B,A,A,B,2,-0.0028886369580495798,LR,none,0,21
1_40,BABA,B,A,B,A,2,-0.0037880923314812156,LR,none,0,21
1_40,BABB,B,A,B,B,3,-0.0026604127246161046,LR,none,0,21
1_40,BBAA,B,B,A,A,2,-0.003444788240136898,LR,none,0,21
1_40,BBAB,B,B,A,B,3,-0.002513174186810837,LR,none,0,21
1_40,BBBA,B,B,B,A,3,-0.0028865656351526035,LR,none,0,21
1_40,BBBB,B,B,B,B,4,-0.002001863621492999,LR,none,0,21
1_40,J:gate2_only,A,gate2_only,A,A,1,0.008215302567381866,LR,none,0,21
1_40,J:weights_only,A,weights_only,A,A,1,0.0019560768741207855,LR,none,0,21
1_15,AAAA,A,A,A,A,0,0.0017457932280156812,LR,none,0,22
1_15,AAAB,A,A,A,B,1,0.001613643495073041,LR,none,0,22
1_15,AABA,A,A,B,A,1,0.024938000966556156,LR,none,0,22
1_15,AABB,A,A,B,B,2,0.018025807001592353,LR,none,0,22
1_15,ABAA,A,B,A,A,1,0.004924357971928525,LR,none,0,22
1_15,ABAB,A,B,A,B,2,0.003971710781997423,LR,none,0,22
1_15,ABBA,A,B,B,A,2,0.017846047531650058,LR,none,0,22
1_15,ABBB,A,B,B,B,3,0.013074339061058721,LR,none,0,22
1_15,BAAA,B,A,A,A,1,-0.0022946391348216398,LR,none,0,22
1_15,BAAB,B,A,A,B,2,-0.002294044016373735,LR,none,0,22
1_15,BABA,B,A,B,A,2,-0.0022287790878714043,LR,none,0,22
1_15,BABB,B,A,B,B,3,-0.002226529391450144,LR,none,0,22
1_15,BBAA,B,B,A,A,2,-0.0014231867768079707,LR,none,0,22
1_15,BBAB,B,B,A,B,3,-0.001460403697761383,LR,none,0,22
1_15,BBBA,B,B,B,A,3,-0.0007686732259321654,LR,none,0,22
1_15,BBBB,B,B,B,B,4,-0.0010543470992492175,LR,none,0,22
1_15,J:gate2_only,A,gate2_only,A,A,1,0.006140078936159383,LR,none,0,22
1_15,J:weights_only,A,weights_only,A,A,1,-0.0016546480137862452,LR,none,0,22
1_40,AAAA,A,A,A,A,0,0.0017457932280156812,LR,none,0,22
1_40,AAAB,A,A,A,B,1,0.000793131922593048,LR,none,0,22
1_40,AABA,A,A,B,A,1,0.03470900162236174,LR,none,0,22
1_40,AABB,A,A,B,B,2,0.02110023884086897,LR,none,0,22
1_40,ABAA,A,B,A,A,1,0.013048765201303419,LR,none,0,22
1_40,ABAB,A,B,A,B,2,0.008996956774691468,LR,none,0,22
1_40,ABBA,A,B,B,A,2,0.040177828165451734,LR,none,0,22
1_40,ABBB,A,B,B,B,3,0.025498289776638258,LR,none,0,22
1_40,BAAA,B,A,A,A,1,-0.003015753957633373,LR,none,0,22
1_40,BAAB,B,A,A,B,2,-0.0021217418494211553,LR,none,0,22
1_40,BABA,B,A,B,A,2,-0.002431693082453129,LR,none,0,22
1_40,BABB,B,A,B,B,3,-0.0015638968924290948,LR,none,0,22
1_40,BBAA,B,B,A,A,2,-0.0011166099802290873,LR,none,0,22
1_40,BBAB,B,B,A,B,3,-0.0007888757965469781,LR,none,0,22
1_40,BBBA,B,B,B,A,3,0.0006560542960783327,LR,none,0,22
1_40,BBBB,B,B,B,B,4,0.0003382885377874136,LR,none,0,22
1_40,J:gate2_only,A,gate2_only,A,A,1,0.012576690792450773,LR,none,0,22
1_40,J:weights_only,A,weights_only,A,A,1,-0.001197017140683514,LR,none,0,22
1_15,AAAA,A,A,A,A,0,0.00046044682230638763,LR,none,0,23
1_15,AAAB,A,A,A,B,1,0.00025048735132884305,LR,none,0,23
1_15,AABA,A,A,B,A,1,0.012371846161244936,LR,none,0,23
1_15,AABB,A,A,B,B,2,0.008867200521494685,LR,none,0,23
1_15,ABAA,A,B,A,A,1,0.0070573010484948654,LR,none,0,23
1_15,ABAB,A,B,A,B,2,0.00536909619463602,LR,none,0,23
1_15,ABBA,A,B,B,A,2,0.018232639972646823,LR,none,0,23
1_15,ABBB,A,B,B,B,3,0.01330600367290394,LR,none,0,23
1_15,BAAA,B,A,A,A,1,-0.00931230146600609,LR,none,0,23
1_15,BAAB,B,A,A,B,2,-0.0075068049157281215,LR,none,0,23
1_15,BABA,B,A,B,A,2,-0.00868355304201796,LR,none,0,23
1_15,BABB,B,A,B,B,3,-0.006819241564126032,LR,none,0,23
1_15,BBAA,B,B,A,A,2,-0.007057061379484391,LR,none,0,23
1_15,BBAB,B,B,A,B,3,-0.005531376170721034,LR,none,0,23
1_15,BBBA,B,B,B,A,3,-0.006605316578968187,LR,none,0,23
1_15,BBBB,B,B,B,B,4,-0.004997972925650357,LR,none,0,23
1_15,J:gate2_only,A,gate2_only,A,A,1,0.006196548914895399,LR,none,0,23
1_15,J:weights_only,A,weights_only,A,A,1,0.001283243486671154,LR,none,0,23
1_40,AAAA,A,A,A,A,0,0.00046044682230638763,LR,none,0,23
1_40,AAAB,A,A,A,B,1,-5.327449738528112e-05,LR,none,0,23
1_40,AABA,A,A,B,A,1,0.019419669615059018,LR,none,0,23
1_40,AABB,A,A,B,B,2,0.011614809795273861,LR,none,0,23
1_40,ABAA,A,B,A,A,1,0.015833977144751193,LR,none,0,23
1_40,ABAB,A,B,A,B,2,0.011106193619156341,LR,none,0,23
1_40,ABBA,A,B,B,A,2,0.03937893182262608,LR,none,0,23
1_40,ABBB,A,B,B,B,3,0.024233481034398326,LR,none,0,23
1_40,BAAA,B,A,A,A,1,-0.003047077427994504,LR,none,0,23
1_40,BAAB,B,A,A,B,2,-0.002200296263879313,LR,none,0,23
1_40,BABA,B,A,B,A,2,-0.0019364120343066502,LR,none,0,23
1_40,BABB,B,A,B,B,3,-0.0012862522207164645,LR,none,0,23
1_40,BBAA,B,B,A,A,2,-0.0024720344012227552,LR,none,0,23
1_40,BBAB,B,B,A,B,3,-0.001684887559595756,LR,none,0,23
1_40,BBBA,B,B,B,A,3,-0.002013591113622683,LR,none,0,23
1_40,BBBB,B,B,B,B,4,-0.0011183516134979968,LR,none,0,23
1_40,J:gate2_only,A,gate2_only,A,A,1,0.012744292327843396,LR,none,0,23
1_40,J:weights_only,A,weights_only,A,A,1,0.003323611571705344,LR,none,0,23
1_15,AAAA,A,A,A,A,0,-0.0126904988843277,LR,none,0,24
1_15,AAAB,A,A,A,B,1,-0.009342755124982975,LR,none,0,24
1_15,AABA,A,A,B,A,1,0.009987520601654616,LR,none,0,24
1_15,AABB,A,A,B,B,2,0.0078052654182657125,LR,none,0,24
1_15,ABAA,A,B,A,A,1,0.0002631377980745974,LR,none,0,24
1_15,ABAB,A,B,A,B,2,2.7336048444797575e-05,LR,none,0,24
1_15,ABBA,A,B,B,A,2,0.010198058237179347,LR,none,0,24
1_15,ABBB,A,B,B,B,3,0.0074297636604294046,LR,none,0,24
1_15,BAAA,B,A,A,A,1,-0.0024659037280196595,LR,none,0,24
1_15,BAAB,B,A,A,B,2,-0.0022190612226628877,LR,none,0,24
1_15,BABA,B,A,B,A,2,-0.003224980931183476,LR,none,0,24
1_15,BABB,B,A,B,B,3,-0.002986856370244311,LR,none,0,24
1_15,BBAA,B,B,A,A,2,-0.0010935710258512833,LR,none,0,24
1_15,BBAB,B,B,A,B,3,-0.0011409351915407085,LR,none,0,24
1_15,BBBA,B,B,B,A,3,-0.0020582358064880437,LR,none,0,24
1_15,BBBB,B,B,B,B,4,-0.0020197736194925843,LR,none,0,24
1_15,J:gate2_only,A,gate2_only,A,A,1,0.0006478959186316682,LR,none,0,24
1_15,J:weights_only,A,weights_only,A,A,1,-0.014362424161292846,LR,none,0,24
1_40,AAAA,A,A,A,A,0,-0.0126904988843277,LR,none,0,24
1_40,AAAB,A,A,A,B,1,-0.009663203203828331,LR,none,0,24
1_40,AABA,A,A,B,A,1,0.015489353662062576,LR,none,0,24
1_40,AABB,A,A,B,B,2,0.009753833364309194,LR,none,0,24
1_40,ABAA,A,B,A,A,1,0.008271059336058532,LR,none,0,24
1_40,ABAB,A,B,A,B,2,0.005311747844889831,LR,none,0,24
1_40,ABBA,A,B,B,A,2,0.02660591579192607,LR,none,0,24
1_40,ABBB,A,B,B,B,3,0.0169689971533216,LR,none,0,24
1_40,BAAA,B,A,A,A,1,-0.0035426911193578857,LR,none,0,24
1_40,BAAB,B,A,A,B,2,-0.002801296682777419,LR,none,0,24
1_40,BABA,B,A,B,A,2,-5.063070589433852e-05,LR,none,0,24
1_40,BABB,B,A,B,B,3,-0.0003647948954794866,LR,none,0,24
1_40,BBAA,B,B,A,A,2,0.0005780660101203541,LR,none,0,24
1_40,BBAB,B,B,A,B,3,0.00014172229913413833,LR,none,0,24
1_40,BBBA,B,B,B,A,3,0.0034296665768564993,LR,none,0,24
1_40,BBBB,B,B,B,B,4,0.0019303787255718374,LR,none,0,24
1_40,J:gate2_only,A,gate2_only,A,A,1,0.006198219528416149,LR,none,0,24
1_40,J:weights_only,A,weights_only,A,A,1,-0.01145651932621326,LR,none,0,24
1_15,AAAA,A,A,A,A,0,-0.0064806513160384814,LR,none,0,25
1_15,AAAB,A,A,A,B,1,-0.00486497471933855,LR,none,0,25
1_15,AABA,A,A,B,A,1,0.01058513075337448,LR,none,0,25
1_15,AABB,A,A,B,B,2,0.007354896892938787,LR,none,0,25
1_15,ABAA,A,B,A,A,1,0.0007069193942241688,LR,none,0,25
1_15,ABAB,A,B,A,B,2,4.423271534064077e-05,LR,none,0,25
1_15,ABBA,A,B,B,A,2,0.01446935991685701,LR,none,0,25
1_15,ABBB,A,B,B,B,3,0.009660290430985725,LR,none,0,25
1_15,BAAA,B,A,A,A,1,-0.0047843032135282655,LR,none,0,25
1_15,BAAB,B,A,A,B,2,-0.003389925127291269,LR,none,0,25
1_15,BABA,B,A,B,A,2,-0.00036855311239767085,LR,none,0,25
1_15,BABB,B,A,B,B,3,-0.00034474703537822326,LR,none,0,25
1_15,BBAA,B,B,A,A,2,-0.0018506834979317476,LR,none,0,25
1_15,BBAB,B,B,A,B,3,-0.0013010116773462493,LR,none,0,25
1_15,BBBA,B,B,B,A,3,0.002237716303631002,LR,none,0,25
1_15,BBBB,B,B,B,B,4,0.001453381663409343,LR,none,0,25
1_15,J:gate2_only,A,gate2_only,A,A,1,0.0008600977994276283,LR,none,0,25
1_15,J:weights_only,A,weights_only,A,A,1,-0.007339331499205285,LR,none,0,25
1_40,AAAA,A,A,A,A,0,-0.0064806513160384814,LR,none,0,25
1_40,AAAB,A,A,A,B,1,-0.005629481280548968,LR,none,0,25
1_40,AABA,A,A,B,A,1,0.016547831051058025,LR,none,0,25
1_40,AABB,A,A,B,B,2,0.009374853695833761,LR,none,0,25
1_40,ABAA,A,B,A,A,1,0.0032430467095963637,LR,none,0,25
1_40,ABAB,A,B,A,B,2,-0.00030379533681126945,LR,none,0,25
1_40,ABBA,A,B,B,A,2,0.03198411370311983,LR,none,0,25
1_40,ABBB,A,B,B,B,3,0.017170187521379724,LR,none,0,25
1_40,BAAA,B,A,A,A,1,-0.0002045288947168287,LR,none,0,25
1_40,BAAB,B,A,A,B,2,-0.00018927021850407593,LR,none,0,25
1_40,BABA,B,A,B,A,2,0.0029597627716561954,LR,none,0,25
1_40,BABB,B,A,B,B,3,0.0017318961843508557,LR,none,0,25
1_40,BBAA,B,B,A,A,2,0.0005376078191690422,LR,none,0,25
1_40,BBAB,B,B,A,B,3,0.00031724905175049237,LR,none,0,25
1_40,BBBA,B,B,B,A,3,0.003802589484361057,LR,none,0,25
1_40,BBBB,B,B,B,B,4,0.002229454158011496,LR,none,0,25
1_40,J:gate2_only,A,gate2_only,A,A,1,0.0013839703216378773,LR,none,0,25
1_40,J:weights_only,A,weights_only,A,A,1,-0.005547955775585879,LR,none,0,25
1_15,AAAA,A,A,A,A,0,-0.0025071906013790024,LR,none,0,26
1_15,AAAB,A,A,A,B,1,-0.00195720743915768,LR,none,0,26
1_15,AABA,A,A,B,A,1,0.011353095238304174,LR,none,0,26
1_15,AABB,A,A,B,B,2,0.007664439255216351,LR,none,0,26
1_15,ABAA,A,B,A,A,1,0.004471133668277994,LR,none,0,26
1_15,ABAB,A,B,A,B,2,0.0030338133045798737,LR,none,0,26
1_15,ABBA,A,B,B,A,2,0.0146249393619288,LR,none,0,26
1_15,ABBB,A,B,B,B,3,0.010080316913390161,LR,none,0,26
1_15,BAAA,B,A,A,A,1,-0.00863012392705706,LR,none,0,26
1_15,BAAB,B,A,A,B,2,-0.006023781930842932,LR,none,0,26
1_15,BABA,B,A,B,A,2,-0.004911092856958753,LR,none,0,26
1_15,BABB,B,A,B,B,3,-0.0036459466695799515,LR,none,0,26
1_15,BBAA,B,B,A,A,2,-0.005169746965590467,LR,none,0,26
1_15,BBAB,B,B,A,B,3,-0.0034761880845688695,LR,none,0,26
1_15,BBBA,B,B,B,A,3,-0.0021993941565185,LR,none,0,26
1_15,BBBB,B,B,B,B,4,-0.0015965014333788536,LR,none,0,26
1_15,J:gate2_only,A,gate2_only,A,A,1,0.0037289745888586627,LR,none,0,26
1_15,J:weights_only,A,weights_only,A,A,1,-0.00203786129903647,LR,none,0,26
1_40,AAAA,A,A,A,A,0,-0.0025071906013790024,LR,none,0,26
1_40,AAAB,A,A,A,B,1,-0.0023749280787451112,LR,none,0,26
1_40,AABA,A,A,B,A,1,0.019309843075243298,LR,none,0,26
1_40,AABB,A,A,B,B,2,0.010926031652682036,LR,none,0,26
1_40,ABAA,A,B,A,A,1,0.014811939959772853,LR,none,0,26
1_40,ABAB,A,B,A,B,2,0.009380572039481162,LR,none,0,26
1_40,ABBA,A,B,B,A,2,0.03587637802706235,LR,none,0,26
1_40,ABBB,A,B,B,B,3,0.021562803815695312,LR,none,0,26
1_40,BAAA,B,A,A,A,1,-0.005245369862909405,LR,none,0,26
1_40,BAAB,B,A,A,B,2,-0.0035087376033020663,LR,none,0,26
