pair,cell,r,J,g,D,n_swapped,net,arm,iv,seed,task
1_15,AAAA,A,A,A,A,0,-0.007764680282449089,SNA,l2,0,21
1_15,AAAB,A,A,A,B,1,-0.007886156457990574,SNA,l2,0,21
1_15,AABA,A,A,B,A,1,0.015846032742170262,SNA,l2,0,21
1_15,AABB,A,A,B,B,2,0.012229315603512451,SNA,l2,0,21
1_15,ABAA,A,B,A,A,1,-0.003158698202662438,SNA,l2,0,21
1_15,ABAB,A,B,A,B,2,-0.0030673000870877153,SNA,l2,0,21
1_15,ABBA,A,B,B,A,2,0.022118938417053004,SNA,l2,0,21
1_15,ABBB,A,B,B,B,3,0.018130945244534753,SNA,l2,0,21
1_15,BAAA,B,A,A,A,1,0.001491554191384587,SNA,l2,0,21
1_15,BAAB,B,A,A,B,2,0.001466019898270601,SNA,l2,0,21
1_15,BABA,B,A,B,A,2,0.002824587301621336,SNA,l2,0,21
1_15,BABB,B,A,B,B,3,0.0025113178967815088,SNA,l2,0,21
1_15,BBAA,B,B,A,A,2,0.0008629728929633332,SNA,l2,0,21
1_15,BBAB,B,B,A,B,3,0.0008827537658747001,SNA,l2,0,21
1_15,BBBA,B,B,B,A,3,0.002949553714768452,SNA,l2,0,21
1_15,BBBB,B,B,B,B,4,0.0025692338442858662,SNA,l2,0,21
1_15,J:gate2_only,A,gate2_only,A,A,1,-0.005863311168205056,SNA,l2,0,21
1_15,J:weights_only,A,weights_only,A,A,1,-0.004854676161601265,SNA,l2,0,21
1_15,alpha_only,A,alpha,alpha,A,1,-0.007889182920131186,SNA,l2,0,21
1_40,AAAA,A,A,A,A,0,-0.007764680282449089,SNA,l2,0,21
1_40,AAAB,A,A,A,B,1,-0.00749488013273518,SNA,l2,0,21
1_40,AABA,A,A,B,A,1,0.017594232076841333,SNA,l2,0,21
1_40,AABB,A,A,B,B,2,0.012267301955523346,SNA,l2,0,21
1_40,ABAA,A,B,A,A,1,-0.002835880238039591,SNA,l2,0,21
1_40,ABAB,A,B,A,B,2,-0.0029025872095483087,SNA,l2,0,21
1_40,ABBA,A,B,B,A,2,0.03540445215819796,SNA,l2,0,21
1_40,ABBB,A,B,B,B,3,0.025826990169632583,SNA,l2,0,21
1_40,BAAA,B,A,A,A,1,0.002108252234593322,SNA,l2,0,21
1_40,BAAB,B,A,A,B,2,0.0015179576999234212,SNA,l2,0,21
1_40,BABA,B,A,B,A,2,0.0015914908192933772,SNA,l2,0,21
1_40,BABB,B,A,B,B,3,0.0009673395647627164,SNA,l2,0,21
1_40,BBAA,B,B,A,A,2,0.0029817969690600437,SNA,l2,0,21
1_40,BBAB,B,B,A,B,3,0.0019541622910704244,SNA,l2,0,21
1_40,BBBA,B,B,B,A,3,0.001496275682535732,SNA,l2,0,21
1_40,BBBB,B,B,B,B,4,0.0007485201817248685,SNA,l2,0,21
1_40,J:gate2_only,A,gate2_only,A,A,1,-0.008877838262912222,SNA,l2,0,21
1_40,J:weights_only,A,weights_only,A,A,1,-0.0026866533979228403,SNA,l2,0,21
1_40,alpha_only,A,alpha,alpha,A,1,-0.007995962049135167,SNA,l2,0,21
1_15,AAAA,A,A,A,A,0,-3.726686828712994e-05,SNA,l2,0,22
1_15,AAAB,A,A,A,B,1,-0.0011752172376829585,SNA,l2,0,22
1_15,AABA,A,A,B,A,1,0.026039837343888764,SNA,l2,0,22
1_15,AABB,A,A,B,B,2,0.02035906752516898,SNA,l2,0,22
1_15,ABAA,A,B,A,A,1,0.004653362667089824,SNA,l2,0,22
1_15,ABAB,A,B,A,B,2,0.0034890089486912562,SNA,l2,0,22
1_15,ABBA,A,B,B,A,2,0.023292138753125365,SNA,l2,0,22
1_15,ABBB,A,B,B,B,3,0.01862419309322039,SNA,l2,0,22
1_15,BAAA,B,A,A,A,1,-0.007188180948479644,SNA,l2,0,22
1_15,BAAB,B,A,A,B,2,-0.005668499997283641,SNA,l2,0,22
1_15,BABA,B,A,B,A,2,-0.0012585179509572485,SNA,l2,0,22
1_15,BABB,B,A,B,B,3,-0.000997273646468713,SNA,l2,0,22
1_15,BBAA,B,B,A,A,2,-0.005179003291604949,SNA,l2,0,22
1_15,BBAB,B,B,A,B,3,-0.0039731548011961385,SNA,l2,0,22
1_15,BBBA,B,B,B,A,3,-0.0002587014832841602,SNA,l2,0,22
1_15,BBBB,B,B,B,B,4,-9.164109255043483e-05,SNA,l2,0,22
1_15,J:gate2_only,A,gate2_only,A,A,1,0.0034246670360687137,SNA,l2,0,22
1_15,J:weights_only,A,weights_only,A,A,1,0.0016587485097262773,SNA,l2,0,22
1_15,alpha_only,A,alpha,alpha,A,1,-0.000279773336108107,SNA,l2,0,22
1_40,AAAA,A,A,A,A,0,-3.726686828712994e-05,SNA,l2,0,22
1_40,AAAB,A,A,A,B,1,-0.0016277262486830203,SNA,l2,0,22
1_40,AABA,A,A,B,A,1,0.031299524287561595,SNA,l2,0,22
1_40,AABB,A,A,B,B,2,0.02260294515560176,SNA,l2,0,22
1_40,ABAA,A,B,A,A,1,0.0035041574566865184,SNA,l2,0,22
1_40,ABAB,A,B,A,B,2,0.002773060315742509,SNA,l2,0,22
1_40,ABBA,A,B,B,A,2,0.03854951752787171,SNA,l2,0,22
1_40,ABBB,A,B,B,B,3,0.029260179111295637,SNA,l2,0,22
1_40,BAAA,B,A,A,A,1,0.0021781116216122937,SNA,l2,0,22
1_40,BAAB,B,A,A,B,2,0.0014431071467024138,SNA,l2,0,22
1_40,BABA,B,A,B,A,2,0.0031005789234879945,SNA,l2,0,22
1_40,BABB,B,A,B,B,3,0.00215568077933875,SNA,l2,0,22
1_40,BBAA,B,B,A,A,2,0.0012351347569596375,SNA,l2,0,22
1_40,BBAB,B,B,A,B,3,0.0008101700873555314,SNA,l2,0,22
1_40,BBBA,B,B,B,A,3,0.002722210782164815,SNA,l2,0,22
1_40,BBBB,B,B,B,B,4,0.0019192095096254415,SNA,l2,0,22
1_40,J:gate2_only,A,gate2_only,A,A,1,0.0008859647055992647,SNA,l2,0,22
