arm,iv,step,diag_seeds,diag_all_negative,train_seeds,train_all_negative
LR,none,15,-0.00115901;-0.000640651;-0.000459184,1,-0.00162091;-0.00211087;-0.000365658,1
LR,none,40,-3.44346e-05;-9.28593e-06;0.000251124,0,-0.00025875;0.000774565;7.65418e-05,0
SNA,none,15,-0.000977499;-0.001481;-0.00116654,1,-0.000269352;-0.00263299;-8.06642e-05,1
SNA,none,40,-0.000262432;6.62646e-05;0.000241951,0,0.000243477;-0.000384542;0.00035354,0
LR,l2,15,0.000658742;0.00142771;0.000244426,0,0.000729706;-0.000601325;8.99267e-05,0
LR,l2,40,-0.000433198;0.000128202;-0.000124408,0,-0.000762886;0.000586451;0.000753441,0
SNA,l2,15,-3.16396e-05;0.000367164;-8.26786e-05,0,7.51365e-05;-7.8334e-05;-0.000865135,0
SNA,l2,40,-0.000378017;0.000115365;-0.00026294,0,-0.00044083;-7.67888e-06;0.000586676,0
