arm,iv,seed,pair,cell,net
LR,l2,0,1_15,AAAA,-0.008012387082561849
LR,l2,0,1_15,AAAB,-0.00673308689893415
LR,l2,0,1_15,AABA,0.01172614895527625
LR,l2,0,1_15,AABB,0.0076692447482367004
LR,l2,0,1_15,ABAA,-0.00010861603038950002
LR,l2,0,1_15,ABAB,9.119060635914998e-05
LR,l2,0,1_15,ABBA,0.0177108944607837
LR,l2,0,1_15,ABBB,0.01277931517468525
LR,l2,0,1_15,BAAA,-0.00334140642883195
LR,l2,0,1_15,BAAB,-0.0029038118324783
LR,l2,0,1_15,BABA,4.218295090737164e-05
LR,l2,0,1_15,BABB,0.00013031155751061534
LR,l2,0,1_15,BBAA,-0.0029639205113473
LR,l2,0,1_15,BBAB,-0.0021974505726844
LR,l2,0,1_15,BBBA,0.0009025432204253501
LR,l2,0,1_15,BBBB,0.00065874209561005
LR,l2,0,1_15,J:gate2_only,-0.0011646298554622001
LR,l2,0,1_15,J:weights_only,-0.0055075338463245
LR,l2,0,1_40,AAAA,-0.008012387082561849
LR,l2,0,1_40,AAAB,-0.00649844222649755
LR,l2,0,1_40,AABA,0.01643320158879215
LR,l2,0,1_40,AABB,0.00973163387132945
LR,l2,0,1_40,ABAA,0.0015675908760564498
LR,l2,0,1_40,ABAB,0.00068296603148185
LR,l2,0,1_40,ABBA,0.03302363152369445
LR,l2,0,1_40,ABBB,0.02093988772611525
LR,l2,0,1_40,BAAA,-0.00107859929636535
LR,l2,0,1_40,BAAB,-0.00091761941745655
LR,l2,0,1_40,BABA,-0.0002722770913552517
LR,l2,0,1_40,BABB,-0.00019136291385915002
LR,l2,0,1_40,BBAA,-0.00159317744314845
LR,l2,0,1_40,BBAB,-0.0011826949440091
LR,l2,0,1_40,BBBA,-0.00070534933683735
LR,l2,0,1_40,BBBB,-0.00043319841898905003
LR,l2,0,1_40,J:gate2_only,-0.00164384633326945
LR,l2,0,1_40,J:weights_only,-0.0052541428807346
LR,l2,1,1_15,AAAA,-0.0081404771031059
LR,l2,1,1_15,AAAB,-0.0067988618412413
LR,l2,1,1_15,AABA,0.012460100906299901
LR,l2,1,1_15,AABB,0.0086555439021699
LR,l2,1,1_15,ABAA,0.0007437366573535499
LR,l2,1,1_15,ABAB,-9.302230702130002e-05
LR,l2,1,1_15,ABBA,0.018475723335332747
LR,l2,1,1_15,ABBB,0.0138274794125261
LR,l2,1,1_15,BAAA,-0.0030905025668073
LR,l2,1,1_15,BAAB,-0.0023606020056077
LR,l2,1,1_15,BABA,0.000766578447474
LR,l2,1,1_15,BABB,0.0005100078387887501
LR,l2,1,1_15,BBAA,-0.0024219977956782997
LR,l2,1,1_15,BBAB,-0.0017142883298223001
LR,l2,1,1_15,BBBA,0.00165567878714505
LR,l2,1,1_15,BBBB,0.00142770502433955
LR,l2,1,1_15,J:gate2_only,-0.001378586578832
LR,l2,1,1_15,J:weights_only,-0.005096029769638201
LR,l2,1,1_40,AAAA,-0.0081404771031059
LR,l2,1,1_40,AAAB,-0.006449696950093949
LR,l2,1,1_40,AABA,0.01890862528373535
LR,l2,1,1_40,AABB,0.0118096737782891
LR,l2,1,1_40,ABAA,0.00231733000313545
LR,l2,1,1_40,ABAB,0.0009157078637988499
LR,l2,1,1_40,ABBA,0.034948598685921095
LR,l2,1,1_40,ABBB,0.022675317820865848
LR,l2,1,1_40,BAAA,-0.0010187807103554
LR,l2,1,1_40,BAAB,-0.0008258124638087
LR,l2,1,1_40,BABA,0.00017193741847025
LR,l2,1,1_40,BABB,4.3053754858865013e-05
LR,l2,1,1_40,BBAA,-0.001216612165853
LR,l2,1,1_40,BBAB,-0.0007703080798341
LR,l2,1,1_40,BBBA,0.00017387030395763653
LR,l2,1,1_40,BBBB,0.00012820202471888403
LR,l2,1,1_40,J:gate2_only,0.0002107607416375
LR,l2,1,1_40,J:weights_only,-0.0045296907130893006
LR,l2,2,1_15,AAAA,-0.00973568191743285
LR,l2,2,1_15,AAAB,-0.0086885510915322
LR,l2,2,1_15,AABA,0.01078996666553105
LR,l2,2,1_15,AABB,0.0072220180393098
LR,l2,2,1_15,ABAA,-0.00060404737822485
LR,l2,2,1_15,ABAB,-0.0011883994352992
LR,l2,2,1_15,ABBA,0.01612617462965235
LR,l2,2,1_15,ABBB,0.01104586989200715
LR,l2,2,1_15,BAAA,-0.00418565530693795
LR,l2,2,1_15,BAAB,-0.0031367229399666997
LR,l2,2,1_15,BABA,-0.0007646896056806
LR,l2,2,1_15,BABB,-0.0006401531753385001
LR,l2,2,1_15,BBAA,-0.0027407681396168
LR,l2,2,1_15,BBAB,-0.00207813172747475
LR,l2,2,1_15,BBBA,0.000481307898081239
LR,l2,2,1_15,BBBB,0.00024442600938945
LR,l2,2,1_15,J:gate2_only,-0.0019700565837441502
LR,l2,2,1_15,J:weights_only,-0.0066535842863995505
LR,l2,2,1_40,AAAA,-0.00973568191743285
LR,l2,2,1_40,AAAB,-0.008524395055379549
LR,l2,2,1_40,AABA,0.01612662391545365
LR,l2,2,1_40,AABB,0.009201314895948949
LR,l2,2,1_40,ABAA,0.0007061106925949001
LR,l2,2,1_40,ABAB,-0.00044584120527695
LR,l2,2,1_40,ABBA,0.032981039622147296
LR,l2,2,1_40,ABBB,0.02026650524625685
LR,l2,2,1_40,BAAA,-0.0007205919517459
LR,l2,2,1_40,BAAB,-0.0005649398788248
LR,l2,2,1_40,BABA,3.5946933118862145e-05
LR,l2,2,1_40,BABB,-0.00014593915627278615
LR,l2,2,1_40,BBAA,-0.0012938504876675
LR,l2,2,1_40,BBAB,-0.00094217794696555
LR,l2,2,1_40,BBBA,-9.634330080236106e-05
LR,l2,2,1_40,BBBB,-0.0001244082455597
LR,l2,2,1_40,J:gate2_only,-0.0018502081063885
LR,l2,2,1_40,J:weights_only,-0.00684517359892155
LR,none,0,1_15,AAAA,-0.0006299334415706
LR,none,0,1_15,AAAB,-0.00037450732634940003
LR,none,0,1_15,AABA,0.0104890623379075
LR,none,0,1_15,AABB,0.007734852336741
LR,none,0,1_15,ABAA,0.00486507539879405
LR,none,0,1_15,ABAB,0.00341892196223295
LR,none,0,1_15,ABBA,0.0160366410474523
LR,none,0,1_15,ABBB,0.01188377167726635
LR,none,0,1_15,BAAA,-0.0046462190991076
LR,none,0,1_15,BAAB,-0.0033893664331268
LR,none,0,1_15,BABA,-0.00288516285179725
LR,none,0,1_15,BABB,-0.0022109171614927
LR,none,0,1_15,BBAA,-0.0031493176795479
LR,none,0,1_15,BBAB,-0.00226261190702395
LR,none,0,1_15,BBBA,-0.00130816255861065
LR,none,0,1_15,BBBB,-0.0011590081534257
LR,none,0,1_15,J:gate2_only,0.006016723059148649
LR,none,0,1_15,J:weights_only,-0.0012785799135588
LR,none,0,1_40,AAAA,-0.0006299334415706
LR,none,0,1_40,AAAB,-0.00084425539777155
LR,none,0,1_40,AABA,0.018723715695385952
LR,none,0,1_40,AABB,0.011301943468889051
LR,none,0,1_40,ABAA,0.01310355362070395
LR,none,0,1_40,ABAB,0.0077288900427632
LR,none,0,1_40,ABBA,0.03589525086856225
LR,none,0,1_40,ABBB,0.022109433700515102
LR,none,0,1_40,BAAA,-0.00353280338938265
LR,none,0,1_40,BAAB,-0.0025524866276515996
LR,none,0,1_40,BABA,-0.0015882218956445502
LR,none,0,1_40,BABB,-0.001233254007274
LR,none,0,1_40,BBAA,-0.00218419368155585
LR,none,0,1_40,BBAB,-0.0014200948828781
LR,none,0,1_40,BBBA,9.19639707682e-05
LR,none,0,1_40,BBBB,-3.443455786595095e-05
LR,none,0,1_40,J:gate2_only,0.011448169438423101
LR,none,0,1_40,J:weights_only,0.00035520124109365
LR,none,1,1_15,AAAA,0.0013337163806601499
LR,none,1,1_15,AAAB,0.0010003867438024999
LR,none,1,1_15,AABA,0.0129560263619449
LR,none,1,1_15,AABB,0.0095657056959957
LR,none,1,1_15,ABAA,0.00272074446939585
LR,none,1,1_15,ABAB,0.00221937396060545
LR,none,1,1_15,ABBA,0.0126881986981085
LR,none,1,1_15,ABBB,0.009113403068522801
LR,none,1,1_15,BAAA,-0.00321552686589195
LR,none,1,1_15,BAAB,-0.0023009586874133
LR,none,1,1_15,BABA,-0.0015949314003934
LR,none,1,1_15,BABB,-0.0011824867643769501
LR,none,1,1_15,BBAA,-0.0022058271751055503
LR,none,1,1_15,BBAB,-0.00142715214793595
LR,none,1,1_15,BBBA,-0.0009697343971402999
LR,none,1,1_15,BBBB,-0.0006406509599026
LR,none,1,1_15,J:gate2_only,0.00353498898160745
LR,none,1,1_15,J:weights_only,-0.00015699491279338911
LR,none,1,1_40,AAAA,0.0013337163806601499
LR,none,1,1_40,AAAB,0.0001052915440943
LR,none,1,1_40,AABA,0.02195955521961995
LR,none,1,1_40,AABB,0.01329911142523705
LR,none,1,1_40,ABAA,0.0090248636952385
LR,none,1,1_40,ABAB,0.00603178060191405
LR,none,1,1_40,ABBA,0.031997464708129544
LR,none,1,1_40,ABBB,0.01858441906242115
LR,none,1,1_40,BAAA,-0.00276207024753805
LR,none,1,1_40,BAAB,-0.0017784376404076001
LR,none,1,1_40,BABA,-0.00081021422678685
LR,none,1,1_40,BABB,-0.0006799142923768499
LR,none,1,1_40,BBAA,-0.00188461605082235
LR,none,1,1_40,BBAB,-0.00125378872105055
LR,none,1,1_40,BBBA,-0.00011785448238285111
LR,none,1,1_40,BBBB,-9.285932844487206e-06
LR,none,1,1_40,J:gate2_only,0.00891978521243
LR,none,1,1_40,J:weights_only,0.0011076049281814999
LR,none,2,1_15,AAAA,0.00169763101178525
LR,none,2,1_15,AAAB,0.00150212768628065
LR,none,2,1_15,AABA,0.01537180884265725
LR,none,2,1_15,AABB,0.0113322531576198
LR,none,2,1_15,ABAA,0.0046600365485277
LR,none,2,1_15,ABAB,0.0034597661724265
LR,none,2,1_15,ABBA,0.01615762430284775
LR,none,2,1_15,ABBB,0.0113621447901669
LR,none,2,1_15,BAAA,-0.0033365511784857497
LR,none,2,1_15,BAAB,-0.00234424120184195
