pair,cell,r,J,g,D,n_swapped,net,arm,iv,seed,task
1_15,AAAA,A,A,A,A,0,-0.010345661459985101,SNA,l2,1,21
1_15,AAAB,A,A,A,B,1,-0.008945345665651588,SNA,l2,1,21
1_15,AABA,A,A,B,A,1,0.012357556355538138,SNA,l2,1,21
1_15,AABB,A,A,B,B,2,0.010064463654641092,SNA,l2,1,21
1_15,ABAA,A,B,A,A,1,-0.00624817062535337,SNA,l2,1,21
1_15,ABAB,A,B,A,B,2,-0.00536588173095574,SNA,l2,1,21
1_15,ABBA,A,B,B,A,2,0.01470637683264349,SNA,l2,1,21
1_15,ABBB,A,B,B,B,3,0.012071863417989194,SNA,l2,1,21
1_15,BAAA,B,A,A,A,1,-0.004099554032311437,SNA,l2,1,21
1_15,BAAB,B,A,A,B,2,-0.003158216251329846,SNA,l2,1,21
1_15,BABA,B,A,B,A,2,-0.0016189046938847754,SNA,l2,1,21
1_15,BABB,B,A,B,B,3,-0.0010917733992794876,SNA,l2,1,21
1_15,BBAA,B,B,A,A,2,-0.002791919159370427,SNA,l2,1,21
1_15,BBAB,B,B,A,B,3,-0.002055279151539754,SNA,l2,1,21
1_15,BBBA,B,B,B,A,3,-0.0008747514313280453,SNA,l2,1,21
1_15,BBBB,B,B,B,B,4,-0.00043170057729004257,SNA,l2,1,21
1_15,J:gate2_only,A,gate2_only,A,A,1,-0.007478813170074138,SNA,l2,1,21
1_15,J:weights_only,A,weights_only,A,A,1,-0.008075587403015087,SNA,l2,1,21
1_15,alpha_only,A,alpha,alpha,A,1,-0.010632395805921796,SNA,l2,1,21
1_40,AAAA,A,A,A,A,0,-0.010345661459985101,SNA,l2,1,21
1_40,AAAB,A,A,A,B,1,-0.00878100588629487,SNA,l2,1,21
1_40,AABA,A,A,B,A,1,0.018323281194547552,SNA,l2,1,21
1_40,AABB,A,A,B,B,2,0.012550234881290513,SNA,l2,1,21
1_40,ABAA,A,B,A,A,1,-0.009861032626749816,SNA,l2,1,21
1_40,ABAB,A,B,A,B,2,-0.007986492250675787,SNA,l2,1,21
1_40,ABBA,A,B,B,A,2,0.0273461261768674,SNA,l2,1,21
1_40,ABBB,A,B,B,B,3,0.019340058750413475,SNA,l2,1,21
1_40,BAAA,B,A,A,A,1,-0.0014860766863039878,SNA,l2,1,21
1_40,BAAB,B,A,A,B,2,-0.0010162901293424354,SNA,l2,1,21
1_40,BABA,B,A,B,A,2,-0.00031137958421586094,SNA,l2,1,21
1_40,BABB,B,A,B,B,3,-0.00020711788380916026,SNA,l2,1,21
1_40,BBAA,B,B,A,A,2,-0.001380313970654336,SNA,l2,1,21
1_40,BBAB,B,B,A,B,3,-0.0008671829362263877,SNA,l2,1,21
1_40,BBBA,B,B,B,A,3,-0.0006208569939354306,SNA,l2,1,21
1_40,BBBB,B,B,B,B,4,-0.0003737870632867273,SNA,l2,1,21
1_40,J:gate2_only,A,gate2_only,A,A,1,-0.011785278064328752,SNA,l2,1,21
1_40,J:weights_only,A,weights_only,A,A,1,-0.006662756660704634,SNA,l2,1,21
1_40,alpha_only,A,alpha,alpha,A,1,-0.01084238015907373,SNA,l2,1,21
1_15,AAAA,A,A,A,A,0,-0.005580062733006564,SNA,l2,1,22
1_15,AAAB,A,A,A,B,1,-0.006180288411863095,SNA,l2,1,22
1_15,AABA,A,A,B,A,1,0.020885074393736946,SNA,l2,1,22
1_15,AABB,A,A,B,B,2,0.016376968539033827,SNA,l2,1,22
1_15,ABAA,A,B,A,A,1,-0.0008077754077159338,SNA,l2,1,22
1_15,ABAB,A,B,A,B,2,-0.0015483978305076756,SNA,l2,1,22
1_15,ABBA,A,B,B,A,2,0.023351263958469856,SNA,l2,1,22
1_15,ABBB,A,B,B,B,3,0.018824852884347522,SNA,l2,1,22
1_15,BAAA,B,A,A,A,1,-0.002766077590989716,SNA,l2,1,22
1_15,BAAB,B,A,A,B,2,-0.0018826810614886742,SNA,l2,1,22
1_15,BABA,B,A,B,A,2,-0.004338477336318813,SNA,l2,1,22
1_15,BABB,B,A,B,B,3,-0.0032509127424805257,SNA,l2,1,22
