pair,cell,r,J,g,D,n_swapped,net,arm,iv,seed,task
1_15,AAAA,A,A,A,A,0,-0.008274511803878906,LR,l2,0,21
1_15,AAAB,A,A,A,B,1,-0.007416529741560265,LR,l2,0,21
1_15,AABA,A,A,B,A,1,0.01211534994858623,LR,l2,0,21
1_15,AABB,A,A,B,B,2,0.0082900996449501,LR,l2,0,21
1_15,ABAA,A,B,A,A,1,0.0011414440867622043,LR,l2,0,21
1_15,ABAB,A,B,A,B,2,0.0006421330690772186,LR,l2,0,21
1_15,ABBA,A,B,B,A,2,0.022752541088825802,LR,l2,0,21
1_15,ABBB,A,B,B,B,3,0.016657102870343728,LR,l2,0,21
1_15,BAAA,B,A,A,A,1,0.00032100842977195003,LR,l2,0,21
1_15,BAAB,B,A,A,B,2,0.0006216266270470034,LR,l2,0,21
1_15,BABA,B,A,B,A,2,7.742219079256742e-05,LR,l2,0,21
1_15,BABB,B,A,B,B,3,0.0004313875786376706,LR,l2,0,21
1_15,BBAA,B,B,A,A,2,-0.0007415879963138341,LR,l2,0,21
1_15,BBAB,B,B,A,B,3,-0.00017589059122124356,LR,l2,0,21
1_15,BBBA,B,B,B,A,3,-3.7203668100986436e-05,LR,l2,0,21
1_15,BBBB,B,B,B,B,4,0.0003641791369945288,LR,l2,0,21
1_15,J:gate2_only,A,gate2_only,A,A,1,-0.0004488453811152637,LR,l2,0,21
1_15,J:weights_only,A,weights_only,A,A,1,-0.005402151508577321,LR,l2,0,21
1_40,AAAA,A,A,A,A,0,-0.008274511803878906,LR,l2,0,21
1_40,AAAB,A,A,A,B,1,-0.0071470925927359175,LR,l2,0,21
1_40,AABA,A,A,B,A,1,0.015922842902865154,LR,l2,0,21
1_40,AABB,A,A,B,B,2,0.009891221676385707,LR,l2,0,21
1_40,ABAA,A,B,A,A,1,0.002736100387897037,LR,l2,0,21
1_40,ABAB,A,B,A,B,2,0.0012253574096464988,LR,l2,0,21
1_40,ABBA,A,B,B,A,2,0.03755983825889866,LR,l2,0,21
1_40,ABBB,A,B,B,B,3,0.024498410148229642,LR,l2,0,21
1_40,BAAA,B,A,A,A,1,0.0013486672779664268,LR,l2,0,21
1_40,BAAB,B,A,A,B,2,0.0011090811673703594,LR,l2,0,21
1_40,BABA,B,A,B,A,2,1.0007097398700634e-05,LR,l2,0,21
1_40,BABB,B,A,B,B,3,0.0002976736892458916,LR,l2,0,21
1_40,BBAA,B,B,A,A,2,0.00014355221695587712,LR,l2,0,21
1_40,BBAB,B,B,A,B,3,0.00034877691527689526,LR,l2,0,21
1_40,BBBA,B,B,B,A,3,-0.003330816780720154,LR,l2,0,21
1_40,BBBB,B,B,B,B,4,-0.0015884853934996113,LR,l2,0,21
1_40,J:gate2_only,A,gate2_only,A,A,1,-0.0002536180537254698,LR,l2,0,21
1_40,J:weights_only,A,weights_only,A,A,1,-0.005104035284385848,LR,l2,0,21
1_15,AAAA,A,A,A,A,0,-0.006543148779766452,LR,l2,0,22
1_15,AAAB,A,A,A,B,1,-0.005766261321825711,LR,l2,0,22
1_15,AABA,A,A,B,A,1,0.01493849110795784,LR,l2,0,22
1_15,AABB,A,A,B,B,2,0.011713961228427156,LR,l2,0,22
1_15,ABAA,A,B,A,A,1,0.0010544812538604315,LR,l2,0,22
1_15,ABAB,A,B,A,B,2,0.0009356174641334913,LR,l2,0,22
1_15,ABBA,A,B,B,A,2,0.017287872301311045,LR,l2,0,22
1_15,ABBB,A,B,B,B,3,0.014043645996988976,LR,l2,0,22
1_15,BAAA,B,A,A,A,1,-0.00470568716493791,LR,l2,0,22
1_15,BAAB,B,A,A,B,2,-0.0038273276794967594,LR,l2,0,22
1_15,BABA,B,A,B,A,2,6.94371102217586e-06,LR,l2,0,22
1_15,BABB,B,A,B,B,3,-1.1287203196369296e-05,LR,l2,0,22
1_15,BBAA,B,B,A,A,2,-0.002854635699492654,LR,l2,0,22
1_15,BBAB,B,B,A,B,3,-0.002419400645894269,LR,l2,0,22
1_15,BBBA,B,B,B,A,3,0.0008824810579063855,LR,l2,0,22
1_15,BBBB,B,B,B,B,4,0.0005846276131056551,LR,l2,0,22
1_15,J:gate2_only,A,gate2_only,A,A,1,3.317050879301425e-05,LR,l2,0,22
1_15,J:weights_only,A,weights_only,A,A,1,-0.003883804948952037,LR,l2,0,22
1_40,AAAA,A,A,A,A,0,-0.006543148779766452,LR,l2,0,22
1_40,AAAB,A,A,A,B,1,-0.006018184697758023,LR,l2,0,22
