pair,cell,r,J,g,D,n_swapped,net,arm,iv,seed,task
1_15,AAAA,A,A,A,A,0,0.002504598192829868,LR,none,2,21
1_15,AAAB,A,A,A,B,1,0.002286356014453089,LR,none,2,21
1_15,AABA,A,A,B,A,1,0.01494757761281077,LR,none,2,21
1_15,AABB,A,A,B,B,2,0.011154073670896356,LR,none,2,21
1_15,ABAA,A,B,A,A,1,0.009056789494280211,LR,none,2,21
1_15,ABAB,A,B,A,B,2,0.007186812627003416,LR,none,2,21
1_15,ABBA,A,B,B,A,2,0.02159639683166502,LR,none,2,21
1_15,ABBB,A,B,B,B,3,0.016022562918535745,LR,none,2,21
1_15,BAAA,B,A,A,A,1,-0.005778485601287797,LR,none,2,21
1_15,BAAB,B,A,A,B,2,-0.004426440859358338,LR,none,2,21
1_15,BABA,B,A,B,A,2,-0.0014075720727650504,LR,none,2,21
1_15,BABB,B,A,B,B,3,-0.0015572341942994728,LR,none,2,21
1_15,BBAA,B,B,A,A,2,-0.004350889866052402,LR,none,2,21
1_15,BBAB,B,B,A,B,3,-0.0033911780641741928,LR,none,2,21
1_15,BBBA,B,B,B,A,3,-0.0009013815633497526,LR,none,2,21
1_15,BBBB,B,B,B,B,4,-0.0012217141766037096,LR,none,2,21
1_15,J:gate2_only,A,gate2_only,A,A,1,0.008714697276010413,LR,none,2,21
1_15,J:weights_only,A,weights_only,A,A,1,0.002779768718944933,LR,none,2,21
1_40,AAAA,A,A,A,A,0,0.002504598192829868,LR,none,2,21
1_40,AAAB,A,A,A,B,1,0.0016036976880862452,LR,none,2,21
1_40,AABA,A,A,B,A,1,0.025873477586251782,LR,none,2,21
1_40,AABB,A,A,B,B,2,0.015827239695497656,LR,none,2,21
1_40,ABAA,A,B,A,A,1,0.01828308095772407,LR,none,2,21
1_40,ABAB,A,B,A,B,2,0.0122882851377796,LR,none,2,21
1_40,ABBA,A,B,B,A,2,0.04669950732036028,LR,none,2,21
1_40,ABBB,A,B,B,B,3,0.028338054038083236,LR,none,2,21
1_40,BAAA,B,A,A,A,1,-0.0029879288002757453,LR,none,2,21
1_40,BAAB,B,A,A,B,2,-0.0019933251088922483,LR,none,2,21
1_40,BABA,B,A,B,A,2,-3.616071342932112e-05,LR,none,2,21
1_40,BABB,B,A,B,B,3,-1.7631091964299407e-05,LR,none,2,21
1_40,BBAA,B,B,A,A,2,-0.0025429067416564265,LR,none,2,21
1_40,BBAB,B,B,A,B,3,-0.001657908161914776,LR,none,2,21
1_40,BBBA,B,B,B,A,3,-0.00024708219397150127,LR,none,2,21
1_40,BBBB,B,B,B,B,4,-0.00010721043437759167,LR,none,2,21
1_40,J:gate2_only,A,gate2_only,A,A,1,0.016361253960497125,LR,none,2,21
1_40,J:weights_only,A,weights_only,A,A,1,0.00446593959200202,LR,none,2,21
1_15,AAAA,A,A,A,A,0,-0.001457578559570205,LR,none,2,22
1_15,AAAB,A,A,A,B,1,-0.002187991304180052,LR,none,2,22
1_15,AABA,A,A,B,A,1,0.01796372697759581,LR,none,2,22
1_15,AABB,A,A,B,B,2,0.011510432644343382,LR,none,2,22
1_15,ABAA,A,B,A,A,1,0.0003097285954878995,LR,none,2,22
1_15,ABAB,A,B,A,B,2,-0.0008416595725621783,LR,none,2,22
1_15,ABBA,A,B,B,A,2,0.01797815320531946,LR,none,2,22
1_15,ABBB,A,B,B,B,3,0.011577437834116973,LR,none,2,22
1_15,BAAA,B,A,A,A,1,-0.0015339369144181957,LR,none,2,22
1_15,BAAB,B,A,A,B,2,-0.0011962287870194578,LR,none,2,22
1_15,BABA,B,A,B,A,2,0.0004533348548455862,LR,none,2,22
1_15,BABB,B,A,B,B,3,1.2660817058601296e-05,LR,none,2,22
