arm,iv,seed,task,window,diag_net,diag_U,diag_D,diag_frozenD,diag_sgd,train_current,train_history,train_actual
LR,l2,0,21,w1,-0.0082745118038789,0.030763554375006,0.0390380661788849,-0.0082745118038789,-0.0003720300467617,-0.011534373441401,-0.0013636513146423,-0.0128712610036075
LR,l2,0,21,w2_5,-0.005931117829649999,0.1023488530775088,0.10827997090715889,-0.0063532209659874,-0.000631025565754949,-0.002324370907389701,-0.0516460105203727,-0.053854470855108
LR,l2,0,21,w6_10,0.0021476243317416002,0.10840788385874081,0.10626025952699909,0.0022120271723216,-0.00017507694908942958,0.0007053468346027996,-0.0262054631814993,-0.025348978206988004
LR,l2,0,21,w11_20,-0.002161590244300117,0.17902726620189008,0.18118885644618987,-0.006889088302704786,0.0001669927528984889,-0.0040745428902535,-0.059750681943386695,-0.06349166131444209
LR,l2,0,21,w21_30,0.015050914635037728,0.14556091787285927,0.1305100032378214,0.02067417944284115,0.0006439567395755111,0.019109415702741304,0.0463022135457974,0.0657515767151802
LR,l2,0,21,w31_40,-0.014686577989409099,0.1251153270685873,0.1398019050579969,-0.023701361129240598,-0.0001577699291372354,0.0060560728949789,0.0724009537545664,0.0787433875680385
LR,l2,0,22,w1,-0.0065431487797664,0.0299836804027284,0.0365268291824948,-0.0065431487797664,-0.0004122279280357,-0.0037449851849676,-0.0020400938419564,-0.0057559158978381
LR,l2,0,22,w2_5,-0.0200754321314143,0.0900789386232484,0.1101543707546628,-0.0232898563148305,-0.001384357060893,-0.0249146342856757,-0.0554334800123752,-0.0802306713389637
LR,l2,0,22,w6_10,-8.111581843540006e-05,0.0837731924052423,0.0838543082236775,0.0019130017690644,-0.00036551160779843924,-0.0063880908739375,-0.0991461171074377,-0.10536967111330071
LR,l2,0,22,w11_20,0.005226480357380899,0.1551828303709581,0.149956350013577,0.006168126702886902,0.0005128533530706931,0.0103079905094758,-0.06078520960057767,-0.050107235610805004
LR,l2,0,22,w21_30,-0.0005042372436899663,0.120819315765233,0.12132355300892302,-0.0010911757760976998,0.00024650282355872285,0.0026803166724665,-0.0019714381644309006,0.001098083939517699
LR,l2,0,22,w31_40,0.004400981304151815,0.1049825976574112,0.1005816163532592,0.004567898144489799,0.0003191272257070699,0.0050545193716923,0.0061343634410949005,0.011615267693538498
LR,l2,0,23,w1,-0.0161114474475611,0.0274449040665254,0.0435563515140866,-0.0161114474475612,-0.00058330580663,-0.0168204389032065,0.0006494054005163,-0.01614433979732
LR,l2,0,23,w2_5,-0.021924877015932,0.0936851346720073,0.1156100116879396,-0.0243338265173834,-0.0012061612064556,-0.0222877174229377,-0.080790728942087,-0.1029538763965422
LR,l2,0,23,w6_10,0.0084103747104452,0.0967352755553653,0.08832490084492009,0.010062013905944201,4.043528343708733e-05,0.013152611261712199,-0.0920434060185799,-0.0786965243240934
LR,l2,0,23,w11_20,-0.003811487945244409,0.1772866907164468,0.18109817866169137,-0.0042181921421228005,0.0001101336110777078,0.0134257945343331,0.007125084199886399,0.0209485880620477
LR,l2,0,23,w21_30,-0.003305108889488847,0.1458977985276649,0.1492029074171539,-0.0018158866096479936,0.0002337040672308738,-0.0005501222128886966,0.0378017848656646,0.03762652333596969
