pair,cell,r,J,g,D,n_swapped,net,arm,iv,seed,task
1_15,AAAA,A,A,A,A,0,-0.005058747914127071,SNA,none,2,21
1_15,AAAB,A,A,A,B,1,-0.004640363135656133,SNA,none,2,21
1_15,AABA,A,A,B,A,1,0.0073575421893531615,SNA,none,2,21
1_15,AABB,A,A,B,B,2,0.005699428074619341,SNA,none,2,21
1_15,ABAA,A,B,A,A,1,0.004641176271777584,SNA,none,2,21
1_15,ABAB,A,B,A,B,2,0.0036241591248447197,SNA,none,2,21
1_15,ABBA,A,B,B,A,2,0.012800519528044252,SNA,none,2,21
1_15,ABBB,A,B,B,B,3,0.010293533557497658,SNA,none,2,21
1_15,BAAA,B,A,A,A,1,-0.003258810831887308,SNA,none,2,21
1_15,BAAB,B,A,A,B,2,-0.002761647573634875,SNA,none,2,21
1_15,BABA,B,A,B,A,2,-0.000878140490703842,SNA,none,2,21
1_15,BABB,B,A,B,B,3,-0.0007682489087037759,SNA,none,2,21
1_15,BBAA,B,B,A,A,2,-0.0006671875303262656,SNA,none,2,21
1_15,BBAB,B,B,A,B,3,-0.0005405847291385112,SNA,none,2,21
1_15,BBBA,B,B,B,A,3,0.0008778487300820354,SNA,none,2,21
1_15,BBBB,B,B,B,B,4,0.0007247288668819244,SNA,none,2,21
1_15,J:gate2_only,A,gate2_only,A,A,1,0.003544063024629226,SNA,none,2,21
1_15,J:weights_only,A,weights_only,A,A,1,-0.0037536852354393413,SNA,none,2,21
1_15,alpha_only,A,alpha,alpha,A,1,-0.005053253569511008,SNA,none,2,21
1_40,AAAA,A,A,A,A,0,-0.005058747914127071,SNA,none,2,21
1_40,AAAB,A,A,A,B,1,-0.004738749171538415,SNA,none,2,21
1_40,AABA,A,A,B,A,1,0.010438112821457986,SNA,none,2,21
1_40,AABB,A,A,B,B,2,0.007363865534273833,SNA,none,2,21
1_40,ABAA,A,B,A,A,1,0.012561970147675012,SNA,none,2,21
1_40,ABAB,A,B,A,B,2,0.009532466084785831,SNA,none,2,21
1_40,ABBA,A,B,B,A,2,0.025476544082142557,SNA,none,2,21
1_40,ABBB,A,B,B,B,3,0.01932062988796346,SNA,none,2,21
1_40,BAAA,B,A,A,A,1,0.0003493125000556526,SNA,none,2,21
1_40,BAAB,B,A,A,B,2,0.0002674552703254009,SNA,none,2,21
1_40,BABA,B,A,B,A,2,0.0014190241228478407,SNA,none,2,21
1_40,BABB,B,A,B,B,3,0.0010713962321973432,SNA,none,2,21
1_40,BBAA,B,B,A,A,2,0.0010357194817055748,SNA,none,2,21
1_40,BBAB,B,B,A,B,3,0.0008017470784474859,SNA,none,2,21
1_40,BBBA,B,B,B,A,3,0.0023522193005471935,SNA,none,2,21
1_40,BBBB,B,B,B,B,4,0.0017937266400796829,SNA,none,2,21
1_40,J:gate2_only,A,gate2_only,A,A,1,0.008171655573545746,SNA,none,2,21
1_40,J:weights_only,A,weights_only,A,A,1,-0.00045293357586430674,SNA,none,2,21
1_40,alpha_only,A,alpha,alpha,A,1,-0.004869775517182403,SNA,none,2,21
1_15,AAAA,A,A,A,A,0,-0.01329487047452273,SNA,none,2,22
1_15,AAAB,A,A,A,B,1,-0.011411062248665792,SNA,none,2,22
1_15,AABA,A,A,B,A,1,0.005120640896465289,SNA,none,2,22
1_15,AABB,A,A,B,B,2,0.0024178499971520473,SNA,none,2,22
1_15,ABAA,A,B,A,A,1,0.002108507937789002,SNA,none,2,22
