pair,cell,r,J,g,D,n_swapped,net,arm,iv,seed,task
1_15,AAAA,A,A,A,A,0,0.008529730429657961,LR,none,1,21
1_15,AAAB,A,A,A,B,1,0.007023695564670567,LR,none,1,21
1_15,AABA,A,A,B,A,1,0.019812307030976913,LR,none,1,21
1_15,AABB,A,A,B,B,2,0.015080074840015579,LR,none,1,21
1_15,ABAA,A,B,A,A,1,0.011761795826328825,LR,none,1,21
1_15,ABAB,A,B,A,B,2,0.009231441797013452,LR,none,1,21
1_15,ABBA,A,B,B,A,2,0.02317131468640108,LR,none,1,21
1_15,ABBB,A,B,B,B,3,0.017295545019688,LR,none,1,21
1_15,BAAA,B,A,A,A,1,-0.007561494639406387,LR,none,1,21
1_15,BAAB,B,A,A,B,2,-0.005358896454703072,LR,none,1,21
1_15,BABA,B,A,B,A,2,-0.0047056433539946875,LR,none,1,21
1_15,BABB,B,A,B,B,3,-0.0033107400433323836,LR,none,1,21
1_15,BBAA,B,B,A,A,2,-0.00670405521140791,LR,none,1,21
1_15,BBAB,B,B,A,B,3,-0.004772659489833298,LR,none,1,21
1_15,BBBA,B,B,B,A,3,-0.004044886714280291,LR,none,1,21
1_15,BBBB,B,B,B,B,4,-0.002871318869466853,LR,none,1,21
1_15,J:gate2_only,A,gate2_only,A,A,1,0.01261574683734765,LR,none,1,21
1_15,J:weights_only,A,weights_only,A,A,1,0.006863134498638055,LR,none,1,21
1_40,AAAA,A,A,A,A,0,0.008529730429657961,LR,none,1,21
1_40,AAAB,A,A,A,B,1,0.005944808345788159,LR,none,1,21
1_40,AABA,A,A,B,A,1,0.02878679707212704,LR,none,1,21
1_40,AABB,A,A,B,B,2,0.018567948525411326,LR,none,1,21
1_40,ABAA,A,B,A,A,1,0.018350585026714536,LR,none,1,21
1_40,ABAB,A,B,A,B,2,0.012642024338628467,LR,none,1,21
1_40,ABBA,A,B,B,A,2,0.04210222208802488,LR,none,1,21
1_40,ABBB,A,B,B,B,3,0.027142793143134673,LR,none,1,21
1_40,BAAA,B,A,A,A,1,-0.0030545726093368277,LR,none,1,21
1_40,BAAB,B,A,A,B,2,-0.0019441483789187136,LR,none,1,21
1_40,BABA,B,A,B,A,2,-0.0005119225899687832,LR,none,1,21
1_40,BABB,B,A,B,B,3,-0.00024455511029678205,LR,none,1,21
1_40,BBAA,B,B,A,A,2,-0.003114325365167828,LR,none,1,21
1_40,BBAB,B,B,A,B,3,-0.0020193685371822463,LR,none,1,21
1_40,BBBA,B,B,B,A,3,-0.000197391272263761,LR,none,1,21
1_40,BBBB,B,B,B,B,4,-0.0001195764614695376,LR,none,1,21
1_40,J:gate2_only,A,gate2_only,A,A,1,0.01744828891841385,LR,none,1,21
1_40,J:weights_only,A,weights_only,A,A,1,0.008018652967408436,LR,none,1,21
1_15,AAAA,A,A,A,A,0,0.00812131724710317,LR,none,1,22
1_15,AAAB,A,A,A,B,1,0.006014499459152646,LR,none,1,22
1_15,AABA,A,A,B,A,1,0.03328360849049755,LR,none,1,22
1_15,AABB,A,A,B,B,2,0.022521077667508983,LR,none,1,22
1_15,ABAA,A,B,A,A,1,0.014554841638975852,LR,none,1,22
1_15,ABAB,A,B,A,B,2,0.010379495285059992,LR,none,1,22
1_15,ABBA,A,B,B,A,2,0.037559712018412995,LR,none,1,22
1_15,ABBB,A,B,B,B,3,0.0255984619224117,LR,none,1,22
1_15,BAAA,B,A,A,A,1,-0.010089339591853012,LR,none,1,22
1_15,BAAB,B,A,A,B,2,-0.006636374807214832,LR,none,1,22
1_15,BABA,B,A,B,A,2,-0.013663168739050125,LR,none,1,22
1_15,BABB,B,A,B,B,3,-0.008687433310437148,LR,none,1,22
1_15,BBAA,B,B,A,A,2,-0.00966291555083739,LR,none,1,22
1_15,BBAB,B,B,A,B,3,-0.006266233195566212,LR,none,1,22
1_15,BBBA,B,B,B,A,3,-0.012240883641937492,LR,none,1,22
1_15,BBBB,B,B,B,B,4,-0.007670540245232855,LR,none,1,22
1_15,J:gate2_only,A,gate2_only,A,A,1,0.014563660791746895,LR,none,1,22
1_15,J:weights_only,A,weights_only,A,A,1,0.00644260609274826,LR,none,1,22
1_40,AAAA,A,A,A,A,0,0.00812131724710317,LR,none,1,22
1_40,AAAB,A,A,A,B,1,0.004816652963265053,LR,none,1,22
1_40,AABA,A,A,B,A,1,0.04111720433132086,LR,none,1,22
1_40,AABB,A,A,B,B,2,0.023153305970240467,LR,none,1,22
1_40,ABAA,A,B,A,A,1,0.018688405371454154,LR,none,1,22
1_40,ABAB,A,B,A,B,2,0.011494484577012526,LR,none,1,22
1_40,ABBA,A,B,B,A,2,0.056728463546217786,LR,none,1,22
1_40,ABBB,A,B,B,B,3,0.03198482660978644,LR,none,1,22
1_40,BAAA,B,A,A,A,1,-0.003682017161830473,LR,none,1,22
1_40,BAAB,B,A,A,B,2,-0.002215192013122067,LR,none,1,22
1_40,BABA,B,A,B,A,2,-0.003576295613205071,LR,none,1,22
1_40,BABB,B,A,B,B,3,-0.0018686750701103017,LR,none,1,22
1_40,BBAA,B,B,A,A,2,-0.002410976353980673,LR,none,1,22
1_40,BBAB,B,B,A,B,3,-0.0014296537731983696,LR,none,1,22
1_40,BBBA,B,B,B,A,3,-0.0016186983202157057,LR,none,1,22
1_40,BBBB,B,B,B,B,4,-0.0008512239001437389,LR,none,1,22
1_40,J:gate2_only,A,gate2_only,A,A,1,0.018134125545934184,LR,none,1,22
1_40,J:weights_only,A,weights_only,A,A,1,0.006657351603152607,LR,none,1,22
1_15,AAAA,A,A,A,A,0,0.004884315504528204,LR,none,1,23
1_15,AAAB,A,A,A,B,1,0.004169907120643839,LR,none,1,23
1_15,AABA,A,A,B,A,1,0.023064620913770782,LR,none,1,23
1_15,AABB,A,A,B,B,2,0.01614644213973325,LR,none,1,23
1_15,ABAA,A,B,A,A,1,0.007598843356978055,LR,none,1,23
1_15,ABAB,A,B,A,B,2,0.00566816113208034,LR,none,1,23
1_15,ABBA,A,B,B,A,2,0.021400951158932698,LR,none,1,23
1_15,ABBB,A,B,B,B,3,0.014618568271231749,LR,none,1,23
1_15,BAAA,B,A,A,A,1,-0.0053355466317655635,LR,none,1,23
1_15,BAAB,B,A,A,B,2,-0.003728377169846731,LR,none,1,23
1_15,BABA,B,A,B,A,2,-0.003843017504124203,LR,none,1,23
1_15,BABB,B,A,B,B,3,-0.0029964505037901614,LR,none,1,23
1_15,BBAA,B,B,A,A,2,-0.0027178282542756295,LR,none,1,23
1_15,BBAB,B,B,A,B,3,-0.0018654123873829134,LR,none,1,23
1_15,BBBA,B,B,B,A,3,-0.000976896057495715,LR,none,1,23
1_15,BBBB,B,B,B,B,4,-0.0008453417634813152,LR,none,1,23
1_15,J:gate2_only,A,gate2_only,A,A,1,0.008926148992682206,LR,none,1,23
1_15,J:weights_only,A,weights_only,A,A,1,0.0027731643641635407,LR,none,1,23
1_40,AAAA,A,A,A,A,0,0.004884315504528204,LR,none,1,23
1_40,AAAB,A,A,A,B,1,0.0033604463373421256,LR,none,1,23
1_40,AABA,A,A,B,A,1,0.030204449116990047,LR,none,1,23
1_40,AABB,A,A,B,B,2,0.01755699446958441,LR,none,1,23
1_40,ABAA,A,B,A,A,1,0.014687401026201294,LR,none,1,23
1_40,ABAB,A,B,A,B,2,0.009739858286098779,LR,none,1,23
1_40,ABBA,A,B,B,A,2,0.038353653401116544,LR,none,1,23
1_40,ABBB,A,B,B,B,3,0.02200086099072665,LR,none,1,23
1_40,BAAA,B,A,A,A,1,-0.004474931637416445,LR,none,1,23
1_40,BAAB,B,A,A,B,2,-0.002754465909837159,LR,none,1,23
1_40,BABA,B,A,B,A,2,-0.0030982181033847624,LR,none,1,23
1_40,BABB,B,A,B,B,3,-0.0013397337597144373,LR,none,1,23
1_40,BBAA,B,B,A,A,2,-0.0017287489480746717,LR,none,1,23
1_40,BBAB,B,B,A,B,3,-0.001011731159179617,LR,none,1,23
1_40,BBBA,B,B,B,A,3,-0.0005195200124410022,LR,none,1,23
1_40,BBBB,B,B,B,B,4,6.818244561555504e-05,LR,none,1,23
1_40,J:gate2_only,A,gate2_only,A,A,1,0.014197113903363123,LR,none,1,23
1_40,J:weights_only,A,weights_only,A,A,1,0.0038590143891965275,LR,none,1,23
1_15,AAAA,A,A,A,A,0,0.0003693830889975859,LR,none,1,24
1_15,AAAB,A,A,A,B,1,0.0003807721027804707,LR,none,1,24
1_15,AABA,A,A,B,A,1,0.01061990087692538,LR,none,1,24
1_15,AABB,A,A,B,B,2,0.007877780787015202,LR,none,1,24
1_15,ABAA,A,B,A,A,1,0.0018221308300817999,LR,none,1,24
1_15,ABAB,A,B,A,B,2,0.001356398194228059,LR,none,1,24
1_15,ABBA,A,B,B,A,2,0.0094302248405082,LR,none,1,24
1_15,ABBB,A,B,B,B,3,0.006674538549403946,LR,none,1,24
1_15,BAAA,B,A,A,A,1,-0.003397498055015227,LR,none,1,24
1_15,BAAB,B,A,A,B,2,-0.002409740941294199,LR,none,1,24
1_15,BABA,B,A,B,A,2,-0.000635873859223109,LR,none,1,24
1_15,BABB,B,A,B,B,3,-0.00046846760662420093,LR,none,1,24
1_15,BBAA,B,B,A,A,2,-0.0024904139847748154,LR,none,1,24
1_15,BBAB,B,B,A,B,3,-0.0016791283642407827,LR,none,1,24
1_15,BBBA,B,B,B,A,3,-0.0009625727367849418,LR,none,1,24
1_15,BBBB,B,B,B,B,4,-0.0005474051828487934,LR,none,1,24
1_15,J:gate2_only,A,gate2_only,A,A,1,0.0023487049636397458,LR,none,1,24
1_15,J:weights_only,A,weights_only,A,A,1,-0.0008678453828568386,LR,none,1,24
1_40,AAAA,A,A,A,A,0,0.0003693830889975859,LR,none,1,24
1_40,AAAB,A,A,A,B,1,-0.00014527144264240468,LR,none,1,24
1_40,AABA,A,A,B,A,1,0.022024229960894936,LR,none,1,24
1_40,AABB,A,A,B,B,2,0.013575807810307837,LR,none,1,24
1_40,ABAA,A,B,A,A,1,0.0066625050804046074,LR,none,1,24
1_40,ABAB,A,B,A,B,2,0.00430483062238227,LR,none,1,24
1_40,ABBA,A,B,B,A,2,0.025832534224118478,LR,none,1,24
1_40,ABBB,A,B,B,B,3,0.01586072580726542,LR,none,1,24
1_40,BAAA,B,A,A,A,1,-0.004879311666525661,LR,none,1,24
1_40,BAAB,B,A,A,B,2,-0.0032236577885816752,LR,none,1,24
1_40,BABA,B,A,B,A,2,-0.00288295838249468,LR,none,1,24
1_40,BABB,B,A,B,B,3,-0.0020645891034923535,LR,none,1,24
1_40,BBAA,B,B,A,A,2,-0.001822690986391402,LR,none,1,24
1_40,BBAB,B,B,A,B,3,-0.0010929093849277446,LR,none,1,24
1_40,BBBA,B,B,B,A,3,-3.831769250200224e-05,LR,none,1,24
1_40,BBBB,B,B,B,B,4,-7.566014905711793e-05,LR,none,1,24
1_40,J:gate2_only,A,gate2_only,A,A,1,0.006805749088759463,LR,none,1,24
1_40,J:weights_only,A,weights_only,A,A,1,-0.00040823345890994594,LR,none,1,24
1_15,AAAA,A,A,A,A,0,0.002702716722547573,LR,none,1,25
1_15,AAAB,A,A,A,B,1,0.0027508787282844354,LR,none,1,25
1_15,AABA,A,A,B,A,1,0.01371058147893451,LR,none,1,25
1_15,AABB,A,A,B,B,2,0.010491783237116912,LR,none,1,25
1_15,ABAA,A,B,A,A,1,0.004875520969912671,LR,none,1,25
1_15,ABAB,A,B,A,B,2,0.004041107693682602,LR,none,1,25
1_15,ABBA,A,B,B,A,2,0.012479473616662223,LR,none,1,25
1_15,ABBB,A,B,B,B,3,0.009229081317967316,LR,none,1,25
1_15,BAAA,B,A,A,A,1,-0.003180516991958198,LR,none,1,25
1_15,BAAB,B,A,A,B,2,-0.002233347298755721,LR,none,1,25
1_15,BABA,B,A,B,A,2,-0.002684103941780698,LR,none,1,25
1_15,BABB,B,A,B,B,3,-0.002084680332404888,LR,none,1,25
1_15,BBAA,B,B,A,A,2,-0.0021882965286369213,LR,none,1,25
1_15,BBAB,B,B,A,B,3,-0.0013220854124812009,LR,none,1,25
1_15,BBBA,B,B,B,A,3,-0.0010906708896176664,LR,none,1,25
1_15,BBBB,B,B,B,B,4,-0.0007338967369565286,LR,none,1,25
1_15,J:gate2_only,A,gate2_only,A,A,1,0.005223978375826157,LR,none,1,25
1_15,J:weights_only,A,weights_only,A,A,1,0.0013870471155971761,LR,none,1,25
1_40,AAAA,A,A,A,A,0,0.002702716722547573,LR,none,1,25
1_40,AAAB,A,A,A,B,1,0.002100089462959942,LR,none,1,25
1_40,AABA,A,A,B,A,1,0.02160772400574362,LR,none,1,25
1_40,AABB,A,A,B,B,2,0.013893125331478462,LR,none,1,25
1_40,ABAA,A,B,A,A,1,0.008353145688411905,LR,none,1,25
1_40,ABAB,A,B,A,B,2,0.005711581558397849,LR,none,1,25
1_40,ABBA,A,B,B,A,2,0.023411132872399,LR,none,1,25
1_40,ABBB,A,B,B,B,3,0.014508136653056412,LR,none,1,25
1_40,BAAA,B,A,A,A,1,-0.0006158750226323493,LR,none,1,25
1_40,BAAB,B,A,A,B,2,-0.0004461797185797392,LR,none,1,25
1_40,BABA,B,A,B,A,2,-0.0007964895942021499,LR,none,1,25
1_40,BABB,B,A,B,B,3,-0.0007221846163857185,LR,none,1,25
1_40,BBAA,B,B,A,A,2,0.0009758863268035161,LR,none,1,25
1_40,BBAB,B,B,A,B,3,0.0006285866887235772,LR,none,1,25
1_40,BBBA,B,B,B,A,3,0.0016043869805035882,LR,none,1,25
1_40,BBBB,B,B,B,B,4,0.0008744083829836508,LR,none,1,25
1_40,J:gate2_only,A,gate2_only,A,A,1,0.007507884730724562,LR,none,1,25
