arm,iv,step,diag_net,diag_U,diag_D,diag_net_pos,diag_net_neg,diag_frozenD,diag_sgd,train_current,train_history,train_actual,diag_block_negfrac
LR,l2,1,-0.0081404771031059,0.0316631284708034,0.0398185031561356,-0.0093752669496757,0.0006098392185642,-0.0081404771031059,-0.00038676182489540004,-0.00598921612801355,0.00014293902209734576,-0.0069494610420976505,1.0
LR,l2,2,-0.00575590770108095,0.02975265700337565,0.03490770478963085,-0.00776532773153895,0.00123013729367685,-0.00635438153958095,-0.0003491147414924,-0.0057252099460487,-0.00603552748565965,-0.0107476893818977,1.0
LR,l2,3,-0.0034488355090938503,0.0273482370708447,0.03074454393026585,-0.00541505336574815,0.0014355050189897999,-0.00425397246767165,-0.00023805864085725,-0.00274596363779805,-0.00961727822412905,-0.012927053095756001,1.0
LR,l2,4,-0.00197358394678,0.02480352210708375,0.026756798318045498,-0.00376941520152545,0.0014011571764301,-0.0028678815981299,-0.00016994583435430002,-0.0021812690092641,-0.01157164726784865,-0.0147145143198505,0.8125
LR,l2,5,-0.00165611266550145,0.0233061432179423,0.02501797263957875,-0.00318757038753565,0.00133653074218455,-0.00188073136581015,-0.0001182659689316,-0.0017432593089572001,-0.01338084026195145,-0.016657738951231953,0.875
LR,l2,6,-0.00109320853260085,0.021704228375588948,0.023181268457771652,-0.00267114522411925,0.0012271067186746501,-0.0012164798416199499,-0.0001067423202962745,-0.0008307702686496999,-0.01480738844770935,-0.01636273387337245,0.75
LR,l2,7,-0.00114298733702305,0.0203276216305639,0.022210603396109002,-0.00189596453005495,0.00080996386661825,-0.00148482765665075,-9.851896914810122e-05,-0.0010573828804418,-0.014733281356273598,-0.015500365589866949,0.75
LR,l2,8,-0.00077775143210985,0.019521812458850298,0.021058247331410748,-0.0013031182159698,0.00072204487779315,-0.0010333407642168,-7.921087489238689e-05,-0.0011666159641049,-0.0140021594601022,-0.016485299992127347,0.75
LR,l2,9,-0.0011202301396114,0.0187601016011613,0.0199034494508048,-0.00117928519875775,0.00011640248358522745,-0.0013537915710622002,-3.8593870040485865e-05,-0.0013575786237696001,-0.01484051482588015,-0.01526499602788035,0.75
LR,l2,10,-0.0006413699937719,0.0181490067966793,0.019249104307451602,-0.00101995589831435,0.00013903970099899999,-0.0011007939782179499,-3.11365211522106e-05,-0.0009465979888647999,-0.013743900912473,-0.0147865670092935,0.6875
LR,l2,11,-0.00019310185964495,0.0177881018755318,0.0175386577099354,-0.0007775547635035,0.0003293674602402,-0.00048339684908840005,2.464000253237168e-06,0.00062192942771625,-0.013459438201454,-0.01226442895041845,0.5625
LR,l2,12,-0.00040542498429675,0.017576489111540652,0.0173429732396806,-0.00055278671884085,0.0005651936054976,-0.0006547425245563,-2.4274888920418434e-06,-0.0006045352060242,-0.01109766800231815,-0.01103171320795125,0.5
LR,l2,13,0.00026369540107805,0.01735511594983185,0.016707025740602503,-0.00016583616841265,0.0004903703457963999,0.00032344991266,1.0111470072407801e-05,0.0005898143703677999,-0.01004584106331785,-0.01005827672729805,0.4375
LR,l2,14,0.00047499612935875,0.016948525268962747,0.01637766740556855,-5.167523748156353e-05,0.0006304567600602,0.00061184596106205,2.8005989780531197e-05,3.337861142044405e-05,-0.00913973131872515,-0.0110409874792015,0.375
LR,l2,15,0.00065874209561005,0.01654727749078535,0.015569755982836199,-5.734314975398054e-05,0.00081856826259105,0.0009025432204253501,2.6986133104873175e-05,8.992669422409999e-05,-0.010095321320930752,-0.008304078309622352,0.25
LR,l2,16,0.00105964817546995,0.0164066761954461,0.015331421830799899,0.00010149744190748557,0.0010023244724802001,0.0014226930627820999,4.056527305193338e-05,0.0011181249329222502,-0.00752036763100205,-0.0080922332951199,0.25
LR,l2,17,0.0011171808365556999,0.01592108457682625,0.0148613903634103,0.0002019459700429,0.00108395752905375,0.0015932276830874,4.823265545619375e-05,0.0007084108054591499,-0.0073503301642803,-0.0048046207501791,0.25
LR,l2,18,0.0011753895129744999,0.0155674879463665,0.01466383763513285,6.028526703882875e-05,0.00074522826102385,0.0013563920207958998,5.3397831737360914e-05,0.0013484642300513,-0.004387617167001,-0.0026788220319705,0.125
LR,l2,19,0.0007880576245481,0.015185855021377401,0.01417185451396875,4.0445168270098874e-05,0.00084039865768415,0.0009320873909196,5.362547883616854e-05,0.0005324378617367,-0.00256161558579205,-0.0012090905310413501,0.1875
LR,l2,20,0.0010192650544158,0.014830801341597751,0.0135699737733317,7.629510398025008e-05,0.0009853532236106,0.0011967070270804,6.218178189837978e-05,0.0009640547276665501,-0.0012711777315296,-0.0004020086550066,0.25
LR,l2,21,0.0013881312430001,0.01454398922707155,0.0130784886973891,0.00015035211153215,0.0011007810568275,0.0018109190050944498,6.998072115013745e-05,0.0011496422403466,-0.00049278049056845,0.00072528609512395,0.1875
LR,l2,22,0.0018167021221711,0.014184569254662,0.012971875058076801,7.966927573656784e-05,0.0011597903241968,0.0024384049293899998,6.721718603207413e-05,0.0013931886463038,0.00054083731440365,0.00211051736830835,0.1875
LR,l2,23,0.001608313744035,0.014051052953655701,0.01260632110847835,2.3765732515951786e-06,0.0009732934288289501,0.0021744921365930998,6.541467191080622e-05,0.0016909089473509,0.0017631781570936,0.00418507448485985,0.125
LR,l2,24,0.0010935400216395001,0.01344159489931275,0.012423112551661,7.961280703844063e-05,0.0012131940598155999,0.00178791330946585,6.013752489632357e-05,0.00097996936029145,0.0036183390728378997,0.00453853483560235,0.1875
LR,l2,25,0.00108624792556345,0.01347661275547445,0.01247539482096455,0.00015317408187455,0.00095716617546175,0.0014951950667665501,5.8994335904367226e-05,0.0026260070184602998,0.0040020564142753,0.006168716449169,0.125
LR,l2,26,0.0008926308323065,0.013419063007476351,0.012679243534462849,2.041238296321803e-05,0.00116984162484465,0.0012803656965971002,4.243245250508366e-05,0.00122804644114805,0.0054189127455927,0.0055147900152469,0.1875
