arm,mode,seed,cond,slot,lr,task,iv,steps,complete_task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
ELU,early,1001,raw,0,0.001,1,early,30000,True,0.1001770833,0.1150000021,0.1150000021,0,0,-14.40193748,11.03150845,-46.02750015,0.003772122087,1.437145044,1,0,-134.9875336,34.51858139,-303.9711914,2.614951853e-19,1.000000454,1.85809195,0.6141405106,0.5201844573
ELU,early,1002,raw,1,0.001,1,early,30000,True,0.0993125,0.113333337,0.113333337,0,0,94.78075409,26.24237061,-55.85276031,1,1.562150903,0.02999999933,0,-268.9576721,72.32781982,-493.6153259,3.594369957e-07,1.566547817,4.281559944,0.6226969361,0.5055037141
ELU,early,1003,raw,2,0.001,1,early,30000,True,0.09537708333,0.1000000015,0.1000000015,0,0,56.06264496,14.54870701,-43.7951622,1,1.338101103,1,0,-110.127243,28.00185966,-314.3943176,4.650630162e-16,1.000000491,2.26443696,0.5978398919,0.5386291146
ELU,early,1004,raw,3,0.001,1,early,30000,True,0.0974625,0.1066666692,0.1066666692,0,0,50.61179733,15.01361656,-49.41104126,1,1.443959606,1,0,-163.5628204,44.48657608,-384.4334106,7.531464059e-13,1.000000643,2.303386211,0.6190101504,0.5200120211
ELU,early,1005,raw,4,0.001,1,early,30000,True,0.09894375,0.09750000387,0.09750000387,0,0,93.61199188,26.69993401,-46.3757515,1,1.531642915,0.8599999547,0,-192.6053467,52.13531113,-672.9275513,2.766093561e-13,1.63924788,4.49049139,0.5954287052,0.5118175149
ELU,early,1001,raw,0,0.001,2,early,30000,True,0.09711666667,0.1000000015,0.1000000015,0,0,-17.4711895,10.92042351,-56.09838867,0.0004284355673,1.415607219,1,0,-130.41745,33.47668076,-310.291626,3.284532329e-19,1.000000454,1.85809195,0.6159653664,0.5185719728
ELU,early,1002,raw,1,0.001,2,early,30000,True,0.1055916667,0.1108333394,0.1108333394,0,0,85.64241791,26.72971916,-112.0718002,1,1.495670251,0.4499999881,0,-377.1636963,101.565506,-862.7269897,1.972448205e-09,1.714608268,4.397472858,0.706230104,0.4736904204
ELU,early,1003,raw,2,0.001,2,early,30000,True,0.09925625,0.1058333367,0.1058333367,0,0,42.25026321,11.91709328,-46.56539154,1,1.345366451,1,0,-138.9748535,36.12528992,-364.1256409,1.028434237e-19,1.000000454,2.048783779,0.6097664237,0.5347889662
ELU,early,1004,raw,3,0.001,2,early,30000,True,0.09609791667,0.1033333391,0.1033333391,0,0,45.60848999,15.44172955,-68.38028717,1,1.508021925,1,0,-243.2867737,65.85608673,-436.1308594,1.385455975e-17,1.000000454,2.803910255,0.6318218112,0.5120472908
ELU,early,1005,raw,4,0.001,2,early,30000,True,0.09807708333,0.1075000018,0.1075000018,0,0,79.51352692,24.59708023,-68.54705048,1,1.46511292,1,0,-307.9922485,86.1776886,-813.7016602,1.111452604e-19,1.000000454,4.5655756,0.6241774559,0.5065174699
