arm,mode,seed,task,step,global_step,window_start,window_steps,loss,acc,advantage,confidence,online_acc_window,initial_positive_count,observed,down,up,net,conf,hist,label,correction,roundoff,conf_common,correction_common,zmean_l1,zsd_l1,outputsd_l1,gain_l1,ppos_l1,dead_l1,output_sd_ratio_l1,output_sd_ratio_n_l1,eff_rank_l1,zmean_l2,zsd_l2,outputsd_l2,gain_l2,ppos_l2,dead_l2,output_sd_ratio_l2,output_sd_ratio_n_l2,eff_rank_l2
ELU,early,1004,1,10,10,1,9,2.513101339,0.1000000015,-0.006346091628,2.506755114,0.07638888806,2895,True,8.379441261,19.09664917,10.71721077,-7.663297176,0,-5.538658619,23.91916656,-2.384185791e-07,-0.797555685,3.134999514,2.850672007,1.149485707,0.8080106974,1,0.691241622,0,6.971051693,100,,-0.9385476112,0.6271438003,0.1152736694,0.172329694,0.4250583053,0,1.79335022,100,
ELU,early,1005,1,10,10,1,9,3.044637203,0.1075000018,0.04484863207,3.089486122,0.1180555522,3581,True,7.72812748,28.27413177,20.54600525,-18.7365799,0,2.096422911,37.18616104,1.192092896e-06,-2.634429932,4.577045918,3.910366297,1.255056143,1.168095112,1,0.7392416,0,9.240816116,100,,-0.102067031,0.631313324,0.1540011317,0.8151574135,0.4950166643,0,2.210209846,100,
ELU,early,1001,1,30,30,10,20,2.676556349,0.1016666666,0.01752805896,2.694084644,0.109375,3285,True,7.071331024,18.70084953,11.62951851,-20.05896378,0,-1.022788763,32.71127319,0,-2.752088547,4.593985081,5.292645454,1.80869019,1.497418165,1,0.6502583027,0,12.29728699,100,,-0.3701740503,1.026426315,0.1077495888,0.5124716163,0.4704666734,0,1.53931129,100,
ELU,early,1002,1,30,30,10,20,2.715086222,0.100833334,0.0400566794,2.755143166,0.078125,2812,True,7.123547554,17.40190125,10.27835655,-19.81567574,0,-2.325155497,32.41918564,1.192092896e-06,-2.06978631,3.806615829,3.9460361,1.523323774,1.112554431,1,0.6780166626,0,8.578600883,100,,-2.43791461,1.007436395,0.07748981565,0.02237015963,0.4043749869,0,1.163095474,100,
ELU,early,1003,1,30,30,10,20,2.423144579,0.1024999991,0.01726999879,2.44041419,0.1000000015,3529,True,7.278799534,19.76760101,12.488801,-15.39638138,0,-2.177841663,30.06302261,8.344650269e-07,-2.155204773,3.929097176,4.7024436,1.426712036,1.232227087,1,0.7000416517,0,10.79910946,100,,-3.975656748,1.11016798,0.03532837704,0.001978843473,0.1830333322,0,0.6222659349,100,
ELU,early,1004,1,30,30,10,20,2.678462505,0.1200000048,0.07367119938,2.752133608,0.112499997,2895,True,8.744568825,17.47031593,8.725748062,-10.9721632,0,-5.165346622,24.86325645,4.172325134e-07,-2.075677395,3.637311459,4.899446964,1.697226286,1.364624023,1,0.7067165971,0,11.29550934,100,,-2.192768097,0.955429554,0.07523890585,0.01868807897,0.3260166347,0,1.245275259,100,
ELU,early,1005,1,30,30,10,20,2.601020098,0.1091666669,0.02237517945,2.623395443,0.106250003,3581,True,6.784920692,26.98760033,20.20267868,-25.43878746,0,0.6923524141,44.94911194,5.960464478e-07,-3.56665802,5.679090023,6.326313496,1.941147685,1.824195266,1,0.7492333055,0,13.94597626,100,,-2.506584406,1.11043179,0.08312869072,0.02008813061,0.380158335,0,1.121148586,100,
ELU,early,1001,1,75,75,30,45,2.571632624,0.1183333397,0.102039896,2.673672438,0.08194444329,3285,True,8.85441494,29.58527374,20.73086166,-16.54555321,0,-3.316951275,40.59336853,2.801418304e-06,-2.728213549,5.828959942,8.673555374,2.307220936,2.307220936,1,0.6816583276,0,20.87671661,100,,-3.493556499,1.311266184,0.03973630443,0.003175519407,0.3723750114,0,0.6677204967,100,
ELU,early,1002,1,75,75,30,45,2.44609499,0.1183333397,0.05862878263,2.504723787,0.09166666865,2812,True,11.02640343,27.66766548,16.64126968,-26.78384972,0,-3.138484716,46.56360245,8.344650269e-07,-3.196458101,5.888252258,6.690953732,2.039319038,1.674415231,1,0.7062666416,0,13.05827618,100,,-3.891657829,1.439037442,0.04260108247,0.002651188057,0.3285166621,0,0.7553996444,100,
ELU,early,1003,1,75,75,30,45,2.3924582,0.1108333394,0.02422552556,2.416683912,0.09027777612,3529,True,8.769001961,26.64362526,17.87462425,-17.88036728,0,-0.7248990536,36.4798851,2.086162567e-06,-2.655315399,4.889838219,8.412461281,2.230180979,2.230180979,1,0.6999166608,0,16.92583275,100,,-6.544233322,1.63096261,0.01449356042,0.0002381670347,0.1001166701,0,0.2177492231,100,
ELU,early,1004,1,75,75,30,45,2.500914812,0.1075000018,0.04052530229,2.54144001,0.112499997,2895,True,8.038182259,34.1962738,26.15808678,-31.43974304,0,5.567693233,52.03013611,2.503395081e-06,-4.513251781,7.525146008,8.384494781,2.404362679,2.327046633,1,0.7386832833,0,17.72822952,100,,-6.545825005,1.756152868,0.0196099747,0.0004234142252,0.2199999988,0,0.305929482,100,
ELU,early,1005,1,75,75,30,45,2.570918083,0.1150000021,0.04803361371,2.618951797,0.09583333135,3581,True,11.23432922,41.26191711,30.02759171,-36.45249939,0,4.285351276,62.19473267,2.264976501e-06,-4.652612686,7.72524786,10.30817699,2.847150087,2.847150087,1,0.7700666785,0,22.7592144,100,,-6.908752441,2.008235216,0.01583328843,0.0002915532386,0.268024981,0,0.2156563401,100,
ELU,early,1001,1,150,150,75,75,2.350102901,0.1150000021,0.04137630016,2.391479492,0.1150000021,3285,True,13.14601326,45.06639099,31.92037582,-23.14433479,0,-1.597653866,56.66234589,4.678964615e-06,-3.307362556,8.519077301,13.33015919,3.312358379,3.312358379,1,0.7000082731,0,27.5136261,100,,-7.972526073,2.039835453,0.005541860126,3.223602471e-05,0.1448333263,0,0.1051399559,100,
ELU,early,1002,1,150,150,75,75,2.468466043,0.1091666669,0.03001900017,2.49848485,0.1158333346,2812,True,15.20152569,56.58214188,41.38061905,-41.57411957,0,3.966402292,78.98829651,4.291534424e-06,-4.284100056,9.969142914,12.29506207,3.276612043,3.276612043,1,0.7854750156,0,23.96156693,100,,-6.162577629,1.963307858,0.0237202961,0.0006197797484,0.2297416627,0,0.3493880033,100,
ELU,early,1003,1,150,150,75,75,2.423611164,0.1000000015,0.0224031806,2.446014166,0.08666666597,3529,True,10.74840546,43.22208023,32.47367477,-22.63134956,0,3.341671944,51.76335144,4.470348358e-06,-2.519679785,6.413698673,12.50189686,3.368740797,3.368740797,1,0.719991684,0,26.80422401,100,,-10.28250027,2.640197754,0.004394537769,1.989636439e-05,0.05543332919,0,0.0564221777,100,
ELU,early,1004,1,150,150,75,75,2.472121954,0.1325000077,0.06560433656,2.537726402,0.1016666666,2895,True,14.8241663,56.06022644,41.23606873,-27.38221169,0,-1.06363976,69.68192291,6.258487701e-06,-4.316224575,10.39580345,15.62991905,4.166511059,4.166511059,1,0.7700166106,0,31.10430908,100,,-10.41349792,2.810214043,0.008635931648,7.566607383e-05,0.1334999949,0,0.1270747781,100,
