metric,registered,arm,window,window_tasks,k,n,rate,cp95_lo,cp95_hi,status,ties,excluded_seed_indices,above_seed_indices
G0_sign,0,R5,1m,task 91-100,9,20,0.45,0.23057789677592416,0.6847218669594515,R5_NOT_SEPARATED_TIGHT,0,[],"[0, 1, 6, 8, 11, 14, 16, 17, 19]"
G0_sign,0,LR5,1m,task 91-100,0,20,0.0,0.0,0.1684334709830853,LR5_BELOW_LINEAR,0,[],[]
G0_sign,0,E5,1m,task 91-100,0,20,0.0,0.0,0.1684334709830853,E5_BELOW_LINEAR,0,[],[]
G0_sign,0,R5,5m,task 491-500,13,20,0.65,0.40781146546717195,0.8460907952154588,R5_INCONCLUSIVE_WIDE,0,[],"[0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 14, 15, 18]"
G0_sign,0,LR5,5m,task 491-500,0,20,0.0,0.0,0.1684334709830853,LR5_BELOW_LINEAR,0,[],[]
G0_sign,0,E5,5m,task 491-500,1,20,0.05,0.001265089497949845,0.24873276277202777,E5_BELOW_LINEAR,0,[],[14]
collapse_count_5m,0,R5,5m,task 491-500,8,20,0.4,0.19119006072530725,0.6394574126925103,R5_COLLAPSE_COUNT,,[],"[0, 1, 5, 8, 11, 12, 14, 15]"
collapse_count_5m,0,LR5,5m,task 491-500,0,20,0.0,0.0,0.1684334709830853,LR5_COLLAPSE_COUNT,,[],[]
collapse_count_5m,0,E5,5m,task 491-500,1,20,0.05,0.001265089497949845,0.24873276277202777,E5_COLLAPSE_COUNT,,[],[14]
collapse_count_5m,0,LIN5,5m,task 491-500,0,20,0.0,0.0,0.1684334709830853,LIN5_COLLAPSE_COUNT,,[],[]
collapse_count_5m,0,R100,5m,task 491-500,1,20,0.05,0.001265089497949845,0.24873276277202777,R100_COLLAPSE_COUNT,,[],[1]
collapse_count_5m,0,LR100,5m,task 491-500,0,20,0.0,0.0,0.1684334709830853,LR100_COLLAPSE_COUNT,,[],[]
collapse_count_5m,0,E100,5m,task 491-500,0,20,0.0,0.0,0.1684334709830853,E100_COLLAPSE_COUNT,,[],[]
collapse_count_5m,0,LIN100,5m,task 491-500,0,20,0.0,0.0,0.1684334709830853,LIN100_COLLAPSE_COUNT,,[],[]
