metric,registered,arm,n,within_seed_diff_median,worse_seed_count,arm_median_1m,arm_median_5m,arm_median_diff,degraded,group,threshold,above_LIN5,seed_indices
LIN5_1m_to_5m,0,LIN5,20,0.0034842404655251735,10,0.5466009333919187,0.5139013641682124,-0.032699569223706315,False,,,,
R5_bimodality_5m,0,R5,8,,,,,,,collapsed,0.999,8,"[0, 1, 5, 8, 11, 12, 14, 15]"
R5_bimodality_5m,0,R5,12,,,,,,,not_collapsed,0.999,5,"[2, 3, 4, 6, 7, 9, 10, 13, 16, 17, 18, 19]"
