registered,arm,seed,pred_kind,target_mu_norm,n_units,med_d_wmu,med_d_b,share_of_medians,med_share_unit,share_of_medians_ff,med_share_unit_ff,share_of_medians_incl_nodesc,med_pred,med_pred_meanrecip,med_pred_ff,med_t_sub,med_win_len,frac_routes_same_sign,frac_share_outside01,n_units_ff,n_ok,n_never_submerged,n_submerged_at_start,n_degenerate_denom,n_no_descent
0,E_a0p001_1216,0,oracle,3.041,68,-1.2936281076348264,-0.125115024575374,0.08818722835363618,0.09757910414055798,0.1680013146454551,0.09441188545264484,0.08818722835363618,0.09758305318051957,0.09758305318051957,0.09758305318051957,41500.0,40.5,0.9705882352941176,0.029411764705882353,68,68,0,32,0,0
0,E_a0p001_1216,1,oracle,3.041,81,-1.2274568755008701,-0.11367027256869733,0.08475726759563067,0.09629183567714943,0.18088957059714392,0.09337879047504934,0.08475726759563067,0.09758305318051957,0.09758305318051957,0.09758305318051957,41000.0,40.0,0.9382716049382716,0.06172839506172839,81,81,0,19,0,0
0,E_a0p001_1216,2,oracle,3.041,78,-1.197356539330464,-0.09636999908207433,0.07449023902711677,0.07916772649106593,0.10327789249162962,0.10479532917486034,0.07449023902711677,0.09758305318051957,0.09758305318051957,0.09758305318051957,61000.0,60.0,0.8974358974358975,0.10256410256410256,78,78,0,22,0,0
0,E_a0p001_1216,3,oracle,3.041,71,-1.1787751501423998,-0.10682345000051008,0.08309238201460033,0.08487346224849447,0.0994116954836286,0.09912676822541779,0.08309238201460033,0.09758305318051957,0.09758305318051957,0.09758305318051957,41000.0,40.0,0.9154929577464789,0.08450704225352113,71,71,0,29,0,0
0,E_a0p001_1216,4,oracle,3.041,72,-1.2106302375691635,-0.1191952547139028,0.0896322528072961,0.08189043285871811,0.1105009682470892,0.0955826558396793,0.0896322528072961,0.09758305318051957,0.09758305318051957,0.09758305318051957,41000.0,40.0,0.9305555555555556,0.06944444444444445,72,72,0,28,0,0
0,E_a0p001_1216,5,oracle,3.041,74,-1.0666457824945894,-0.09688647993896926,0.08326926813041576,0.09269759560029105,0.15283380337215852,0.11585279032524462,0.08326926813041576,0.09758305318051957,0.09758305318051957,0.09758305318051957,31500.0,30.5,0.9594594594594594,0.04054054054054054,74,74,0,26,0,0
0,E_a0p001_1216,6,oracle,3.041,76,-1.3520761105952313,-0.13881842039600079,0.093110825420834,0.0992724904377911,0.1342061202913918,0.08849618307765422,0.093110825420834,0.09758305318051957,0.09758305318051957,0.09758305318051957,41000.0,40.0,0.9868421052631579,0.013157894736842105,76,76,0,24,0,0
0,E_a0p001_1216,7,oracle,3.041,65,-1.031080698483052,-0.09232046870828103,0.08217943100334824,0.08588942726296044,0.13819639227401911,0.09975991511360983,0.08217943100334824,0.09758305318051957,0.09758305318051957,0.09758305318051957,41000.0,40.0,0.9846153846153847,0.015384615384615385,65,65,0,35,0,0
0,E_a0p001_1216,8,oracle,3.041,78,-1.0199558021607114,-0.10559889520529486,0.09381942561513416,0.08812679745181978,0.07676309425969653,0.09469347024440164,0.09381942561513416,0.09758305318051957,0.09758305318051957,0.09758305318051957,41000.0,40.0,0.9230769230769231,0.07692307692307693,78,78,0,22,0,0
0,E_a0p001_1216,9,oracle,3.041,73,-1.3823499204569352,-0.1642187528343887,0.10618264527814807,0.09547742216431715,0.10447497143374206,0.09662352632373473,0.10618264527814807,0.09758305318051957,0.09758305318051957,0.09758305318051957,31000.0,30.0,0.9863013698630136,0.0136986301369863,73,73,0,27,0,0
0,E_a0p01_1216,0,oracle,3.041,68,-1.3154235791442268,-0.1352594756401439,0.09323847493362279,0.0953898828175844,0.12805036195091163,0.08468361907157142,0.09323847493362279,0.09758305318051957,0.09758305318051957,0.09758305318051957,41000.0,40.0,0.9411764705882353,0.058823529411764705,68,68,0,32,0,0
0,E_a0p01_1216,1,oracle,3.041,81,-1.1670780538448047,-0.1225637676995579,0.09503706040859176,0.09561159495136423,0.06639794928578631,0.09042462663738639,0.09503706040859176,0.09758305318051957,0.09758305318051957,0.09758305318051957,51000.0,50.0,0.9506172839506173,0.04938271604938271,81,81,0,19,0,0
