arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
C,raw,0,0,0.0001,19,1,5,0.2336137821,0.5063999891,0.506000042,0.5063999891,0,0,0.0421404019,2.793901443,-0.3647868633,0.4867999852,30.92099722,0.3199999928,0.3199999928,-3.306686163,2.491942644,-8.001887321,0.004399999976,6.401620482,1.174529672,0.7338329554,3.036869526
C,raw,0,0,0.0001,20,0,1,0.7969951923,1,1,1,0,0,-1.089795232,2.295164824,-5.295037746,0.2420000136,22.92078283,0.5399999619,0.5399999619,-3.422817707,2.183490515,-7.686070442,0,4.78481543,1.09766078,0.7386542559,3.105848074
C,raw,0,0,0.0001,21,1,5,0.2580528846,0.4839999974,0.4620000124,0.4839999974,0,0,-0.002609075746,2.733445644,-1.311847448,0.4979999959,30.4842203,0.4299999774,0.4299999774,-3.099812508,2.26348877,-7.289834023,0.0007999999798,6.388919603,1.118704557,0.7467912436,3.219355345
C,raw,0,0,0.0001,22,0,1,0.7709935897,1,1,1,0,0,-0.2925912142,2.976713896,-2.403073311,0.4880000353,13.19702379,0.5799999833,0.5799999833,-5.841317654,4.777806282,-13.8915844,0,2.732827783,1.123714685,0.7522341013,3.296514988
C,raw,0,0,0.0001,23,1,5,0.3497596154,0.6079999804,0.6460000277,0.6079999804,0,0,0.2309872061,2.411303282,-4.511874199,0.5555999875,28.0974162,0.3700000048,0.3700000048,-4.269577026,2.817098379,-8.607902527,0.001199999941,6.031050127,1.115146041,0.7573009729,3.368779898
C,raw,0,0,0.0001,24,0,1,0.7349759615,1,1,1,0,0,-0.4383939505,1.527249813,-1.974503875,0.3440000117,29.52744571,0.5099999905,0.5099999905,-2.89536047,1.789863467,-5.278505802,0,6.155032315,1.05933857,0.7698165178,3.469237328
C,raw,0,0,0.0001,25,1,5,0.2616586538,0.5695999861,0.55400002,0.5695999861,0,0,0.09173054993,2.485543013,-4.179135323,0.4971999824,30.81338582,0.3400000036,0.3400000036,-2.965066671,2.112882614,-6.530133247,0.002399999881,7.148580499,1.094629884,0.7698194981,3.620990515
C,raw,0,0,0.0001,26,0,1,0.7316105769,1,1,1,0,0,-0.2086542696,1.426723361,-2.798063993,0.400000006,22.77381946,0.5099999905,0.5099999905,-2.574584007,2.119282722,-6.608973026,0,5.626678607,1.008406878,0.7759749889,3.758594751
C,raw,0,0,0.0001,27,1,5,0.2606169872,0.5683999658,0.5520000458,0.5683999658,0,0,0.07512381673,2.595360994,-1.238969803,0.5055999756,28.41362784,0.3899999857,0.3899999857,-3.246639729,2.135211945,-7.169809341,0.002399999881,6.766916111,1.05469048,0.7770921588,3.912337303
C,raw,0,0,0.0001,28,0,1,0.7222355769,1,1,1,0,0,-0.68745327,0.9317076206,-2.73486495,0.1620000005,20.34786561,0.3999999762,0.3999999762,-1.786936164,1.258984566,-5.235672951,0.00400000019,7.809341417,0.9542340636,0.8053608537,4.095686436
C,raw,0,0,0.0001,29,1,5,0.3116987179,0.6255999804,0.6200000048,0.6255999804,0,0,-0.1576322317,2.00463891,-2.058684111,0.4503999949,25.51563088,0.3799999952,0.3799999952,-2.939715624,2.3437922,-7.562426567,0.005200000014,6.495110843,1.013194323,0.8019790649,4.237765312
C,raw,0,0,0.0001,30,0,1,0.7477163462,1,1,1,0,0,-1.088356495,1.42051518,-6.960213661,0.1300000101,16.21603865,0.5099999905,0.5099999905,-2.781932116,1.720543623,-9.234037399,0,4.857647646,0.9823162556,0.7974228859,4.375223637
C,raw,1,1,0.0001,1,1,5,0.5931490385,0.7119999528,0.6080000401,0.7119999528,0,0,0.1861121356,3.207425356,-1.201471448,0.5227999687,27.35361809,0.009999999776,0.009999999776,1.907335162,1.654711723,-3.336117029,0.9239999652,15.57029526,0.9328967929,0.6250599027,0.6718370318
C,raw,1,1,0.0001,2,0,1,0.9019230769,1,1,1,0,0,-0.9011261463,1.654442549,-2.33621335,0.2800000012,25.04716565,0.02999999933,0.02999999933,0.271609962,0.9928603172,-2.862772226,0.6260000467,12.12127013,0.8667369485,0.6233541369,0.7994357944
C,raw,1,1,0.0001,3,1,5,0.5175080128,0.6567999721,0.5920000076,0.6567999721,0,0,0.02912872471,2.060130119,-0.602989912,0.5080000162,36.98567949,0.009999999776,0.009999999776,0.8941907883,1.259021878,-1.9502244,0.7367999554,21.3586935,0.9247567654,0.6315111518,1.029183149
C,raw,1,1,0.0001,4,0,1,0.910536859,1,1,1,0,0,-1.145376444,1.525556326,-3.937574625,0.1940000057,19.75753451,0.03999999911,0.03999999911,-0.4509552717,1.204256177,-3.828129053,0.1860000044,9.108916279,0.8993846178,0.634488821,1.150232553
C,raw,1,1,0.0001,5,1,5,0.4949919872,0.6827999949,0.6620000601,0.6827999949,0,0,-0.1687699854,2.015570641,-1.326929808,0.44599998,31.53588499,0.009999999776,0.009999999776,-0.1844140589,1.515352726,-3.176641464,0.4831999838,17.64416209,0.9510490298,0.6342836618,1.389315248
C,raw,1,1,0.0001,6,0,1,0.8975160256,1,1,1,0,0,-0.3979128003,1.450781941,-4.335847855,0.3540000021,28.04962271,0.009999999776,0.009999999776,-0.4698528647,1.273652315,-3.193769217,0.3420000076,12.10799109,0.9953942299,0.6451960206,1.489649296
C,raw,1,1,0.0001,7,1,5,0.4960336538,0.6911999583,0.6460000277,0.6911999583,0,0,0.1146263629,2.141117573,-0.9228941202,0.5295999646,37.99630974,0,0,-0.4564280212,1.351387024,-3.285700798,0.315200001,17.57664185,1.026777387,0.6548982263,1.740893602
