arm,seed,task,cap_on,major_frac,med_K_l1,med_K_l2,med_U_l1,med_U_l2,med_a1mean_l1,med_b1,med_b2,med_d_l1,med_d_l2,med_dtrain_mean_l1,med_dtrain_mean_l2,med_dtrain_zero_l1,med_dtrain_zero_l2,med_gate_mean_l1,med_gate_mean_l2,med_gate_rms_l1,med_gate_rms_l2,med_lowgate_l1,med_lowgate_l2,med_pplus_l1,med_pplus_l2,med_q_l1,med_q_l2,med_row_mean_l1,med_row_mean_l2,med_row_norm_l1,med_row_norm_l2,med_sigma_l1,med_sigma_l2,med_v_norm_l1,med_v_norm_l2,med_wt_norm_l1,med_wt_norm_l2,med_zbar_l1,med_zbar_l2,memo_acc,online_acc,rem_par,rem_perp,rem_w2,rows_bfix,rows_par,rows_perp,rows_w2
cap12,4,1,0,0.10833333333333334,2.9010637835968733,3.7081987922831585,2.5715893507003784,4.856037139892578,-0.22003811288421277,1.89982820302248e-05,0.038790078833699226,-0.554171943341738,0.07979188403281781,0.5774656888842583,0.7571838545302549,0.0,0.0,0.5774656885467994,0.7571838544813605,0.6794199647276801,0.8147853008368973,0.032916666666666664,0.006666666666666667,0.29874999999999996,0.5191666666666667,-0.11498814380259477,0.02494136367856507,-0.0018202581696138104,-0.00020037266483996063,3.4817041904340584,1.598762643100474,1.1836231945878226,1.2967278608393926,3.480432055190372,1.5921856932885312,3.4776332119904443,1.593063254154992,-0.6627512502771181,0.11287586897572813,0.9325000047683716,0.7929270833333333,0.0,0.0,0.0,0,0,0,0
cap12,4,2,1,0.10666666666666667,2.9400079331134714,3.416959465618331,3.8350274562835693,6.21487021446228,0.13801998984414846,-0.06834787502884865,-0.04734752140939236,-0.14646980392505518,-0.026634005926597176,0.6734865450610716,0.6636155038078626,0.0,0.0,0.6734865452322023,0.6636155035584428,0.7642023630122833,0.7689718324604704,0.03375,0.050416666666666665,0.45,0.48375,-0.023003019810377626,-0.00610082533392939,0.00021619557624870473,0.022617494784390145,3.4805161890514236,1.5987627458853073,1.4070131512970332,1.8127608569491125,3.4802034073019765,1.5962396527439062,3.4642921372417463,1.5847540495144399,-0.19755522199906408,-0.056404793969122693,1.0,0.79,133.7949813976884,129.65253973007202,71.93048334121704,0,38881,453249,352172
cap12,4,3,1,0.10916666666666666,3.071191587705475,3.2076935125096577,4.341691255569458,6.0362489223480225,0.20653016556064055,-0.15556516498327255,-0.1398853287100792,-0.10810489859878972,-0.2263534843470943,0.6699921375264724,0.5856318986664216,0.0,0.0,0.6699921374740855,0.5856318979289062,0.7679467191619913,0.7093831535890232,0.042083333333333334,0.11166666666666666,0.4670833333333333,0.4066666666666666,-0.009441249062091397,-0.11583834031860274,-0.0018847657534453847,0.017896208526508417,3.480481891243664,1.5987626703622824,1.5245127468430648,2.063885014964227,3.4804320578457864,1.5949928030938294,3.476926574937742,1.5849684491326597,-0.1796943332425629,-0.4622644279245287,1.0,0.8575729166666667,177.20206860965118,135.3102104663849,66.53664457798004,0,32912,484501,374546
cap12,4,4,1,0.11416666666666667,3.154407938560179,3.1913938092692207,4.496129035949707,6.028809547424316,0.21680990402306632,-0.2248726636171341,-0.20584053546190262,-0.09278866320835111,-0.40526891608996946,0.6921234636753797,0.5156442654381195,0.0,0.0,0.6921234638824899,0.5156442659967342,0.7820317996343711,0.6571039017538103,0.03791666666666667,0.16958333333333334,0.49375,0.33875,0.000710579107338908,-0.22311111060471472,-0.0009476143592871025,0.012109785316933994,3.4811832917132635,1.5987626153864425,1.5344069514344745,2.1439979625250323,3.4804319487402884,1.5857365977191638,3.478717487817185,1.5916403693905754,-0.1523487315326929,-0.9260507051087916,1.0,0.8713541666666667,197.16118662338704,151.4947214126587,65.17174124717712,0,38263,516886,410512
cap12,4,5,1,0.11333333333333333,3.163039121521151,3.16866816926074,4.42309045791626,5.460156679153442,0.15131097666692464,-0.25165989995002747,-0.273586705327034,-0.12473308345445369,-0.7323396607679415,0.676988874077797,0.3873087091992299,0.0,0.0,0.6769888738940548,0.38730870984583815,0.7704548371945432,0.5537026998538555,0.03791666666666667,0.25125000000000003,0.4508333333333333,0.22999999999999998,0.0025422612372591295,-0.35046149296814,0.0010551661386683656,0.003114424993982539,3.480560077485962,1.5987625699591193,1.5159973940084555,2.222814786350393,3.4804318981036877,1.5617330464310681,3.4762357432953475,1.5920050637114198,-0.18539735055916634,-1.587864836640656,0.9991666674613953,0.8716145833333333,175.83028990775347,162.95652556419373,67.29054892063141,0,37270,516740,415150
cap12,4,6,1,0.10916666666666666,3.227729316874871,3.164923888381586,4.580620050430298,5.186295986175537,0.1321565888687231,-0.2821011543273926,-0.30832381546497345,-0.188508919384872,-0.7752130737505545,0.6616871089239915,0.380359045068423,0.0,0.0,0.6616871086960843,0.3803590453762172,0.7541157066953827,0.5414355750809029,0.03791666666666667,0.2729166666666667,0.43833333333333335,0.20666666666666667,-0.007768093203429062,-0.3630447807820213,0.0014601467600446735,0.0013503415661398322,3.4803176701209475,1.5987626799011152,1.5206774878784013,2.2076051771804357,3.4802224314065278,1.5537793661700938,3.4689723327596234,1.5958247006031536,-0.2679693531182905,-1.7351173489230374,0.9958333373069763,0.86340625,158.05854650586843,174.82253241539001,67.09148287773132,0,36003,509042,397308
cap12,4,7,1,0.115,3.3424723614251506,3.1467627181704563,4.53903865814209,4.789114236831665,0.1808290078622061,-0.26139378547668457,-0.35075172781944275,-0.12586873844029842,-0.9653379642065496,0.6879439878215392,0.3142241547753414,0.0,0.0,0.6879439878730531,0.3142241547139789,0.7753212648553658,0.4699946244838994,0.035833333333333335,0.32791666666666663,0.4683333333333333,0.15333333333333332,-0.005037912118032364,-0.37372909704785473,0.0013234711601524754,-0.004650550297810696,3.480085371203886,1.5975263643664177,1.4593891539560837,2.2580435749240735,3.479828624887425,1.554887739316722,3.4734238894883873,1.5959511187453765,-0.18081043499599522,-2.159130837439249,0.9941666722297668,0.85471875,160.5941479280591,172.76397156715393,66.50352466106415,0,39052,497135,385896
cap12,4,8,1,0.11333333333333333,3.2781792571875075,3.025962740206838,4.551090240478516,5.0916266441345215,0.21607523072103502,-0.27322228252887726,-0.3821295499801636,-0.06804727875866258,-0.8774346320821966,0.7091942933946848,0.34767363940676055,0.0,0.0,0.7091942935435024,0.34767363940962165,0.7896671050044524,0.516753299721783,0.021666666666666667,0.30583333333333335,0.48833333333333334,0.18583333333333335,0.008276103746243949,-0.3402472812136014,0.0012270156096657761,-0.005717439531872514,3.4808478340940403,1.598658984356883,1.4336292755771973,2.3008996793685723,3.4803673374663786,1.5600936215616499,3.473727745150149,1.59114866595999,-0.0907055138796568,-1.9787073875032366,0.9775000214576721,0.8704895833333334,135.37016590870917,170.06160354614258,61.4215829372406,0,33634,496283,367917
cap12,4,9,1,0.1175,3.4177632383085004,3.1261804833392084,4.739170074462891,5.306328535079956,0.2177170148526481,-0.24808020889759064,-0.41237930953502655,-0.06981284268347276,-0.846271186424495,0.714896286825339,0.3446016911168893,0.0,0.0,0.714896287196704,0.34460169127425466,0.7936291985532551,0.5147815811230508,0.023333333333333334,0.3091666666666667,0.49291666666666667,0.18958333333333333,0.004641169866802445,-0.3421015883545532,0.0027709632291413764,-0.007683041527488967,3.480436895387859,1.5987348768767402,1.414416838872468,2.3526140378581215,3.480431901931212,1.561875499951381,3.4729451819089183,1.5925784386168031,-0.09109675879279772,-1.9527219595387577,1.0,0.8748645833333333,141.62058680411428,159.04959750175476,59.608587980270386,0,32947,510059,394375
cap12,4,10,1,0.10666666666666667,3.3545918061124063,3.1342990540330273,4.821687698364258,5.643315315246582,0.3703728985745207,-0.2392287403345108,-0.43918249011039734,0.08869137792279334,-0.8440290239155498,0.7507194215307633,0.3417027528335651,0.0,0.0,0.7507194218446966,0.34170275323085814,0.820248643277142,0.5125632883192064,0.016666666666666666,0.32375,0.5370833333333334,0.1925,0.022153275756067344,-0.3000081293961932,0.0034206397930234417,-0.012272570836175873,3.480915819851328,1.598762611143779,1.4273150293956964,2.4139047397238844,3.480432147381005,1.5727247221896827,3.4784745652493614,1.593577472636249,0.12668976180255412,-1.9796940430936716,1.0,0.8626354166666667,133.0215378392022,155.35977220535278,56.41007196903229,0,34118,508822,395518
