arm,activation,dial,second_param,median_submerged_frac,median_span_submerged,median_span_all,median_depth_submerged,median_frozen_frac,median_frozen_abs_frac,median_absv_submerged,in_band_frac,at_sink_frac,at_well_frac,window
LRm_a0p1_1216,mirror_leaky,0.1,,0.6074999999999999,6.832890376448631,7.065825432538986,3.9168773889541626,0.0,0.0,0.5473736822605133,,,,"late_tasks_5m (491-500, task-end records only)"
LRv_d2_1216,fold_leaky_d2,0.1,2.0,0.8325,6.730520386539865,7.021073997020721,5.481188774108887,0.003,0.0,1.168749362230301,,0.175,,"late_tasks_5m (491-500, task-end records only)"
RB_d1_1216,band_leaky_d1,0.1,1.0,0.834,5.6224915236234665,5.718280620872974,3.597066640853882,0.0,0.0,1.015511691570282,0.0,,,"late_tasks_5m (491-500, task-end records only)"
CB_a1_1216,comb_binf,1.0,,0.384,4.060090065002441,1.1199899846687913,4.0879130363464355,0.0,0.0,0.18550917133688927,,,0.1055,"late_tasks_5m (491-500, task-end records only)"
LRv_d1_1216,fold_leaky_d1,0.1,1.0,0.6495,7.580809319391847,8.242616103962064,4.7417895793914795,0.0025,0.0,0.5356602668762207,,0.1075,,"late_tasks_5m (491-500, task-end records only)"
RB_d0p5_1216,band_leaky_d0p5,0.1,0.5,0.678,7.167700096964836,7.358320591039956,4.03929078578949,0.0,0.0,0.6826607137918472,0.0,,,"late_tasks_5m (491-500, task-end records only)"
RB_d2_1216,band_leaky_d2,0.1,2.0,0.887,6.53190390765667,6.600667940219864,4.659316539764404,0.0,0.0,1.4697659611701965,0.0,,,"late_tasks_5m (491-500, task-end records only)"
RB_d4_1216,band_leaky_d4,0.1,4.0,0.9295,7.741436809301376,7.815952405333519,6.387457489967346,0.0635,0.0635,1.6635249853134155,0.0635,,,"late_tasks_5m (491-500, task-end records only)"
LRq_d1_1216,ramp_leaky_d1,0.1,,0.7075,7.265295282006264,7.397018362767994,4.10075569152832,0.0,0.0,0.6941134035587311,,,,"late_tasks_5m (491-500, task-end records only)"
CB_a2_1216,comb_binf,2.0,,0.5734999999999999,3.1290577054023743,2.737182203680277,3.996858596801758,0.0015,0.0,0.1077741589397192,,,0.389,"late_tasks_5m (491-500, task-end records only)"
