contrast,point,percentile_lo,percentile_hi,equivalence,margin,sign_pos,sign_neg,seed_values
RB_d0p5_1216 - LR_1216,0.8027937393096346,0.03254274563397774,1.3181461037989588,SHORT_OF_SOFT,0.15,8,2,"[1.3843700881089624, 0.8838624930239212, -0.4583288925031854, 0.4863386150314879, 1.1842004182726922, -2.0078128291492705, 1.3181461037989588, 0.721724985595348, 1.807939670625337, 0.5234143837711409]"
RB_d1_1216 - RB_d0p5_1216,0.37798621921980846,0.042974425446436926,1.2109544097783782,SHORT_OF_SOFT,0.15,8,2,"[0.2908920230760208, 0.4650804153635961, 1.9538919686671652, -0.07233300932437348, -0.1175737354188453, 3.726256362857132, 0.4680168508895912, 0.15828186021724733, 0.05147652620211707, 0.4746817019162801]"
RB_d2_1216 - RB_d1_1216,-0.4104464220697115,-0.5531586109855466,-0.0727801344549921,INCONCLUSIVE_WIDE,0.15,1,9,"[0.03776300529342569, -0.6580805850201075, -0.3758113527485121, -0.1293989461703593, -0.03744267492311004, -0.4450814913909109, -0.0727801344549921, -0.46352123335763173, -0.49571920063622144, -0.6427959886134615]"
RB_d4_1216 - RB_d2_1216,-1.1057975595294915,-1.439127549144551,-0.8323609112177094,BELOW_SOFT,0.15,0,10,"[-1.439127549144551, -0.7524077975231687, -1.1274102963752919, -0.5225104017404254, -1.0841848226836914, -1.7935615905822468, -1.2376193854958346, -0.9123140249122501, -0.839675442156465, -1.512194347393068]"
R_1216 - RB_d4_1216,2.4202222773738935,2.272233032430038,2.6854784720016704,SHORT_OF_SOFT,0.15,10,0,"[2.624406430243954, 2.4282465662900057, 2.4121979884577818, 2.208050676908503, 2.349316973722924, 3.4902360423330863, 2.6830454764047142, 2.272233032430038, 2.1407760884322546, 2.9363241703248137]"
