arm,kind,window,against,point,percentile_lo,percentile_hi,studentized_lo,studentized_hi,ci_degenerate,equivalence,margin,sign_pos,sign_neg,sign_p,seed_values
CB_a1_1216,P3prime,1M,R_1216,-12.158200681294414,-12.32997819121574,-12.02427775421901,-297668438910.9509,63406023626.18138,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-12.388057834789157, -12.168813490712713, -11.845060796776782, -12.32997819121574, -12.24722678542166, -11.940178144087353, -12.07568641365141, -12.147587871876116, -12.108377364350668, -12.500548393598937]"
CB_a1_1216,P5prime,5M,E_1216,-9.602842668362591,-10.10039511926828,-9.045230982584279,-57519405120965.914,51324105506536.336,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-10.319337513241102, -9.926050043684246, -8.688660942823553, -10.238523281193759, -10.10039511926828, -9.786079482243615, -7.7352028992149435, -9.419605854481567, -9.09335318197752, -9.045230982584279]"
CB_a1_1216,P5prime,5M,LR_1216,-9.820207246617128,-10.21456883025158,-9.337321832914526,-287519932384.4079,2752732060403.3022,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-9.369594058884402, -10.036576261838201, -9.842806759849442, -10.392561398664956, -9.797607733384815, -9.247297943232478, -9.199648949887036, -10.198686917801849, -9.427345722596574, -10.452156302353314]"
LRv_d1_1216,P3prime,5M,R_1216,-3.740331266145242,-4.694876304030967,-3.5315582523011444,-3.7687457121066568,13496053575061.605,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-4.842713659503277, -3.7878990217398045, -3.385017431015338, -3.727773552196993, -3.6780990735869508, -4.7274081753078985, -3.330434928473917, -3.7528889800934917, -4.694876304030967, -3.5795296997877912]"
LRv_d1_1216,P3prime,1M,R_1216,-3.184288037669302,-3.863441293807883,-2.609248940593339,-6.484903844999229,290690287724177.25,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-2.609248940593339, -5.148755803469125, -2.9866637212709075, -3.8375093746948483, -3.381912354067696, -2.265327315311797, -2.27093988464335, -3.894202857173857, -3.8326797304419085, -2.9614909996917014]"
LRv_d1_1216,P5prime,5M,LR_1216,-1.7574991493661345,-1.944409661925465,-1.200837972561469,-1.7599180871749134,-1.7572964234345312,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-1.944409661925465, -1.4211979296055577, -0.9804780155173805, -1.7576266174921602, -1.3837829146169813, -1.7573716812401088, -0.17162601733147964, -1.97648436012074, -2.030078661563945, -1.800099779782086]"
RB_d0p5_1216,P3prime,5M,R_1216,-1.4833234593918352,-2.188401108734996,-1.1101157406972775,-1.4853191180018215,-1.4827477483068734,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-1.513933909468849, -1.4828385991103257, -2.862868308001143, -1.483808319673345, -1.1101157406972775, -4.97784932321706, -1.8406628073434788, -1.0546796343774039, -0.8568579718416852, -1.2560155362345642]"
RB_d0p5_1216,P3prime,1M,R_1216,-1.0852924474584773,-1.5570073491693237,-0.7939964795227791,-2.031059056372493,0.8304604392124257,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-0.6755248478916718, -1.4665619061733592, -0.9351874152206933, -2.414688636077789, -1.647452792165288, -0.8785514751084949, -1.5313884957427208, -1.2353974796962615, -0.7006490691468319, -0.7939964795227791]"
RB_d0p5_1216,P5prime,5M,LR_1216,0.8027937393096346,0.03254274563397774,1.3181461037989588,0.2600428642137428,2.1056273781189625,1,SHORT_OF_SOFT,0.15,8,2,0.109375,"[1.3843700881089624, 0.8838624930239212, -0.4583288925031854, 0.4863386150314879, 1.1842004182726922, -2.0078128291492705, 1.3181461037989588, 0.721724985595348, 1.807939670625337, 0.5234143837711409]"
RB_d2_1216,P3prime,5M,R_1216,-1.392024415224767,-1.675838768766837,-1.2831163986575111,-1.782022653104833,-1.2631173326761616,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-1.1852788810994026, -1.675838768766837, -1.2847876920824897, -1.6855402751680777, -1.2651321510392328, -1.6966744517508394, -1.4454260909088794, -1.3599190075177883, -1.3011006462757897, -1.4241298229317456]"
RB_d2_1216,P3prime,1M,R_1216,-1.397041239978293,-1.7435527185649398,-1.168112086278721,-1.5485392949494547,-1.3390222307306772,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-1.1233629134131475, -1.4166059878693529, -1.3774764920872329, -1.371673873044138, -1.5586833832488314, -2.1120395726634116, -2.0505911557951273, -1.168112086278721, -1.436514281334752, -0.88605363326239]"
RB_d2_1216,P5prime,5M,LR_1216,1.0744678656731024,0.4164856124549636,1.4931935793976798,0.8297773504931423,1.2463742691059223,1,SHORT_OF_SOFT,0.15,10,0,0.001953125,"[1.713025116478409, 0.6908623233674098, 1.1197517234154677, 0.2846066595367551, 1.0291840079307368, 1.2733620423169507, 1.713382820233558, 0.4164856124549636, 1.3636969961912326, 0.3553000970739595]"
RB_d4_1216,P3prime,5M,R_1216,-2.4202222773738935,-2.6854784720017038,-2.272233032430038,-144991616959.2363,-2.3563160209977676,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-2.624406430243954, -2.4282465662900057, -2.4121979884577818, -2.208050676908503, -2.349316973722924, -3.4902360423330863, -2.6830454764047142, -2.272233032430038, -2.1407760884322546, -2.9363241703248137]"
RB_d4_1216,P3prime,1M,R_1216,-2.040479396209322,-2.674679815960735,-1.8431484416335713,-2.28107358924644,66353611442792.22,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-1.7493476151082512, -1.9844398772750969, -1.8431484416335713, -2.566303376085281, -2.0965189151435477, -2.8443018214538554, -2.8524381576715303, -2.5050578104676138, -1.9504073858451745, -1.5627588295628776]"
RB_d4_1216,P5prime,5M,LR_1216,-0.05827314445435672,-0.4958284124572865,0.27389756733385795,-0.06272198954237082,-0.05044281307193894,1,INCONCLUSIVE_WIDE,0.15,3,7,0.34375,"[0.27389756733385795, -0.06154547415575884, -0.007658572959824195, -0.23790374220367028, -0.0550008147529546, -0.5201995482652961, 0.4757634347377233, -0.4958284124572865, 0.5240215540347677, -1.1568942503191084]"
LRq_d1_1216,P3prime,5M,R_1216,-1.7668574819668361,-2.157007458648115,-1.3448523510180244,-2.030785546178728,-1.4616858495385612,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-2.1045471173586003, -1.659325554492992, -2.3280928712699986, -1.2181193497279266, -1.7018359577446465, -1.9859220460262321, -1.8318790061890255, -1.3448523510180244, -1.0998483004269923, -2.4121288216498673]"
LRq_d1_1216,P3prime,1M,R_1216,-1.4652807117341156,-1.8607265950624208,-1.1429576455382404,-2.8165115807957806,18.526381675835477,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-1.2257354364914739, -2.21641659425776, -0.8364003664974725, -2.138878497649063, -1.2635949313462127, -1.5812220478707983, -1.3493393755974328, -1.820709403000539, -1.5825746924757789, -0.936575915479048]"
LRq_d1_1216,P5prime,5M,LR_1216,0.7297015613090806,0.39191104093460694,1.0394787449651592,0.6834857820188796,0.7901018619496548,1,SHORT_OF_SOFT,0.15,9,1,0.021484375,"[0.7937568802192114, 0.7073755376412549, 0.07644654422795893, 0.7520275849769062, 0.5924802012253232, 0.984114448041558, 1.326929904953412, 0.43155226895472754, 1.5649493420400298, -0.632698901644162]"
CB_a2_1216,P3prime,5M,R_1216,-12.553459582346047,-12.730402613089879,-12.293043720120084,-12.667758148478063,924879683794.507,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-12.751753875254833, -12.532124087602712, -12.630463484609258, -12.803560224346404, -12.040886537690898, -12.293043720120084, -12.574795077089382, -12.730402613089879, -12.247437246944408, -12.374971537126303]"
CB_a2_1216,P3prime,1M,R_1216,-12.491839072978447,-12.718394513433815,-12.300691456910652,-12.868565554108283,2592676904180.531,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-12.747214294068423, -12.124528016247366, -12.314728691912494, -12.702004127944933, -12.394152639314598, -12.42397509614892, -12.207230274506708, -12.559703049807972, -12.689574732799205, -12.907053217652354]"
CB_a2_1216,P5prime,5M,E_1216,-9.955573264833912,-10.367135974742443,-9.188616297351563,-40492244545369.766,11580463699681.111,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-10.803193332033722, -10.05489677731451, -9.071778252085412, -10.679375172170374, -10.049357764604393, -9.86178876506343, -7.951540115274852, -10.174916929796844, -9.248647063858332, -9.188616297351563]"
CB_a2_1216,P5prime,5M,LR_1216,-10.009436436572745,-10.595541617120599,-9.581278272333936,-37478150622397.27,13697589367418.871,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-9.853449877677022, -10.165422995468466, -10.2259240691113, -10.833413289641571, -9.746570378720929, -9.323007226052294, -9.415986165946945, -10.953997993117127, -9.582639604477386, -10.595541617120599]"
CB_a1_1216,V4,5M,S_b1_1216,-11.732414243874764,-11.823448183604565,-11.615425238755908,-1390110537.6130073,1390110514.1481788,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-11.850145374317856, -11.769028899449113, -11.458037841981678, -11.728136917533279, -11.823448183604565, -11.600440299548154, -11.615425238755908, -11.730842832935458, -11.857340088290812, -11.73398565481407]"
CB_a1_1216,V4_secondary,5M,Gc_b1_1216,-11.867631264238025,-11.973830153934278,-11.812413530102322,-24759262340.490894,61324567500.732834,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-12.070617061694662, -11.973830153934278, -11.866605506669035, -11.858639233690765, -11.950990478672852, -11.868657021807016, -11.986338900099245, -11.824754383476366, -11.754108663765885, -11.758221553535611]"
