arm,kind,window,against,point,percentile_lo,percentile_hi,studentized_lo,studentized_hi,ci_degenerate,equivalence,margin,sign_pos,sign_neg,sign_p,seed_values
LRm_a0p1_1216,P3prime,5M,R_1216,-3.467294917023265,-4.498751919030016,-2.556475882113282,-315411761821285.9,249633750020892.7,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-4.692449539859774, -2.2972788138216234, -4.050082405196406, -3.2523375226132125, -2.0290263785949056, -4.913912268856067, -3.682252311433318, -2.8156729504049403, -4.498751919030016, -2.6384712864904456]"
LRm_a0p1_1216,P3prime,1M,R_1216,-2.430484067132255,-2.841139669354787,-2.0423171775519946,-19805860280658.434,20953326260985.59,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-1.7773035882006116, -2.4078248216413574, -2.841139669354787, -2.5345079631991423, -2.0423171775519946, -3.0454652042697368, -2.4531433126231525, -3.2254194377075334, -2.3302519466912317, -1.346818071279965]"
LRm_a0p1_1216,P5prime,5M,LR_1216,-1.1607294591702841,-1.7941455422819619,-0.3948095440860586,-1.5005672168255049,173243192379258.3,1,BELOW_SOFT,0.15,2,8,0.109375,"[-1.7941455422819619, 0.06942227831262349, -1.6455429896984484, -1.2821905879083797, 0.2652897803750638, -1.9438757747882773, -0.5234434002908803, -1.0392683304321886, -1.8339542765629937, -0.8590413664847407]"
LRv_d2_1216,P3prime,5M,R_1216,-1.9416593345778992,-2.4384938677843073,-1.695101677669548,-4.128244948332119,94798334638569.34,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-4.295023317711899, -2.054411688118835, -1.5612963743021322, -1.81664650332844, -1.7073763757919147, -2.315034401285138, -2.669774012496709, -1.8289069810369638, -1.4062378186072841, -2.2072137230719058]"
LRv_d2_1216,P3prime,1M,R_1216,-1.497740296032613,-1.9166608582837483,-1.1721476453160102,-1.5071754958162906,-1.0822702819271854,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-0.9480524611276959, -1.8108712625496237, -1.4924793704586645, -1.5030012216065611, -1.4052592527854892, -2.538103543858632, -2.022450454017873, -1.818903062701307, -1.1721476453160102, -0.7168112442376074]"
LRv_d2_1216,P5prime,5M,LR_1216,0.40066215133057037,-0.13714168584490383,0.7150914121869401,-0.1714398783247777,0.7010937738164438,1,INCONCLUSIVE_WIDE,0.15,7,3,0.34375,"[-1.3967193201340873, 0.31228940401541205, 0.8432430411958252, 0.1535004313763928, 0.586939783178055, 0.6550020927826523, 0.4890348986457287, -0.05250236106421191, 1.258559823859738, -0.42778380306620045]"
RB_d1_1216,P3prime,5M,R_1216,-1.120400035069779,-1.3001677162850052,-0.8571788924867729,-4.67350213269317,3.5159249811927484,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-1.2230418863928283, -1.0177581837467296, -0.9089763393339776, -1.5561413289977184, -1.2276894761161228, -1.2515929603599285, -1.3726459564538875, -0.8963977741601565, -0.8053814456395681, -0.7813338343182841]"
RB_d1_1216,P3prime,1M,R_1216,-0.9348991350086953,-1.623604399788165,-0.7026294229944111,-2.6095959069531034,0.3362484772362193,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-1.3334846445556243, -1.4401985733727882, -0.7848256592608006, -1.9137241550207056, -1.0849726107565898, -1.9522623415762799, -0.6814320674502399, -0.7408342578628322, -0.4995764638713627, -0.7026294229944111]"
RB_d1_1216,P5prime,5M,LR_1216,1.4222529922757485,0.9733167643332211,1.7184435337078616,0.4898642283418889,2.256420143067061,1,SHORT_OF_SOFT,0.15,10,0,0.001953125,"[1.6752621111849832, 1.3489429083875173, 1.4955630761639798, 0.4140056057071144, 1.0666266828538469, 1.7184435337078616, 1.78616295468855, 0.8800068458125954, 1.859416196827454, 0.998096085687421]"
CB_a1_1216,P3prime,5M,R_1216,-12.239466198853208,-12.358457861029473,-12.092143365063595,-34955831054.58253,527850868775.01904,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-12.267898056462213, -12.403277353972447, -12.247346175347399, -12.362708333369788, -12.091923892354785, -12.217334437300268, -12.358457861029473, -11.9750915377746, -12.092143365063595, -12.231586222359018]"
