arm,window,d,median_submerged_frac,median_depth_submerged,frac_past_watershed,frac_past_sink
LRv_d2_1216,1M,2.0,0.9335,4.440877199172974,0.9945868945868945,0.6365841559973995
LRv_d2_1216,5M,2.0,0.8325,5.481188774108887,1.0,0.8738943799148691
LRv_d1_1216,1M,1.0,0.7364999999999999,3.299189805984497,1.0,0.9311784365909513
LRv_d1_1216,5M,1.0,0.6495,4.7417895793914795,1.0,0.9712745633187774
