arm,d1,d2,d3,d4,d5,d6,d7,d8,d9
LRm_a0p1_1216,2.9504656314849855,3.281343770027161,3.5143550276756286,3.723487448692322,3.9168773889541626,4.103815031051636,4.296644496917724,4.551705455780029,4.976761794090271
LRv_d2_1216,3.851645278930664,4.400388956069946,4.819393491744995,5.178509902954102,5.481188774108887,5.823162031173706,6.1138080835342405,6.537032890319825,7.365637540817261
RB_d1_1216,2.6303206086158752,2.9262121438980104,3.1606435775756836,3.3656933546066288,3.597066640853882,3.8269693851470947,4.116421175003051,4.375370454788208,4.804035258293153
CB_a1_1216,0.4261152520775795,0.622253805398941,2.4598752498626704,3.2103163003921513,4.0879130363464355,5.382117938995361,6.641710853576658,8.317109012603758,11.843740844726565
LRv_d1_1216,2.6565309524536134,3.253447937965393,3.7907585740089416,4.323408937454223,4.7417895793914795,5.033341550827027,5.32556791305542,5.6946632862091064,6.195975661277771
RB_d0p5_1216,3.058989071846008,3.4128978967666628,3.63872344493866,3.845549249649048,4.03929078578949,4.245202493667603,4.458722615242005,4.723201417922974,5.22150571346283
RB_d2_1216,3.437245237827301,3.815670990943909,4.1321816682815555,4.415329265594483,4.659316539764404,4.9479114532470705,5.211311292648316,5.516597032546997,5.886498546600341
RB_d4_1216,3.7089244604110716,4.768564748764038,5.2824760437011715,5.890904283523559,6.387457489967346,6.884154796600342,7.35175130367279,7.888185930252075,8.608310174942016
LRq_d1_1216,3.108593606948853,3.4301470518112183,3.6754767656326295,3.8893605709075927,4.10075569152832,4.30750732421875,4.5794370651245115,4.866021633148193,5.244063138961792
CB_a2_1216,1.7134952664375307,2.2258629322052004,2.7497366666793823,3.30314838886261,3.996858596801758,4.744795274734496,5.756897830963133,6.821400976181031,8.429313611984254
