arm,stage,family,activation,dial,second_param,target_dose,is_control,status,capacity_status,n_onset_1m,cp95_1m_lo,cp95_1m_hi,U_1m_seed_values,median_log10_U_1m,n_onset_5m,cp95_5m_lo,cp95_5m_hi,U_5m_seed_values,median_log10_U_5m,median_submerged_frac_5m,median_span_5m,median_depth_5m,V1,V2,V3,V3_prime,V4,NUMERIC_DIVERGENCE,V2_status
LRm_a0p1_1216,1,mirror,mirror_leaky,0.1,,12.16,False,COMPLETE,OK,0,0.0,0.3084971078187607,"[0.003675302713202418, 0.0006072841504884116, 0.00023872120860217103, 0.0009533490173526914, 0.0036167681572296132, 0.0002358628930748491, 0.0005284018908207958, 0.00012373242523868206, 0.0012319664310821287, 0.01028269242559589]",-3.1186780650600605,0,0.0,0.3084971078187607,"[1.0107789907967149e-05, 0.0028595091797212506, 8.588345444061199e-05, 0.0005592582312822117, 0.0037473179628948598, 8.27309757627906e-06, 7.655580451962842e-05, 0.0010286215191150864, 1.2610585018503812e-05, 0.0008987950009418754]",-3.65923905532674,0.6074999999999999,6.832890376448631,3.9168773889541626,REVERSAL_IS_PRODUCT_SIGN,,,,,,
LRv_d2_1216,1,fold,fold_leaky_d2,0.1,2.0,12.16,False,COMPLETE,OK,0,0.0,0.3084971078187607,"[0.024805286201878222, 0.002400742084971242, 0.0053278415869432785, 0.010250821352352136, 0.015681174771577672, 0.0007586147484040681, 0.0014244828391182566, 0.0031550039003901556, 0.01772977301551424, 0.04386454940749489]",-2.1313450158480363,0,0.0,0.3084971078187607,"[2.523959771777145e-05, 0.005002171998668802, 0.02646644043226425, 0.01525117850159601, 0.007859058973643498, 0.0032850804839680238, 0.0007878733738441444, 0.009977496291567174, 0.01560448121919782, 0.0024261531476248324]",-2.2027354157652033,0.8325,6.730520386539865,5.481188774108887,,,MOBILITY_SUFFICES,,,,
RB_d1_1216,1,band,band_leaky_d1,0.1,1.0,12.16,False,COMPLETE,OK,1,0.0025285785444618125,0.4450161170281953,"[0.010212029456127664, 0.0056366127007363214, 0.027177219038442335, 0.003981399260426862, 0.03278424882156525, 0.0029232266137741896, 0.03123745246008222, 0.037763192751085695, 0.08342080127995513, 0.04532058360290163]",-1.5355596885832208,5,0.18708602844739858,0.8129139715526015,"[0.029789544313804234, 0.05442671531201191, 0.11885448384605582, 0.027784883391895516, 0.023716874056753684, 0.038017841444203476, 0.015616527841430255, 0.08541433852286395, 0.06224517722658065, 0.06468418348842556]",-1.3421002098747568,0.834,5.6224915236234665,3.597066640853882,,REVERSAL,,,,,EVALUATED
CB_a1_1216,1,comb,comb_binf,1.0,,12.16,False,COMPLETE,OK,0,0.0,0.3084971078187607,"[9.006143625672166e-14, 1.0529391591638375e-13, 2.3657556018728783e-13, 1.5267983967851014e-13, 2.256373874324138e-13, 3.005707267721211e-13, 1.2601471512728302e-13, 1.4801819069872118e-13, 2.053399521908524e-13, 7.217329335364967e-14]",-12.822951606724589,0,0.0,0.3084971078187607,"[2.68662894778906e-13, 2.2402317855185638e-13, 5.453128532906283e-13, 4.3375208368861305e-13, 3.2420748045652366e-13, 4.113826563628809e-13, 1.6135133952340026e-13, 7.125855613791288e-13, 3.2162054859920756e-13, 2.2937480498519385e-13]",-12.490916590240268,0.384,4.060090065002441,4.0879130363464355,,,,,WELL_RESCUES,,
LRv_d1_1216,1,fold,fold_leaky_d1,0.1,1.0,12.16,False,COMPLETE,OK,0,0.0,0.3084971078187607,"[0.0005411875072415642, 1.1027091158107647e-06, 0.00017075245348710963, 4.7451561864417694e-05, 0.0001654723725619481, 0.0014216657809565775, 0.0008038366269255036, 2.6527731061357378e-05, 3.874102352744843e-05, 0.0002497088399145126]",-3.774453776727169,0,0.0,0.3084971078187607,"[7.1514167410474985e-06, 9.23998544598092e-05, 0.00039716820918293485, 0.0001871441928162446, 8.407131682274473e-05, 1.2710781117935028e-05, 0.00017210580055335682, 0.00011886105370906564, 8.028064432270115e-06, 0.00010294428342777379]",-4.010863238956208,0.6495,7.580809319391847,4.7417895793914795,,,,REPORT_ONLY,,,
RB_d0p5_1216,2,band,band_leaky_d0p5,0.1,0.5,12.16,False,COMPLETE,OK,1,0.0025285785444618125,0.4450161170281953,"[0.04645921372146007, 0.005304627129622937, 0.019223977906985497, 0.0012562360449663924, 0.008978112764544225, 0.03463963844859293, 0.004412850148121746, 0.012092204506932097, 0.05250513165213753, 0.03672217849156387]",-1.816825628914613,2,0.025210726326833355,0.5560954623076415,"[0.015246558935011964, 0.0186522707022657, 0.0013216717329361388, 0.0328202275504556, 0.031090748866047437, 7.140540590373778e-06, 0.005315787712124225, 0.05932652650800646, 0.05528778379175207, 0.021682851651268382]",-1.696575945864855,0.678,7.167700096964836,4.03929078578949,,REVERSAL,,,,,EVALUATED
RB_d2_1216,2,band,band_leaky_d2,0.1,2.0,12.16,False,COMPLETE,OK,0,0.0,0.3084971078187607,"[0.01656661539698049, 0.005951285435452121, 0.006943112173639453, 0.013870305075202694, 0.011014238204796297, 0.00202341634031251, 0.001335108373906466, 0.014118575380107445, 0.009645761948263514, 0.029707854175475185]",-1.9868544978430722,1,0.0025285785444618125,0.4450161170281953,"[0.03249577247060574, 0.011960009927190107, 0.05002697207147829, 0.020625744435699544, 0.021757789583707686, 0.013642877000789403, 0.013207005093897934, 0.02937714240907886, 0.019878632604159268, 0.014723196616674764]",-1.6936019302603729,0.887,6.53190390765667,4.659316539764404,,REVERSAL,,,,,EVALUATED
RB_d4_1216,2,band,band_leaky_d4,0.1,4.0,12.16,False,COMPLETE,OK,0,0.0,0.3084971078187607,"[0.0039196662391932395, 0.0016098184147301004, 0.002376195845722409, 0.0008860464917986949, 0.0031924119869067907, 0.0003748202138158978, 0.00021070241722809783, 0.0006498979285362453, 0.0029542240888709363, 0.006254118231810321]",-2.7086704383716205,0,0.0,0.3084971078187607,"[0.0011822227600066545, 0.0021150651168338926, 0.0037307308742110454, 0.006192973627064823, 0.0017923794242715961, 0.0002194544406139393, 0.0007641611596696657, 0.0035949720950514464, 0.00287548472579149, 0.00045269715420390643]",-2.710623153816294,0.9295,7.741436809301376,6.387457489967346,,REVERSAL,,,,,EVALUATED
LRq_d1_1216,2,ramp,ramp_leaky_d1,0.1,1.0,12.16,False,COMPLETE,OK,0,0.0,0.3084971078187607,"[0.013087637784760728, 0.0009436265983416955, 0.024134055515788254, 0.002370726142646384, 0.021729158940533143, 0.006869146482187806, 0.006710707352127784, 0.003141908695340422, 0.006890902870619895, 0.026445330638255]",-2.1624105469498818,1,0.0025285785444618125,0.4450161170281953,"[0.003913439542806103, 0.012423522601228008, 0.004527923058477725, 0.06051047439174093, 0.0079599614734303, 0.007009037271889652, 0.005424396537382054, 0.030414186524135457, 0.03159649092840787, 0.0015135720978382604]",-2.126715332414361,0.7075,7.265295282006264,4.10075569152832,,,,,,,
CB_a2_1216,2,comb,comb_binf,2.0,,12.16,False,COMPLETE,OK,0,0.0,0.3084971078187607,"[3.938967607178419e-14, 1.1659736933808136e-13, 8.022356954515646e-14, 6.482697526618307e-14, 1.608737586067371e-13, 9.866195785386332e-14, 9.308450660917594e-14, 5.730597597473093e-14, 5.386120782302847e-14, 2.830555658753391e-14]",-13.141971129744137,0,0.0,0.3084971078187607,"[8.817629995800658e-14, 1.6651226228095136e-13, 2.2569837128719284e-13, 1.571772489533932e-13, 3.6463670700891495e-13, 3.455705270293239e-13, 9.804723689532801e-14, 1.251774046685088e-13, 2.2493130685193412e-13, 1.648771218284104e-13]",-12.780696690556919,0.5734999999999999,3.1290577054023743,3.996858596801758,,,,,,,
CB_a1_b5_1216,2,comb,comb_b5,1.0,5.0,12.16,False,NUMERIC_DIVERGENCE,,,,,,,,,,,,,,,,,,,,"{""detected_step"": 291000, ""bad_seeds"": [1]}",
R_1216,,,,,,12.16,True,TRANSCRIBED,,10,,,"[0.22008817205469797, 0.1553162042192267, 0.16558869134419346, 0.326407317592699, 0.3986922998381343, 0.2618935638191647, 0.150005670193653, 0.2079232060873296, 0.2635425968032131, 0.22852036903437875]",-0.6492391899413728,10,,,"[0.49785829368919127, 0.5669833542872723, 0.9638110689756122, 0.999884664334106, 0.4006331885271228, 0.6785477511014105, 0.36832435436972844, 0.6728659568821506, 0.39763733408382784, 0.3909596477422529]",-0.2746619723906341,,,,,,,,,,
LR_1216,,,,,,12.16,True,TRANSCRIBED,,0,,,"[0.012032930536320178, 0.004290790058555907, 0.010682835518073402, 0.0005018424923207941, 0.007906691614363028, 0.007027791045677846, 0.005460915806337776, 0.0005676650513143089, 0.004534270783074649, 0.00783057819247634]",-2.207957839412672,0,,,"[0.0006292188849146179, 0.0024370768076876874, 0.0037971040163324943, 0.010710332972067875, 0.002034373848895862, 0.000727015920609707, 0.0002555180150803024, 0.011259625245095254, 0.000860378424169195, 0.006496837656442743]",-2.652350009361937,,,,,,,,,,
