run_id,gname,ckpt,finite,n_alive,d,inter_abs_cos_Eg,inter_abs_cos_W,vcos_Eg_mean,vcos_W_mean,cos_self_median,cos_self_iqr_lo,cos_self_iqr_hi,cos_mu_absmean,exp_g,width_g,exp,width,period,enc,c,kappa,lr,batch,seed,git_hash
A_w100_T10000_std_lr0.01_s0,A_w100,0,True,68,20,0.9635114669799805,0.17777591943740845,0.9635114669799805,0.004422871395945549,0.09986163675785065,-0.15751966461539268,0.18649601936340332,0.7264158129692078,A,100,A,100,10000,std,,1,0.01,1,0,753f5846d1bd93d8284ec4dfa089a3909766dd3c
A_w100_T10000_std_lr0.01_s1,A_w100,0,True,83,20,0.929112434387207,0.18103967607021332,0.8984910845756531,-0.002786011202260852,0.06482210755348206,-0.13899150490760803,0.14506914466619492,0.7730767130851746,A,100,A,100,10000,std,,1,0.01,1,1,753f5846d1bd93d8284ec4dfa089a3909766dd3c
A_w100_T10000_std_lr0.01_s2,A_w100,0,True,78,20,0.9553503394126892,0.1761021912097931,0.9553503394126892,-0.006904929876327515,0.0018527759239077568,-0.17303736880421638,0.18574707210063934,0.8592192530632019,A,100,A,100,10000,std,,1,0.01,1,2,753f5846d1bd93d8284ec4dfa089a3909766dd3c
A_w100_T10000_std_lr0.01_s3,A_w100,0,True,79,20,0.9504035711288452,0.17886969447135925,0.9504035711288452,-0.0033490201458334923,0.09891071915626526,-0.14558661729097366,0.25260861217975616,0.6903472542762756,A,100,A,100,10000,std,,1,0.01,1,3,753f5846d1bd93d8284ec4dfa089a3909766dd3c
A_w100_T10000_std_lr0.01_s4,A_w100,0,True,68,20,0.9486727118492126,0.18164625763893127,0.9486727118492126,-0.0016088829142972827,0.01540304720401764,-0.1731828935444355,0.20547227561473846,0.7922617197036743,A,100,A,100,10000,std,,1,0.01,1,4,753f5846d1bd93d8284ec4dfa089a3909766dd3c
A_w100_T10000_std_lr0.01_s0,A_w100,10000,True,65,20,0.7832533121109009,0.1860189288854599,0.713743269443512,-0.00479598855599761,0.05394123122096062,-0.092365562915802,0.163627028465271,0.7533988952636719,A,100,A,100,10000,std,,1,0.01,1,0,753f5846d1bd93d8284ec4dfa089a3909766dd3c
A_w100_T10000_std_lr0.01_s1,A_w100,10000,True,80,20,0.6582806706428528,0.1866295486688614,0.6047223210334778,-0.0018273985479027033,0.07039489597082138,-0.08957536704838276,0.1776762790977955,0.5597216486930847,A,100,A,100,10000,std,,1,0.01,1,1,753f5846d1bd93d8284ec4dfa089a3909766dd3c
A_w100_T10000_std_lr0.01_s2,A_w100,10000,True,79,20,0.8846272826194763,0.18433386087417603,0.8602772355079651,-0.003069730941206217,0.10828051716089249,-0.10842638835310936,0.15539221465587616,0.5794796943664551,A,100,A,100,10000,std,,1,0.01,1,2,753f5846d1bd93d8284ec4dfa089a3909766dd3c
A_w100_T10000_std_lr0.01_s3,A_w100,10000,True,77,20,0.9501315951347351,0.18358619511127472,0.9501315951347351,0.007687676232308149,0.09529833495616913,-0.11435896158218384,0.16489273309707642,0.7248127460479736,A,100,A,100,10000,std,,1,0.01,1,3,753f5846d1bd93d8284ec4dfa089a3909766dd3c
A_w100_T10000_std_lr0.01_s4,A_w100,10000,True,68,20,0.8639146685600281,0.18637198209762573,0.7966150045394897,0.0037892579566687346,0.10193955153226852,-0.10708018392324448,0.15524206310510635,0.8174857497215271,A,100,A,100,10000,std,,1,0.01,1,4,753f5846d1bd93d8284ec4dfa089a3909766dd3c
A_w100_T10000_std_lr0.01_s0,A_w100,50000,True,48,20,0.8446904420852661,0.19777829945087433,0.8430879712104797,0.00357197318226099,0.09016040712594986,-0.12718987464904785,0.15214655548334122,0.5813748240470886,A,100,A,100,10000,std,,1,0.01,1,0,753f5846d1bd93d8284ec4dfa089a3909766dd3c
A_w100_T10000_std_lr0.01_s1,A_w100,50000,True,51,20,0.7914662957191467,0.1909382939338684,0.6574556827545166,-0.00877782516181469,0.015414610505104065,-0.12361672520637512,0.18044445663690567,0.638618528842926,A,100,A,100,10000,std,,1,0.01,1,1,753f5846d1bd93d8284ec4dfa089a3909766dd3c
A_w100_T10000_std_lr0.01_s2,A_w100,50000,True,46,20,0.8979498147964478,0.20331095159053802,0.8979498147964478,0.00390606583096087,0.11559812724590302,-0.12476405128836632,0.2110813371837139,0.709621012210846,A,100,A,100,10000,std,,1,0.01,1,2,753f5846d1bd93d8284ec4dfa089a3909766dd3c
A_w100_T10000_std_lr0.01_s3,A_w100,50000,True,51,20,0.7653751969337463,0.18959252536296844,0.7364503145217896,-0.006011098623275757,0.09108192473649979,-0.07593993842601776,0.20553892850875854,0.6709128022193909,A,100,A,100,10000,std,,1,0.01,1,3,753f5846d1bd93d8284ec4dfa089a3909766dd3c
