arm,step,group,rank,seed,unit,ok,eps,rel_err_wu,rel_err_W_other,rel_err_b,rel_err_v,rel_err_c,lambda_x,dyhat1
LR_a0p1_q0,200000,pos,0,0,62,False,0.001,1.4728054446986947e-13,1.2514641115608844e-12,6.431776830234085e-12,9.401782369952466e-05,4.773366731603226e-13,0.0038755903624594235,-0.0005823902266891006
LR_a0p1_q0,200000,pos,0,1,22,True,0.001,1.6327832221316938e-13,1.2788625478879627e-12,4.093798940660821e-12,0.0006755478712827181,6.112334182768737e-13,0.015034466666223434,-0.001155183345213211
LR_a0p1_q0,200000,pos,0,2,32,True,0.001,6.869582458692302e-14,1.11523668803473e-12,1.0454984230712554e-11,0.0006204626981655272,1.4466117826166016e-11,0.001096078184413812,-0.00031463100502271456
LR_a0p1_q0,200000,pos,0,3,62,False,0.001,1.4985408021198208e-13,1.226021945027306e-12,4.913558222544056e-10,8.640830468036329e-05,3.7809552602476265e-11,7.649909302055152e-07,-8.134600462364993e-06
LR_a0p1_q0,200000,pos,0,4,62,False,0.001,1.1446513805669577e-13,1.3987471414196463e-12,1.1412633004594918e-11,0.0012001060608533075,3.2181390641679056e-12,0.0022539574259827807,0.0004432386092504235
LR_a0p1_q0,200000,pos,0,5,39,True,0.001,5.191322086155013e-14,1.1212223433328698e-12,8.271620349407983e-12,0.0006953317988910077,8.964382608330749e-13,0.001789298900199236,-0.0003957187168477588
LR_a0p1_q0,200000,pos,0,6,62,False,0.001,2.1616068684789496e-13,1.2912777174562932e-12,1.6038660246521603e-11,0.0001374694095087595,1.6031572757959167e-11,0.001326513208577147,0.0003428984516384308
LR_a0p1_q0,200000,pos,0,7,49,True,0.001,8.592666405814474e-14,1.1670113980019954e-12,2.3926649907161486e-12,0.00091104312006512,4.092911674465425e-13,0.035352894483248784,0.0017880582935455127
LR_a0p1_q0,200000,pos,0,8,62,False,0.001,2.9599484952832334e-14,1.2359332967237965e-12,4.700047366847757e-11,7.631544605582441e-05,7.38676850595103e-12,7.998559767846924e-05,-8.488655283071546e-05
LR_a0p1_q0,200000,pos,0,9,62,False,0.001,4.2123561691586824e-14,1.3111758603542609e-12,1.4114605336819279e-11,0.00012189030135403199,4.134413021789983e-12,0.001333172462057983,-0.0003439933704232556
LR_a0p1_q0,200000,pos,1,0,74,False,0.001,7.763288741998785e-14,1.2141306305969306e-12,5.038563135367612e-11,9.405559912273654e-05,1.6626805382149668e-11,0.00011434305629601684,0.00010003455461371282
LR_a0p1_q0,200000,pos,1,1,63,False,0.001,7.06437178700221e-14,1.314262619324591e-12,5.34088989289913e-11,6.769808647591795e-05,3.015651955331348e-11,0.00011258969477492905,-9.996690040505225e-05
LR_a0p1_q0,200000,pos,1,2,51,True,0.001,4.5453390680385425e-14,1.0687428260972147e-12,6.170652509985593e-12,0.0006201330894343957,5.6204963232542915e-12,0.0030766614973882296,-0.0005271334900884065
LR_a0p1_q0,200000,pos,1,3,74,False,0.001,3.5798803047653064e-13,1.3016211725000216e-12,1.0134472357590652e-11,8.915106756728757e-05,2.8541825156697425e-12,0.0021197928508280713,0.00042820801854237436
LR_a0p1_q0,200000,pos,1,4,74,False,0.001,1.0055028800012307e-13,1.2967947366032608e-12,2.771930663214984e-11,0.00012007003365529533,6.552593270887865e-12,0.0003405834732120256,0.0001722965233608341
