seed,unit,s_inf,share_b,share_wmu,nonimitable_frac,v_u,npos,arm,step,rank,ok
0,42,0.9372938999228991,0.0060572245742926845,0.05664887550280821,1.278625020755717e-28,0.20616672933101654,20,LR_a0p1_q0,200000,0,True
1,63,0.7737248377461888,0.022455454333987074,0.20381970791982407,3.1497858420923316e-29,-0.3192389905452728,16,LR_a0p1_q0,200000,0,True
2,39,0.9400645439052665,0.005967474511411311,0.053967981583322125,1.4177665420898073e-28,-0.1770859956741333,16,LR_a0p1_q0,200000,0,True
3,97,0.9521457058399235,0.004676467420479931,0.04317782673959659,1.2514514351880326e-28,0.14558474719524384,16,LR_a0p1_q0,200000,0,True
4,63,0.6519481516243844,0.03397284215318556,0.3140790062224302,2.407081914495397e-28,-0.5453103184700012,15,LR_a0p1_q0,200000,0,True
5,21,0.9696029939155457,0.0029092886540993085,0.027487717430354917,6.256269525324183e-30,0.1070314273238182,15,LR_a0p1_q0,200000,0,True
6,17,0.9263979530359759,0.007323802024578477,0.06627824493944559,2.246792585700777e-28,0.13610783219337463,17,LR_a0p1_q0,200000,0,True
7,50,0.27053496640911046,0.07117909364793235,0.6582859399429571,6.670751513907865e-29,0.8494879603385925,17,LR_a0p1_q0,200000,0,True
8,81,0.8957995435866233,0.01032288430984641,0.09387757210353037,9.625501474488207e-28,-0.21836531162261963,15,LR_a0p1_q0,200000,0,True
9,25,0.4813425770975021,0.05040820796254703,0.4682492149399508,6.412240535499829e-29,-0.4197583496570587,14,LR_a0p1_q0,200000,0,True
0,66,0.3447964410730854,0.06623889570124512,0.5889646632256695,4.679162427426766e-28,-0.7379847168922424,12,LR_a0p1_q0,200000,1,True
1,97,0.3811239103882361,0.06117973232639505,0.5576963572853688,1.2946935776751097e-29,-0.8194659352302551,15,LR_a0p1_q0,200000,1,True
2,0,0.6151335738611162,0.03755846847410922,0.3473079576647745,2.337610184025075e-29,-0.5337097644805908,15,LR_a0p1_q0,200000,1,True
3,66,0.6191946578674455,0.0375381521668172,0.34326718996573724,5.710707966581322e-29,0.4836636483669281,16,LR_a0p1_q0,200000,1,True
4,52,0.4765801694850678,0.05157275784785474,0.4718470726670774,2.720519774048362e-29,0.7299383878707886,18,LR_a0p1_q0,200000,1,True
5,30,0.4809957617128246,0.052699071433055716,0.46630516685411966,5.858850693955852e-29,0.7039548754692078,14,LR_a0p1_q0,200000,1,True
6,34,0.9996992062485072,2.8862154481574484e-05,0.0002719315970112602,2.70336542261603e-29,-0.00820106454193592,17,LR_a0p1_q0,200000,1,True
7,16,0.19899091679553105,0.07773358151092931,0.7232755016935396,1.0812807185202327e-29,-0.9686765670776367,16,LR_a0p1_q0,200000,1,True
8,56,0.9222225950472912,0.007787446468394546,0.06998995848431419,6.274674546977997e-29,0.1625785529613495,20,LR_a0p1_q0,200000,1,True
9,91,0.8823151997167018,0.012343814658920522,0.10534098562437769,6.709621456436619e-28,0.693689227104187,13,LR_a0p1_q0,200000,1,True
0,95,0.9806882571111784,0.0017718576821304439,0.017539885206691256,6.654339989002396e-28,0.08191361278295517,10,LR_a0p1_q0,200000,2,True
1,39,0.6972454018823296,0.028029803669464996,0.2747247944482054,4.1817090016213127e-29,-0.4121846556663513,13,LR_a0p1_q0,200000,2,True
2,36,0.5104164252411938,0.04862045547275742,0.4409631192860488,1.4028456574422477e-28,-0.6300081610679626,15,LR_a0p1_q0,200000,2,True
3,48,0.4820949528192728,0.05188857226626052,0.4660164749144667,3.1607503396718003e-29,0.5924911499023438,11,LR_a0p1_q0,200000,2,True
4,69,0.3785635766298656,0.060232441048966974,0.5612039823211674,3.6804177173042958e-28,-0.589336097240448,20,LR_a0p1_q0,200000,2,True
