arm,step,group,rank,seed,unit,mode,t,lr,rel_err,rel_err_vs_pred,cos,surv_emp,surv_pred,surv_PA_emp,surv_PA_pred,eta_lam_max,eta_lam_min_pos,rank_HA,gate_mismatch,v_u,k_u
LR_a0p1_q0,200000,pos,0,1,22,sgd_wonly,1,0.01,0.009559045698433933,0.009806978493465021,0.9999528210490347,0.9733573683154884,0.974718737764511,0.973357368315492,0.9747187377645147,0.025283856767453136,0.0005666354521410896,6,0,-0.36890166997909546,1.0
LR_a0p1_q0,200000,pos,0,2,32,sgd_wonly,1,0.01,0.0007074929891694095,0.0007086809134785419,0.9999997950025512,0.9980203571948544,0.9983237529238631,0.9980203571948518,0.9983237529238604,0.0016764170893840866,3.757011298383045e-05,6,0,-0.09499046206474304,1.0
LR_a0p1_q0,200000,pos,0,5,39,sgd_wonly,1,0.01,0.0012077139015915016,0.0012117629399064718,0.999999288222786,0.9968688356922606,0.9966585557441765,0.9968688356922581,0.9966585557441738,0.0033417834386209482,7.489256829433192e-05,6,0,-0.13411523401737213,1.0
LR_a0p1_q0,200000,pos,0,7,49,sgd_wonly,1,0.01,0.022917693346803932,0.0242150789064144,0.9997615951141201,0.93628790726972,0.9464224104069799,0.9362879072697198,0.9464224104069798,0.05358007344872595,0.0013501307876333832,6,0,0.5377517342567444,1.0
LR_a0p1_q0,200000,pos,0,1,22,sgd_wonly,2,0.01,0.018813061032428097,0.01980162242633744,0.9998068186542372,0.9476092927618055,0.9500767476207156,0.9476092927618092,0.950076747620719,0.025283856767453136,0.0005666354521410896,6,0,-0.36890166997909546,1.0
LR_a0p1_q0,200000,pos,0,2,32,sgd_wonly,2,0.01,0.0011958596956406539,0.0011998789105778153,0.9999993585670846,0.9962549681912539,0.9966503162096365,0.9962549681912515,0.9966503162096341,0.0016764170893840866,3.757011298383045e-05,6,0,-0.09499046206474304,1.0
LR_a0p1_q0,200000,pos,0,5,39,sgd_wonly,2,0.01,0.0015466368820746474,0.001557024917983476,0.9999987881660267,0.9933525965358758,0.9933282789576146,0.9933525965358736,0.993328278957612,0.0033417834386209482,7.489256829433192e-05,6,0,-0.13411523401737213,1.0
LR_a0p1_q0,200000,pos,0,7,49,sgd_wonly,2,0.01,0.03812769834365056,0.042566743736060036,0.9992127231064644,0.8811922245208722,0.8957156455298935,0.8811922245208719,0.8957156455298932,0.05358007344872595,0.0013501307876333832,6,0,0.5377517342567444,1.0
LR_a0p1_q0,200000,pos,0,1,22,sgd_wonly,5,0.01,0.02642159629948956,0.03003045089978865,0.9995531166677212,0.8819624437031308,0.8798268260326225,0.8819624437031341,0.8798268260326259,0.025283856767453136,0.0005666354521410896,6,0,-0.36890166997909546,1.0
LR_a0p1_q0,200000,pos,0,2,32,sgd_wonly,5,0.01,0.0010480826053855551,0.0010569111734257822,0.999999480629684,0.9913687851921495,0.9916468211688869,0.9913687851921471,0.9916468211688845,0.0016764170893840866,3.757011298383045e-05,6,0,-0.09499046206474304,1.0
LR_a0p1_q0,200000,pos,0,5,39,sgd_wonly,5,0.01,0.002667848052920417,0.00271287063455786,0.9999967721114673,0.9824659481262484,0.9834040808787846,0.982465948126246,0.9834040808787822,0.0033417834386209482,7.489256829433192e-05,6,0,-0.13411523401737213,1.0
LR_a0p1_q0,200000,pos,0,7,49,sgd_wonly,5,0.01,0.07033037104227034,0.09262247541183996,0.9959403224474197,0.7396730207117146,0.7593229475842749,0.7396730207117146,0.7593229475842748,0.05358007344872595,0.0013501307876333832,6,0,0.5377517342567444,1.0
LR_a0p1_q0,200000,pos,0,1,22,sgd_wonly,10,0.01,0.025042281732421724,0.03235025257001625,0.9994884260878931,0.7699377276584981,0.7740984920665533,0.769937727658501,0.7740984920665563,0.025283856767453136,0.0005666354521410896,6,0,-0.36890166997909546,1.0
LR_a0p1_q0,200000,pos,0,2,32,sgd_wonly,10,0.01,0.0021351972179334293,0.002171320540025902,0.9999976741869193,0.9836079907858185,0.9833634318717209,0.9836079907858161,0.9833634318717185,0.0016764170893840866,3.757011298383045e-05,6,0,-0.09499046206474304,1.0
LR_a0p1_q0,200000,pos,0,5,39,sgd_wonly,10,0.01,0.0034452177072036246,0.0035624816287581212,0.9999943455384999,0.9682152204678869,0.9670836417490876,0.9682152204678846,0.9670836417490851,0.0033417834386209482,7.489256829433192e-05,6,0,-0.13411523401737213,1.0
LR_a0p1_q0,200000,pos,0,7,49,sgd_wonly,10,0.01,0.06418911281013848,0.1113277011466071,0.9938590770455691,0.5659822987244915,0.5765780856788557,0.5659822987244914,0.5765780856788556,0.05358007344872595,0.0013501307876333832,6,0,0.5377517342567444,1.0
LR_a0p1_q0,200000,pos,0,1,22,sgd_wonly,20,0.01,0.05011981089117103,0.08363873779228691,0.9966767375749658,0.5858810192960153,0.5992415980217366,0.5858810192960174,0.5992415980217388,0.025283856767453136,0.0005666354521410896,6,0,-0.36890166997909546,1.0
LR_a0p1_q0,200000,pos,0,2,32,sgd_wonly,20,0.01,0.0021227085560828803,0.0021951400675443793,0.9999976278133561,0.9672649378656871,0.967003694874685,0.9672649378656847,0.967003694874683,0.0016764170893840866,3.757011298383045e-05,6,0,-0.09499046206474304,1.0
LR_a0p1_q0,200000,pos,0,5,39,sgd_wonly,20,0.01,0.004420109436668908,0.004726121089510884,0.9999907717445918,0.933400179022964,0.9352509918712967,0.9334001790229618,0.9352509918712942,0.0033417834386209482,7.489256829433192e-05,6,0,-0.13411523401737213,1.0
LR_a0p1_q0,200000,pos,0,7,49,sgd_wonly,20,0.01,0.07593744452930677,0.22840329564189496,0.9735686849519892,0.3243523032127659,0.3324708792659729,0.3243523032127659,0.33247087926597285,0.05358007344872595,0.0013501307876333832,6,0,0.5377517342567444,1.0
LR_a0p1_q0,200000,pos,0,1,22,sgd_wonly,50,0.01,0.04278304458825025,0.15385479331759125,0.9882302148774785,0.2793726831704982,0.27807417413337476,0.2793726831704992,0.2780741741333758,0.025283856767453136,0.0005666354521410896,6,0,-0.36890166997909546,1.0
LR_a0p1_q0,200000,pos,0,2,32,sgd_wonly,50,0.01,0.003528775953056084,0.0038375456550916775,0.9999926862020659,0.9192434323874106,0.9195397971028916,0.9192434323874081,0.9195397971028891,0.0016764170893840866,3.757011298383045e-05,6,0,-0.09499046206474304,1.0
LR_a0p1_q0,200000,pos,0,5,39,sgd_wonly,50,0.01,0.005564439643882653,0.006578095105792165,0.999978956138785,0.8468070716810618,0.8459044076427286,0.84680707168106,0.8459044076427265,0.0033417834386209482,7.489256829433192e-05,6,0,-0.13411523401737213,1.0
LR_a0p1_q0,200000,pos,0,7,49,sgd_wonly,50,0.01,0.06729332022220548,1.0510798787658087,0.7003778872610786,0.09423764625293884,0.06402303153326666,0.09423764625293883,0.06402303153326666,0.05358007344872595,0.0013501307876333832,6,0,0.5377517342567444,1.0
LR_a0p1_q0,200000,pos,0,1,22,sgd_wonly,100,0.01,0.05135639556058459,0.6598691786950055,0.8408030103618703,0.09480494305324827,0.07782814718237015,0.09480494305324853,0.07782814718237042,0.025283856767453136,0.0005666354521410896,6,0,-0.36890166997909546,1.0
LR_a0p1_q0,200000,pos,0,2,32,sgd_wonly,100,0.01,0.0010749207701502169,0.0012712608707498832,0.9999992147521513,0.8457347457372623,0.8455548305487838,0.8457347457372602,0.8455548305487819,0.0016764170893840866,3.757011298383045e-05,6,0,-0.09499046206474304,1.0
LR_a0p1_q0,200000,pos,0,5,39,sgd_wonly,100,0.01,0.008127694989236803,0.011358512194224131,0.9999354997538715,0.7154138317944512,0.7155598242320665,0.7154138317944494,0.7155598242320649,0.0033417834386209482,7.489256829433192e-05,6,0,-0.13411523401737213,1.0
LR_a0p1_q0,200000,pos,0,7,49,sgd_wonly,100,0.01,0.06120381766224318,8.5043394070868,0.7874455957760795,0.06670991765520697,0.0071967750500692715,0.06670991765520697,0.0071967750500692715,0.05358007344872595,0.0013501307876333832,6,0,0.5377517342567444,1.0
LR_a0p1_q0,200000,pos,0,1,22,sgd_wonly,200,0.01,0.048344310353718105,4.446524016856236,0.4296663555234895,0.05200844372451413,0.01087238260053261,0.052008443724514145,0.010872382600532627,0.025283856767453136,0.0005666354521410896,6,0,-0.36890166997909546,1.0
LR_a0p1_q0,200000,pos,0,2,32,sgd_wonly,200,0.01,0.005433938650047955,0.0076002484344774544,0.9999711214163852,0.7150095913239644,0.7149685562116178,0.7150095913239626,0.714968556211616,0.0016764170893840866,3.757011298383045e-05,6,0,-0.09499046206474304,1.0
LR_a0p1_q0,200000,pos,0,5,39,sgd_wonly,200,0.01,0.007011773605790672,0.013693572644882652,0.9999103666359259,0.5134738375311652,0.5120485199610053,0.5134738375311639,0.512048519961004,0.0033417834386209482,7.489256829433192e-05,6,0,-0.13411523401737213,1.0
LR_a0p1_q0,200000,pos,0,7,49,sgd_wonly,200,0.01,0.05194574486723327,10.004718347429392,0.9487144007189525,0.0568456487610075,0.005192124661918163,0.0568456487610075,0.005192124661918164,0.05358007344872595,0.0013501307876333832,6,0,0.5377517342567444,1.0
LR_a0p1_q0,200000,pos,0,1,22,sgd_wonly,500,0.01,0.039961735120932415,5.211088772553266,0.46497208504333415,0.042946477983237884,0.007668596115923093,0.042946477983237905,0.0076685961159230955,0.025283856767453136,0.0005666354521410896,6,0,-0.36890166997909546,1.0
LR_a0p1_q0,200000,pos,0,2,32,sgd_wonly,500,0.01,0.008716583755299807,0.020164506244600807,0.9998303111318546,0.4286551226891999,0.4322736024163119,0.4286551226891988,0.43227360241631085,0.0016764170893840866,3.757011298383045e-05,6,0,-0.09499046206474304,1.0
LR_a0p1_q0,200000,pos,0,5,39,sgd_wonly,500,0.01,0.011703303084001858,0.06231782302908662,0.998056743820402,0.18760063460913043,0.18780025545082635,0.18760063460912998,0.18780025545082588,0.0033417834386209482,7.489256829433192e-05,6,0,-0.13411523401737213,1.0
LR_a0p1_q0,200000,pos,0,7,49,sgd_wonly,500,0.01,0.03541167648872063,10.228895056549344,0.9473519497277657,0.038673985012831716,0.003461925876934996,0.038673985012831716,0.0034619258769349962,0.05358007344872595,0.0013501307876333832,6,0,0.5377517342567444,1.0
LR_a0p1_q0,200000,pos,0,1,22,sgd_wonly,1000,0.01,0.02890608815666015,5.004396181624705,0.48388465835888483,0.03125566130237759,0.005776139040070091,0.031255661302377606,0.0057761390400700935,0.025283856767453136,0.0005666354521410896,6,0,-0.36890166997909546,1.0
LR_a0p1_q0,200000,pos,0,2,32,sgd_wonly,1000,0.01,0.007283883330339895,0.03894551158167463,0.9992440911358288,0.18644728766646554,0.18702754270063934,0.18644728766646507,0.18702754270063884,0.0016764170893840866,3.757011298383045e-05,6,0,-0.09499046206474304,1.0
LR_a0p1_q0,200000,pos,0,5,39,sgd_wonly,1000,0.01,0.01228559868309842,0.33732221522853245,0.9475105006914785,0.03842554058287111,0.03642095933342264,0.03842554058287103,0.036420959333422556,0.0033417834386209482,7.489256829433192e-05,6,0,-0.13411523401737213,1.0
LR_a0p1_q0,200000,pos,0,7,49,sgd_wonly,1000,0.01,0.018458890605326825,10.477630978811506,0.9603291070999684,0.020144204224546693,0.0017617427682512872,0.020144204224546696,0.0017617427682512876,0.05358007344872595,0.0013501307876333832,6,0,0.5377517342567444,1.0
LR_a0p1_q0,200000,pos,0,1,22,sgd_wonly,2000,0.01,0.015585867654010942,4.756086477049932,0.538559174403799,0.017104209661005478,0.0032770362206867233,0.017104209661005485,0.0032770362206867246,0.025283856767453136,0.0005666354521410896,6,0,-0.36890166997909546,1.0
LR_a0p1_q0,200000,pos,0,2,32,sgd_wonly,2000,0.01,0.006833460064757385,0.18907926974934774,0.9836146970998938,0.037608509646591966,0.03614071534027044,0.03760850964659189,0.03614071534027035,0.0016764170893840866,3.757011298383045e-05,6,0,-0.09499046206474304,1.0
LR_a0p1_q0,200000,pos,0,5,39,sgd_wonly,2000,0.01,0.011052663206633416,1.24865161762851,0.6304157528860453,0.014237500591142161,0.008851678923561628,0.014237500591142161,0.00885167892356163,0.0033417834386209482,7.489256829433192e-05,6,0,-0.13411523401737213,1.0
LR_a0p1_q0,200000,pos,0,7,49,sgd_wonly,2000,0.01,0.005034706809591026,11.035251174347342,0.9571341087213306,0.005469653720728147,0.0004562385332283833,0.005469653720728148,0.0004562385332283834,0.05358007344872595,0.0013501307876333832,6,0,0.5377517342567444,1.0
LR_a0p1_q0,200000,pos,0,1,22,natural,1,0.01,0.009559045698433933,0.009806978493465021,0.9999528210490347,0.9733573683154884,0.974718737764511,0.973357368315492,0.9747187377645147,0.025283856767453136,0.0005666354521410896,6,0,-0.36890166997909546,1.0
LR_a0p1_q0,200000,pos,0,2,32,natural,1,0.01,0.0007074929891694095,0.0007086809134785419,0.9999997950025512,0.9980203571948544,0.9983237529238631,0.9980203571948518,0.9983237529238604,0.0016764170893840866,3.757011298383045e-05,6,0,-0.09499046206474304,1.0
LR_a0p1_q0,200000,pos,0,5,39,natural,1,0.01,0.0012077139015915016,0.0012117629399064718,0.999999288222786,0.9968688356922606,0.9966585557441765,0.9968688356922581,0.9966585557441738,0.0033417834386209482,7.489256829433192e-05,6,0,-0.13411523401737213,1.0
LR_a0p1_q0,200000,pos,0,7,49,natural,1,0.01,0.022917693346803932,0.0242150789064144,0.9997615951141201,0.93628790726972,0.9464224104069799,0.9362879072697198,0.9464224104069798,0.05358007344872595,0.0013501307876333832,6,0,0.5377517342567444,1.0
LR_a0p1_q0,200000,pos,0,1,22,natural,2,0.01,0.05162314710057136,0.05433576522091674,0.9999996247573159,1.0016929765680649,0.9500767476207156,1.0016929765680689,0.950076747620719,0.025283856767453136,0.0005666354521410896,6,0,-0.36890166997909546,1.0
LR_a0p1_q0,200000,pos,0,2,32,natural,2,0.01,0.0027805074164010918,0.002789852540232613,0.9999998695014722,0.9993836765983228,0.9966503162096365,0.9993836765983205,0.9966503162096341,0.0016764170893840866,3.757011298383045e-05,6,0,-0.09499046206474304,1.0
LR_a0p1_q0,200000,pos,0,5,39,natural,2,0.01,0.004362262008754947,0.00439156128055938,0.9999991992763847,0.9975047052329881,0.9933282789576146,0.9975047052329856,0.993328278957612,0.0033417834386209482,7.489256829433192e-05,6,0,-0.13411523401737213,1.0
LR_a0p1_q0,200000,pos,0,7,49,natural,2,0.01,0.06108799079107066,0.06820020516101605,0.9998387769036031,0.9545039326106027,0.8957156455298935,0.9545039326106024,0.8957156455298932,0.05358007344872595,0.0013501307876333832,6,0,0.5377517342567444,1.0
LR_a0p1_q0,200000,pos,0,1,22,natural,5,0.01,0.0959962202427475,0.10910808513945915,0.9999363161651701,0.9752521166693359,0.8798268260326225,0.9752521166693395,0.8798268260326259,0.025283856767453136,0.0005666354521410896,6,0,-0.36890166997909546,1.0
LR_a0p1_q0,200000,pos,0,2,32,natural,5,0.01,0.007453138641708979,0.007515920469470893,0.9999998661394988,0.9990821446056002,0.9916468211688869,0.9990821446055974,0.9916468211688845,0.0016764170893840866,3.757011298383045e-05,6,0,-0.09499046206474304,1.0
