arm,step,group,rank,seed,unit,mode,t,rel_err,rel_err_vs_pred,cos,surv_emp,surv_pred,surv_PA_emp,surv_PA_pred,eta_lam_max,eta_lam_min_pos,rank_HA,gate_mismatch,v_u,k_u
LR_a0p1_q0,200000,pos,0,1,22,fullbatch_wonly,1,1.4213013830068762e-14,1.4394975524004958e-14,0.9999999999999999,0.9873593606579788,0.9873593606579769,0.9873593606579822,0.9873593606579806,0.012641928383726568,0.0002833177260705448,6,0,-0.36890166997909546,1.0
LR_a0p1_q0,200000,pos,0,2,32,fullbatch_wonly,1,9.58064752465847e-15,9.5886840267749e-15,1.0,0.9991618764270466,0.9991618764270479,0.9991618764270439,0.9991618764270455,0.0008382085446920433,1.8785056491915225e-05,6,0,-0.09499046206474304,1.0
LR_a0p1_q0,200000,pos,0,5,39,fullbatch_wonly,1,6.2930657482876736e-15,6.303597308672692e-15,1.0,0.9983292777331249,0.9983292777331242,0.9983292777331225,0.9983292777331217,0.0016708917193104741,3.744628414716596e-05,6,0,-0.13411523401737213,1.0
LR_a0p1_q0,200000,pos,0,7,49,fullbatch_wonly,1,6.943923456816021e-15,7.135063326368309e-15,1.0000000000000002,0.973211188070903,0.9732111880709016,0.9732111880709028,0.9732111880709016,0.026790036724362976,0.0006750653938166916,6,0,0.5377517342567444,1.0
LR_a0p1_q0,200000,pos,0,1,22,fullbatch_wonly,2,1.1739292585031303e-14,1.2041800197417106e-14,1.0000000000000002,0.9748785391364768,0.9748785391364749,0.9748785391364805,0.9748785391364787,0.012641928383726568,0.0002833177260705448,6,0,-0.36890166997909546,1.0
LR_a0p1_q0,200000,pos,0,2,32,fullbatch_wonly,2,1.1999412442117277e-14,1.2019551736588856e-14,0.9999999999999999,0.9983244554445148,0.9983244554445178,0.9983244554445124,0.9983244554445152,0.0008382085446920433,1.8785056491915225e-05,6,0,-0.09499046206474304,1.0
LR_a0p1_q0,200000,pos,0,5,39,fullbatch_wonly,2,1.0620349683922226e-14,1.0655926120081117e-14,1.0,0.9966613473331221,0.9966613473331194,0.9966613473331196,0.9966613473331171,0.0016708917193104741,3.744628414716596e-05,6,0,-0.13411523401737213,1.0
LR_a0p1_q0,200000,pos,0,7,49,fullbatch_wonly,2,8.971715655267305e-15,9.47242739625928e-15,1.0000000000000002,0.9471400814125354,0.9471400814125311,0.9471400814125351,0.947140081412531,0.026790036724362976,0.0006750653938166916,6,0,0.5377517342567444,1.0
LR_a0p1_q0,200000,pos,0,1,22,fullbatch_wonly,5,2.5744329360546282e-14,2.7435014699624413e-14,1.0,0.9383749067536934,0.938374906753694,0.938374906753697,0.9383749067536974,0.012641928383726568,0.0002833177260705448,6,0,-0.36890166997909546,1.0
LR_a0p1_q0,200000,pos,0,2,32,fullbatch_wonly,5,2.028323789984322e-14,2.0368451308879715e-14,0.9999999999999999,0.995816402153299,0.9958164021532974,0.9958164021532967,0.9958164021532947,0.0008382085446920433,1.8785056491915225e-05,6,0,-0.09499046206474304,1.0
LR_a0p1_q0,200000,pos,0,5,39,fullbatch_wonly,5,1.0966236354063305e-14,1.1058304917591399e-14,1.0000000000000002,0.9916742607285447,0.9916742607285467,0.9916742607285423,0.9916742607285444,0.0016708917193104741,3.744628414716596e-05,6,0,-0.13411523401737213,1.0
LR_a0p1_q0,200000,pos,0,7,49,fullbatch_wonly,5,2.1943996855352602e-14,2.513506158975397e-14,1.0,0.8730432896292437,0.8730432896292496,0.8730432896292437,0.8730432896292495,0.026790036724362976,0.0006750653938166916,6,0,0.5377517342567444,1.0
