arm,step,group,rank,seed,unit,ok,eps,qdir,freeze_others,t,q_NA0,q_mu,q_mu0,q_PA,q_PA0,q_NA_dev,dW_other,db,dv,dv_u,dc,dyhat_rms,dyhat_rms0,gate_mismatch_sup,gate_mismatch_stream,gn_q_mu,gn_q_PA,v_u,k_u,ntk_J2_mean,ntk_J2_max,ntk_Jv2_mean,ntk_JW2_mean,ntk_share_mean,ntk_K_cond
LR_a0p1_q0,200000,pos,0,0,62,False,0.01,munull,False,1,0.007071067811865475,0.0070470842788852624,0.007071067811865473,0.007047090100323734,0.007071067811865495,6.090549422971592e-17,0.00041712177366863687,0.00013250072788101983,0.00012923318597445513,-1.03969113640634e-05,4.118120785887025e-05,0.001877614730470696,0.004118120785886334,0,0,0.007001249927038879,0.007001262031536934,-1.973811149597168,1.0,122.41365215825952,213.18166116038162,15.889053721555213,96.27622637807977,0.0038098217266334337,1606.60387275728
LR_a0p1_q0,200000,pos,0,1,22,True,0.01,munull,False,1,0.007071067811865474,0.0069767080491986,0.007071067811865487,0.006976788860224083,0.0070710678118655135,1.2694327931913487e-16,0.0007295631419261323,0.00022155619769680568,0.0003791526018991203,0.00010945688841840218,8.168379769135647e-05,0.003991974281497049,0.00816837976914023,0,0,0.006715952656551238,0.0067160674061103424,-0.36890166997909546,1.0,114.23519103058557,178.03307665638027,13.961222418823384,90.65803455030539,0.015359169830201679,583.7888719830677
LR_a0p1_q0,200000,pos,0,2,32,True,0.01,munull,False,1,0.007071067811865475,0.007064067973088959,0.00707106781186548,0.007064068344978735,0.00707106781186546,8.363876795842378e-17,0.00021825155673598062,6.265615782859972e-05,0.0001187943744939749,6.71434281834804e-06,2.2247771722327947e-05,0.0004908586041038323,0.002224777172231002,0,0,0.007056196150625664,0.0070561966424034445,-0.09499046206474304,1.0,119.9595452988078,163.66903614412882,21.42243647719253,89.07919137189468,0.000897636766421136,909.4244774080943
LR_a0p1_q0,200000,pos,0,3,62,False,0.01,munull,False,1,0.007071067811865474,0.007071063132817942,0.007071067811865473,0.007071063132818187,0.007071067811865477,1.0371809153663645e-16,4.770274135277152e-06,1.6633672516192615e-06,1.7752635410945017e-06,-4.436056383824716e-07,5.752031149164338e-07,3.4383135731410025e-05,5.752031149181511e-05,0,0,0.007071051974903583,0.007071051974903938,-0.030498094856739044,1.0,134.80824777911522,217.38186820766123,17.328097269316345,106.26089715872851,8.238233093449245e-07,566.8296853687732
LR_a0p1_q0,200000,pos,0,4,62,False,0.01,munull,False,1,0.007071067811865474,0.007057175959180815,0.007071067811865473,0.007057177972959893,0.00707106781186547,1.0821610030940813e-16,0.0003757530192801988,0.00012170799870110343,7.536907649631611e-05,-4.448582914345911e-06,-3.134170262847347e-05,0.0014749593196903038,0.003134170262846688,0,0,0.006779841415416675,0.006780275643238871,0.15365590155124664,1.0,119.20813800185391,178.02931008911526,8.831441670482665,99.82985868641467,0.0005619291424874417,772.7905975078579
LR_a0p1_q0,200000,pos,0,5,39,True,0.01,munull,False,1,0.007071067811865476,0.007059994993231138,0.007071067811865477,0.0070599962318154425,0.007071067811865458,6.499798885460331e-17,0.00029486474619979275,9.356407468752988e-05,0.00011887552010313125,2.8375075087905266e-05,2.7981538812532625e-05,0.0010873469276235493,0.002798153881254896,0,0,0.007037417386347506,0.007037419572586644,-0.13411523401737213,1.0,112.96700927470854,176.7915674590476,17.73785292820084,86.0142917711404,0.0019027137192962626,753.6696801153792
LR_a0p1_q0,200000,pos,0,6,62,False,0.01,munull,False,1,0.007071067811865475,0.007062753696426022,0.0070710678118654745,0.007062754323714163,0.007071067811865478,1.0616953934215065e-16,0.00023128481587454943,6.99375732607565e-05,5.494879672510944e-05,6.33928203574996e-06,-2.424658204114305e-05,0.0012843931287775446,0.0024246582041190174,0,0,0.007034829219502997,0.007034829890926518,1.1005325317382812,1.0,83.9831751919354,119.04249082962255,7.835758875530578,68.53450756577394,0.0017626072768968562,720.7598598724375
LR_a0p1_q0,200000,pos,0,7,49,True,0.01,munull,False,1,0.0070710678118654745,0.0068449949932911465,0.007071067811865473,0.006845389823500565,0.007071067811865471,7.514413095969592e-17,0.0010080501851265507,0.0002962131373738025,0.00046261105234465886,-0.00018145622401266603,-0.000126434814452292,0.0039745343194757836,0.012643481445228784,0,0,0.006456034417799064,0.006456953391845528,0.5377517342567444,1.0,101.41635525032727,133.91514577110155,17.771625530320584,75.38605464971991,0.033859599390416995,1480.2762150850003
LR_a0p1_q0,200000,pos,0,8,62,False,0.01,munull,False,1,0.0070710678118654745,0.007070558290033431,0.007071067811865476,0.007070558292053411,0.007071067811865482,1.0570010038012306e-16,7.167191161992393e-05,2.0692764304048505e-05,2.5857858336822957e-05,6.03642767105228e-07,6.002385713799185e-06,0.00020032354491959661,0.0006002385713814902,0,0,0.007069373461015852,0.0070693734750325535,-0.2582041621208191,1.0,114.46931503465329,182.53139950145942,16.566527136374173,88.43059013244938,7.679009812608762e-05,1022.9057309516882
LR_a0p1_q0,200000,pos,0,9,62,False,0.01,munull,False,1,0.007071067811865474,0.0070627005155784114,0.007071067811865475,0.007062701143274618,0.007071067811865498,6.417717001050683e-17,0.00021040753706828914,6.335989474270269e-05,6.248835389963506e-05,-1.1568079909540785e-06,2.4324004490955398e-05,0.009980431508003457,0.0024324004490950003,0,0,0.0025973825750743315,0.002881320779702201,-1.098524570465088,1.0,91.26970160683958,128.87573978632324,8.61958800073943,74.48888673654638,0.025090426003635345,806.8201190211656
