arm,step,group,rank,seed,unit,ok,eps,rel_err_wu,rel_err_W_other,rel_err_b,rel_err_v,rel_err_c,lambda_x,dyhat1
LR_a0p1_q0,200000,pos,0,0,62,False,0.01,2.0216192628126648e-14,0.059087223585941324,1.0,1.0,1.0,0.0038755903624594235,-0.005823902266891005
LR_a0p1_q0,200000,pos,0,1,22,True,0.01,1.521211412285658e-14,0.10400296272506233,1.0,1.0,1.0,0.015034466666223434,-0.011551833452132109
LR_a0p1_q0,200000,pos,0,2,32,True,0.01,9.58259167888429e-15,0.030881278760677398,1.0,1.0,1.0,0.001096078184413812,-0.003146310050227145
LR_a0p1_q0,200000,pos,0,3,62,False,0.01,1.0784595629959184e-14,0.0006746189307277158,1.0,1.0,1.0,7.649909302055152e-07,-8.134600462364994e-05
LR_a0p1_q0,200000,pos,0,4,62,False,0.01,7.214465814346735e-15,0.0531687783927354,1.0,1.0,1.0,0.0022539574259827807,0.004432386092504234
LR_a0p1_q0,200000,pos,0,5,39,True,0.01,6.570459037898425e-15,0.041729187520326796,1.0,1.0,1.0,0.001789298900199236,-0.003957187168477589
LR_a0p1_q0,200000,pos,0,6,62,False,0.01,2.291373470112227e-14,0.03272956881766756,1.0,1.0,1.0,0.001326513208577147,0.0034289845163843076
LR_a0p1_q0,200000,pos,0,7,49,True,0.01,1.091732547787586e-14,0.14568853288026162,1.0,1.0,1.0,0.035352894483248784,0.017880582935455133
LR_a0p1_q0,200000,pos,0,8,62,False,0.01,1.4837147734781454e-14,0.010136148621497669,1.0,1.0,1.0,7.998559767846924e-05,-0.0008488655283071546
LR_a0p1_q0,200000,pos,0,9,62,False,0.01,1.534921231685248e-14,0.029778157656951073,1.0,1.0,1.0,0.001333172462057983,-0.0034399337042325564
LR_a0p1_q0,200000,pos,1,0,74,False,0.01,8.230210902627259e-15,0.010151483973550203,1.0,1.0,1.0,0.00011434305629601684,0.001000345546137128
LR_a0p1_q0,200000,pos,1,1,63,False,0.01,6.514716882729483e-15,0.00901225108508024,1.0,1.0,1.0,0.00011258969477492905,-0.0009996690040505224
LR_a0p1_q0,200000,pos,1,2,51,True,0.01,5.497155800180588e-15,0.05173332794614469,1.0,1.0,1.0,0.0030766614973882296,-0.005271334900884065
LR_a0p1_q0,200000,pos,1,3,74,False,0.01,1.233845120171217e-14,0.0355001307820376,1.0,1.0,1.0,0.0021197928508280713,0.004282080185423744
LR_a0p1_q0,200000,pos,1,4,74,False,0.01,5.4844761036999275e-15,0.020671948181298094,1.0,1.0,1.0,0.0003405834732120256,0.001722965233608341
LR_a0p1_q0,200000,pos,1,5,65,True,0.01,8.52024517274564e-15,0.04198731357847501,1.0,1.0,1.0,0.0018115085829653998,-0.003981670731304275
LR_a0p1_q0,200000,pos,1,6,74,False,0.01,1.3834999454541129e-14,0.040853943982089455,1.0,1.0,1.0,0.0020670058375927493,0.004280362851618962
LR_a0p1_q0,200000,pos,1,7,62,False,0.01,1.0528242707951008e-14,0.028282953930940435,1.0,1.0,1.0,0.0013186817689153961,-0.0034533387816571555
LR_a0p1_q0,200000,pos,1,8,74,False,0.01,1.3788893108559604e-14,0.03573746122833511,1.0,1.0,1.0,0.0009944579216309938,0.0029931343169379864
LR_a0p1_q0,200000,pos,1,9,74,False,0.01,7.867083066741711e-15,0.015441561440009502,1.0,1.0,1.0,0.0003584082532291385,0.0017835936048481366
LR_a0p1_q0,200000,pos,2,0,73,False,0.01,1.1422083893037793e-14,0.010441197364554925,1.0,1.0,1.0,0.00012096276085950505,0.0010288948418620458
LR_a0p1_q0,200000,pos,2,1,74,False,0.01,1.1298165460127676e-14,0.014653270343321888,1.0,1.0,1.0,0.00029765652009397964,-0.0016254162813665988
LR_a0p1_q0,200000,pos,2,2,74,False,0.01,1.2129113492948721e-14,0.02169801130225747,1.0,1.0,1.0,0.0005410859727195582,0.0022106189481508032
LR_a0p1_q0,200000,pos,2,3,73,False,0.01,9.21258590433332e-15,0.0024793348551997085,1.0,1.0,1.0,1.0332631358167722e-05,-0.00029896032128168845
LR_a0p1_q0,200000,pos,2,4,73,False,0.01,1.526728091266184e-14,0.028051230594407034,1.0,1.0,1.0,0.0006271772088923089,0.0023380826719364757
LR_a0p1_q0,200000,pos,2,5,83,True,0.01,1.1907294700226018e-14,0.1347112140620962,1.0,1.0,1.0,0.018686266280413436,-0.0127881114136764
LR_a0p1_q0,200000,pos,2,6,73,False,0.01,1.6648128858315905e-14,0.020345723834758776,1.0,1.0,1.0,0.000512543138906175,-0.0021314490060361582
LR_a0p1_q0,200000,pos,2,7,74,False,0.01,1.251733296171082e-14,0.004311933842381967,1.0,1.0,1.0,3.0638889972316376e-05,-0.0005263876584728824
LR_a0p1_q0,200000,pos,2,8,73,False,0.01,1.434840652138989e-14,0.0019018695397936998,1.0,1.0,1.0,2.8159253031512843e-06,0.00015927351536429326
LR_a0p1_q0,200000,pos,2,9,73,False,0.01,6.755617400055912e-15,0.011335426829873043,1.0,1.0,1.0,0.0001931324394802372,0.001309285983781288
