arm,iv,seed,task,step,CE_before,CE_after,CE_improvement,acc_before,acc_after,logit_change_rms,credit_D_only,credit_N_only,credit_both,credit_rest,credit_downstream
SNA,none,0,21,20,3.9660667153101863,1.0533197093451339,2.9127470059650524,0.072265625,0.626953125,2.671925932457336,0.33476618106729245,0.6342840828283659,0.040567145791936224,1.1096122816826162,0.7935173145948416
SNA,none,0,21,300,3.9660667153101863,0.32188122584131,3.6441854894688763,0.072265625,0.888671875,4.344351243464417,0.4303615644945635,0.8535378951606597,0.06328736367674283,1.3622297801397247,0.9347688859971853
SNA,none,0,21,625,3.9660667153101863,0.20177226358402203,3.764294451726164,0.072265625,0.9296875,4.661371483144618,0.415691828771611,0.8324471997791884,0.07969644061657846,1.5013975223402456,0.9350614602185414
SNA,none,0,22,20,4.424668560534465,1.2032278104849854,3.2214407500494793,0.068359375,0.572265625,2.4743007464665663,0.44617910519611503,0.7511005858011617,0.2046757188649131,1.0187278546352538,0.8007574855520356
SNA,none,0,22,300,4.424668560534465,0.3603854377762701,4.064283122758194,0.068359375,0.8671875,4.599391106185447,0.6033344680277708,0.8479839978465842,0.11817309955176349,1.7011519149631948,0.793639642368881
SNA,none,0,22,625,4.424668560534465,0.24762787692765337,4.177040683606811,0.068359375,0.9140625,5.076398879252883,0.7049505693266963,0.9401259786873264,0.15594544820818262,1.673336067261792,0.7026826201228142
SNA,none,0,23,20,4.026579711599095,1.2660825514096463,2.760497160189449,0.060546875,0.57421875,2.3908139270003645,0.2039118549980908,0.8091026651135442,0.0,1.065554275092496,0.6819283649853177
SNA,none,0,23,300,4.026579711599095,0.300616025682547,3.725963685916548,0.060546875,0.90625,4.8955079953011165,0.4262048245071119,1.0503031561601974,0.0,1.4464707709964066,0.8029849342528322
SNA,none,0,23,625,4.026579711599095,0.22733548295772157,3.7992442286413737,0.060546875,0.921875,5.342061985972264,0.49023119194280373,0.9574161336319992,0.0,1.518002852956002,0.8335940501105691
SNA,none,0,24,20,5.331230797320237,1.2323004917028983,4.098930305617339,0.12109375,0.591796875,3.3147903021007163,0.2834234520442906,0.786977762236458,0.033188078062705934,1.752162212449848,1.2431788008240363
SNA,none,0,24,300,5.331230797320237,0.28430210536982664,5.04692869195041,0.12109375,0.91796875,5.2387166072868405,0.6097886909256403,0.8405248606962952,0.12347043431109095,2.2183890994378026,1.254755606579582
