arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,hit99,hit999,acc_at_hit_plus_500,min_correct_after_hit
LR,std,0,0,0.001,20,none,0.9731208333,1,1,0,0,-12.51353836,63.40533829,-31.25985718,0.4675001204,78.52278022,0,0,-135.9349823,99.63541412,-231.6929474,0.1509999633,82.82045786,18.00683594,3.104676723,0.957192421,2400,2800,1200,840
LR,std,0,0,0.001,21,none,0.9710916667,1,1,0,0,-12.90618515,62.22949982,-28.84752083,0.4705000818,78.10704942,0,0,-138.8997498,101.0552063,-245.2503967,0.1464999616,83.43554509,18.47881317,3.168827534,0.9770071507,2400,3100,1199,808
LR,std,0,0,0.001,22,none,0.97075625,1,1,0,0,-13.31463432,65.08316803,-29.06154442,0.4675001204,77.95874288,0,0,-150.638031,106.6768646,-244.8025513,0.1464999616,81.22504235,18.93357086,3.219191074,1.00276196,2600,2900,1199,968
LR,std,0,0,0.001,23,none,0.9718416667,0.8875000477,0.8875000477,0,0,-12.43215084,65.51663971,-32.47885132,0.477250129,78.52602718,0,0,-146.4754181,110.9886017,-261.7856445,0.1524999589,78.52506652,19.16882515,3.234553099,1.062583447,2400,2800,1200,781
LR,std,0,0,0.001,24,none,0.9716583333,1,1,0,0,-13.71680069,68.19314575,-32.22079468,0.4720001221,77.95357538,0,0,-160.6681519,116.822403,-305.6554871,0.1397499591,79.32408814,19.67014313,3.298438787,1.092816472,2600,2900,1200,779
LR,std,0,0,0.001,25,none,0.9700625,1,1,0,0,-13.44100761,66.89502716,-32.29182053,0.4682501256,78.2950167,0,0,-174.0305481,117.7301025,-332.4472961,0.1329999566,80.10112425,20.20563698,3.371306658,1.125469327,2700,3100,1200,885
LR,std,0,0,0.001,26,none,0.9688958333,1,1,0,0,-14.57276249,70.99031067,-34.8793869,0.4690001607,78.35789744,0,0,-186.4192352,127.1997528,-355.0099182,0.1352499574,79.62840876,20.61670113,3.45638299,1.129815698,2800,3100,1200,787
LR,std,0,0,0.001,27,none,0.9688583333,1,1,0,0,-15.64426804,72.93894196,-35.53623962,0.4720001221,77.5404035,0,0,-194.1594391,134.9357605,-384.2748413,0.136749953,78.1812447,21.1422863,3.526398659,1.151441574,2900,3200,1200,762
LR,std,0,0,0.001,28,none,0.9687041667,1,1,0,0,-15.5955143,72.24795532,-37.81031418,0.4727501571,77.85736623,0,0,-199.5567169,137.5664978,-402.7689209,0.1329999566,78.09348359,21.58495522,3.602541685,1.177793145,2700,3300,1200,979
LR,std,0,0,0.001,29,none,0.9652291667,1,1,0,0,-14.83153057,73.06582642,-39.51953888,0.4660000801,78.28418782,0,0,-201.8170929,141.3680725,-445.043396,0.1427499354,78.61813028,21.97954178,3.666182756,1.197288513,3200,3600,1199,843
LR,std,0,0,0.001,30,none,0.9662645833,1,1,0,0,-14.83941078,74.26154327,-42.65493011,0.4727501571,78.4056919,0,0,-210.8138275,143.6614227,-408.2874146,0.1397499591,78.80796149,22.35908699,3.740971088,1.208004951,3100,3300,1200,934
LR,std,0,0,0.001,31,none,0.9676916667,1,1,0,0,-15.16473389,74.01413727,-39.51309967,0.4675001204,78.59425156,0,0,-199.229187,140.1179657,-422.758606,0.1419999599,80.30988495,22.76325417,3.731046915,1.18795383,2800,3600,1200,667
LR,std,0,0,0.001,32,none,0.9637208333,1,1,0,0,-15.41923332,72.85171509,-38.40832901,0.4652501047,78.73752471,0,0,-203.439209,140.4130554,-386.9445801,0.1412499547,80.59477087,23.00472832,3.778666735,1.169199347,3200,3600,1199,770
LR,std,0,0,0.001,33,none,0.9668666667,1,1,0,0,-13.84341145,72.8571701,-38.13285065,0.4765000939,79.22333841,0,0,-213.6598969,144.8828888,-368.9489441,0.1389999539,81.61537399,23.52888107,3.801979303,1.199221492,3000,3300,1200,937
LR,std,0,0,0.001,34,none,0.9670604167,1,1,0,0,-15.05060577,76.6739502,-41.33853912,0.4682500958,78.65396859,0,0,-215.2514343,145.0928955,-314.3718262,0.1442499608,82.24038726,23.70635986,3.825278521,1.176816702,2900,3200,1200,887
LR,std,0,0,0.001,35,none,0.96526875,1,1,0,0,-14.88546276,76.38024902,-41.02541733,0.4705000818,78.89825065,0,0,-213.9194794,148.2492676,-325.8554077,0.1389999688,81.98013027,23.99868202,3.891467571,1.200838327,3100,3400,1200,775
LR,std,0,0,0.001,36,none,0.9703291667,1,1,0,0,-16.12144661,78.39942932,-39.05161667,0.4652501047,78.46669977,0,0,-230.276413,153.5647583,-358.274292,0.1412499547,80.49045182,24.45845413,3.924718857,1.229272723,2800,3800,1200,975
LR,std,0,0,0.001,37,none,0.96625625,1,1,0,0,-16.48633957,79.75627136,-38.59602356,0.4682500958,78.56505687,0,0,-230.8109741,159.6687469,-381.1271973,0.1359999627,81.14312108,24.75144577,3.946460962,1.248979926,3000,3300,1200,617
LR,std,0,0,0.001,38,none,0.9661604167,1,1,0,0,-15.56943035,81.31084442,-41.97595215,0.4660000801,79.10289365,0,0,-228.2072449,156.9229584,-354.0718384,0.136749953,80.67494227,25.105299,3.947023392,1.239925504,2900,3500,1200,874
LR,std,0,0,0.001,39,none,0.9663875,1,1,0,0,-19.05693436,81.07878876,-40.86098099,0.4547501206,78.95196376,0,0,-224.0062256,158.4550781,-375.9630737,0.1374999583,81.3955625,25.30846596,3.991117954,1.225331783,2900,3500,1200,824
LR,std,0,0,0.001,40,none,0.9676833333,1,1,0,0,-17.99066544,79.92740631,-42.1898613,0.4727500975,79.23225351,0,0,-232.6646881,160.3369446,-385.2402039,0.1374999583,81.88775152,25.69053459,4.030314922,1.251622677,2800,3500,1200,720
LR,std,0,0,0.001,41,none,0.96736875,1,1,0,0,-17.19922447,81.347435,-38.76919937,0.463750124,78.40175821,0,0,-243.1560974,165.0537262,-470.7605896,0.1359999627,81.12560529,25.88710403,4.081439495,1.293315291,3000,3600,1200,791
LR,std,0,0,0.001,42,none,0.9629458333,1,1,0,0,-18.81860161,83.65398407,-48.09260559,0.4690001607,78.75554429,0,0,-237.7796936,165.8226471,-463.9289551,0.1359999478,80.74802179,26.27078819,4.043753147,1.2550807,3100,3600,1200,704
LR,std,0,0,0.001,43,none,0.9667083333,1,1,0,0,-19.57161331,83.7921524,-44.13182831,0.4525001049,78.5550455,0,0,-241.2342834,173.694458,-412.7131958,0.136749953,81.4487607,26.63207436,4.095143795,1.278671741,3200,3500,1200,758
LR,std,0,0,0.001,44,none,0.966825,1,1,0,0,-21.17261124,82.89309692,-45.53074265,0.45325014,78.35810137,0,0,-246.5008698,173.4289551,-438.1462097,0.1359999627,79.41425442,26.89818382,4.107440472,1.30360949,3100,3600,1200,901
LR,std,0,0,0.001,45,none,0.96089375,1,1,0,0,-20.05151939,84.47582245,-47.88047791,0.4630000889,78.56560827,0,0,-245.4683838,169.6768494,-413.2432556,0.1382499486,80.56939178,27.02222633,4.116138935,1.315457821,3500,3900,1179,789
LR,std,0,0,0.001,46,none,0.9587583333,1,1,0,0,-19.80927849,84.69750977,-47.41047668,0.4600001276,79.05938993,0,0,-256.230957,173.8887634,-446.7125244,0.1329999566,79.58941308,27.30705261,4.124722958,1.317852378,3700,4100,1200,781
LR,std,0,0,0.001,47,none,0.9624354167,1,1,0,0,-20.76134872,85.27707672,-49.31136322,0.4607501328,79.47370568,0,0,-251.8264618,170.6470184,-494.4634399,0.1359999478,80.75134407,27.55604553,4.136545181,1.349158764,3200,3600,1200,798
LR,std,0,0,0.001,48,none,0.9609541667,1,1,0,0,-20.14336014,84.10388947,-50.45785904,0.4615001678,79.27953582,0,0,-249.9243774,173.5644531,-433.8527832,0.1389999688,81.24687541,27.80308342,4.166138172,1.37671268,3500,3800,1200,896
LR,std,0,0,0.001,49,none,0.9642291667,1,1,0,0,-20.80609131,84.8441391,-45.26420593,0.4525001049,79.273686,0,0,-263.5708923,174.3970795,-404.5396423,0.1344999671,80.12090586,27.97846031,4.181448936,1.358565331,3100,3600,1200,880
