seed,arm,k,s,neffT2,zero2,gtr2,zarm2,dmean2,effbar2
0,NC_r,1,0,0.4012596682221319,0.0002,0.3088128763700525,-2.491853145367202,0.0,-2.491853145367202
0,NC_r,1,750,0.103661882146233,0.007816666666666666,0.038789981938898564,-6.160863363572458,0.0,-6.160863363572458
0,NC_r,1,1500,0.16876089716778636,0.003075,0.09505760716994603,-4.9041684619662975,0.0,-4.9041684619662975
0,NC_r,1,2250,0.2694963581907157,0.0006833333333333333,0.1812043529873093,-3.673948807389972,0.0,-3.673948807389972
0,NC_r,1,3000,0.32076953353162296,0.00038333333333333334,0.23012100999156634,-3.183307132263078,0.0,-3.183307132263078
0,NC_r,1,3750,0.3425018926109437,0.0003083333333333333,0.25168132728040216,-3.0119913190322927,0.0,-3.0119913190322927
0,NC_r,1,4500,0.3631600386423763,0.00025833333333333334,0.27263947251439097,-2.853029376359315,0.0,-2.853029376359315
0,NC_r,1,5250,0.29796950260558125,0.000675,0.21188712920794883,-3.4449109978550267,0.0,-3.4449109978550267
0,NC_r,1,6000,0.36505181977679746,0.00015833333333333332,0.27183492223620415,-2.7945794179944943,0.0,-2.7945794179944943
0,NC_r,2,0,0.36505181977679746,0.00015833333333333332,0.27183492223620415,-2.7945794179944943,0.0,-2.7945794179944943
0,NC_r,2,750,0.11630900137962788,0.004508333333333333,0.0542236696695288,-5.765800678588946,0.0,-5.765800678588946
0,NC_r,2,1500,0.23825980251197101,0.00048333333333333334,0.1541529353633523,-3.970468560321194,0.0,-3.970468560321194
0,NC_r,2,2250,0.29801703033735083,9.166666666666667e-05,0.20932892237305642,-3.315526580547231,0.0,-3.315526580547231
0,NC_r,2,3000,0.33484607163252006,1.6666666666666667e-05,0.2439617359181245,-2.9602642617581023,0.0,-2.9602642617581023
0,NC_r,2,3750,0.3622804996222942,2.5e-05,0.27152195293207965,-2.7406148565743274,0.0,-2.7406148565743274
0,NC_r,2,4500,0.3439769448936964,4.1666666666666665e-05,0.25150941347082456,-2.8697787567368245,0.0,-2.8697787567368245
0,NC_r,2,5250,0.367078691943387,1.6666666666666667e-05,0.2744441664045056,-2.6854384743264488,0.0,-2.6854384743264488
0,NC_r,2,6000,0.377889304656718,1.6666666666666667e-05,0.28606591594815256,-2.6045665655442667,0.0,-2.6045665655442667
0,NC_free_r,1,0,0.4012596682221319,0.0002,0.3088128763700525,-2.491853145367202,0.0,-2.491853145367202
0,NC_free_r,1,750,0.05499336500225025,0.044241666666666665,0.015974705216785273,-8.652708645439645,0.0,-8.652708645439645
0,NC_free_r,1,1500,0.08095865015131766,0.023283333333333333,0.042829706293841203,-7.285423558061849,0.0,-7.285423558061849
0,NC_free_r,1,2250,0.1396130748594818,0.014483333333333334,0.09268774452954531,-6.002010232967232,0.0,-6.002010232967232
0,NC_free_r,1,3000,0.1841746405254151,0.013333333333333334,0.13391653249561786,-5.448421292171255,0.0,-5.448421292171255
0,NC_free_r,1,3750,0.21064632914603254,0.013166666666666667,0.16062926964511473,-5.171072648074695,0.0,-5.171072648074695
0,NC_free_r,1,4500,0.2308513967588906,0.013083333333333334,0.18063939148535332,-4.959700318176501,0.0,-4.959700318176501
0,NC_free_r,1,5250,0.24085727854614827,0.014025,0.19165585416555406,-4.898513727331783,0.0,-4.898513727331783
0,NC_free_r,1,6000,0.24481922780071297,0.01545,0.19671798555950323,-4.912164655620201,0.0,-4.912164655620201
0,NC_free_r,2,0,0.24481922780071297,0.01545,0.19671798555950323,-4.912164655620201,0.0,-4.912164655620201
0,NC_free_r,2,750,0.008792090829304182,0.7004583333333333,0.0009155865281820297,-22.151344841850612,0.0,-22.151344841850612
0,NC_free_r,2,1500,0.011090340596691088,0.6246583333333333,0.002698150263230006,-20.269269722565262,0.0,-20.269269722565262
0,NC_free_r,2,2250,0.01823530663594622,0.46315,0.008966520150502522,-16.68495953210431,0.0,-16.68495953210431
0,NC_free_r,2,3000,0.028442383061008478,0.3540083333333333,0.01755164572894573,-14.572310587353197,0.0,-14.572310587353197
0,NC_free_r,2,3750,0.04608365279850823,0.26855833333333334,0.031871047319968544,-12.816242259357063,0.0,-12.816242259357063
0,NC_free_r,2,4500,0.061296328859791104,0.2118,0.04561141909162204,-11.571596091618016,0.0,-11.571596091618016
0,NC_free_r,2,5250,0.07778018198795411,0.18348333333333333,0.06034114165753126,-10.786776733015818,0.0,-10.786776733015818
0,NC_free_r,2,6000,0.10332730858027596,0.15215833333333334,0.08307143441985052,-9.790380274780249,0.0,-9.790380274780249
0,SC_fix_r,1,0,0.004295208132812207,0.9644333333333334,0.003407557841638724,-2.491853145367202,-56.97513369051404,-59.466986835881244
0,SC_fix_r,1,750,0.004065491652762668,0.96745,0.0034072142109274864,-2.9688554897929156,-56.97513369051404,-59.94398918030696
0,SC_fix_r,1,1500,0.004643500546639508,0.9637083333333333,0.004033881308635076,-2.4515744457635718,-56.97513369051404,-59.42670813627761
0,SC_fix_r,1,2250,0.005159109452602705,0.9605,0.004540080500642458,-1.9533319576497656,-56.97513369051404,-58.92846564816381
0,SC_fix_r,1,3000,0.0056255788204194026,0.9582833333333334,0.00494243808289369,-1.5777296845123172,-56.97513369051404,-58.55286337502636
0,SC_fix_r,1,3750,0.006043454920111029,0.9565833333333333,0.00535053712973992,-1.3419171662003888,-56.97513369051404,-58.31705085671443
