arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,hit99,hit999,acc_at_hit_plus_500,min_correct_after_hit
LR,std,0,0,0.001,1,none,0.9822583333,1,1,0,0,-1.956481934,16.8210907,-8.773367882,0.4937501252,72.03502524,0,0,-7.564565659,13.2348814,-16.43795776,0.3617500961,76.07417549,3.653212309,0.9934191704,1.275191903,1600,1700,1200,883
LR,std,0,0,0.001,2,none,0.9786354167,1,1,0,0,-3.287904978,24.37611008,-10.1079607,0.4937501252,73.89307598,0,0,-23.99666595,21.85112953,-33.94071198,0.1974999756,78.80399888,5.596037388,1.273625255,1.330919743,1700,2700,1200,988
LR,std,0,0,0.001,3,none,0.9805916667,1,1,0,0,-3.552508116,28.03523827,-14.1614151,0.4930000901,75.74126168,0,0,-30.40924835,25.35634422,-46.34215164,0.1839999706,78.06071903,6.69399786,1.447059393,1.255162954,1700,1900,1200,599
LR,std,0,0,0.001,4,none,0.9848916667,1,1,0,0,-4.261982918,29.31520271,-12.17867851,0.491500169,76.7566249,0,0,-36.04185104,29.71512604,-52.35070801,0.1847499609,78.19183102,7.607647896,1.551602602,1.136573553,1200,1400,1200,639
LR,std,0,0,0.001,5,none,0.9865520833,1,1,0,0,-5.247793674,31.21814919,-12.15666199,0.4817501009,77.34304212,0,0,-36.71765518,32.03982162,-58.57092667,0.2019999623,79.77165452,8.439590454,1.667635202,1.102282166,1300,1300,1200,724
LR,std,0,0,0.001,6,none,0.98750625,1,1,0,0,-6.48549366,34.37621689,-14.17170906,0.4682501256,76.96391608,0,0,-41.04978561,36.01653671,-64.03691864,0.1862499714,77.70122238,9.187661171,1.780001879,1.061778545,1100,1200,1200,878
LR,std,0,0,0.001,7,none,0.98843125,1,1,0,0,-6.064748287,35.84462738,-15.60872078,0.4765000641,77.63024218,0,0,-45.19238663,40.06570816,-76.6601181,0.1929999888,80.44314376,9.858230591,1.867833614,0.974594295,900,1200,1200,653
LR,std,0,0,0.001,8,none,0.9882,1,1,0,0,-5.938808918,36.41716385,-16.07058716,0.4862501025,78.30128243,0,0,-46.15879059,41.11166,-69.12365723,0.1997499764,83.65280976,10.46385479,1.932051539,0.9478356838,1000,1300,1200,995
LR,std,0,0,0.001,9,none,0.99015,1,1,0,0,-7.41997242,38.16668701,-15.00964069,0.4765001535,79.23650074,0,0,-50.46011353,44.66350555,-77.98690033,0.1959999651,82.21658327,11.0127821,2.029580593,0.9539341927,900,1200,1200,730
LR,std,0,0,0.001,10,none,0.9898583333,1,1,0,0,-5.944038868,38.8121376,-16.98032188,0.4870001376,78.56748133,0,0,-53.18023682,47.76933289,-88.69149017,0.1869999468,82.64954603,11.58977699,2.102850437,0.9006541967,800,1000,1200,973
LR,std,0,0,0.001,11,none,0.9908291667,1,1,0,0,-7.087563515,38.70264435,-17.11228943,0.4765000939,77.47427531,0,0,-56.81954575,49.76311874,-93.15272522,0.1914999634,83.21711635,12.10245132,2.14053607,0.9025406241,700,1000,1200,797
LR,std,0,0,0.001,12,none,0.9922,1,1,0,0,-7.387023449,39.97712708,-16.9939537,0.4750001132,79.35665056,0,0,-51.90881348,49.69368362,-81.82052612,0.206499964,82.75092246,12.51601505,2.193300009,0.8860811591,600,800,1200,1019
LR,std,1,1,0.001,1,none,0.9817333333,1,1,0,0,-1.93086791,15.96608543,-7.461750031,0.5065000653,73.08196738,0,0,-6.360985279,11.92180729,-20.22499275,0.3595000803,75.45490492,3.580106497,0.9872994423,1.243994594,1500,1600,1200,815
LR,std,1,1,0.001,2,none,0.9810770833,1,1,0,0,-3.699411631,24.03171539,-12.05465889,0.491500169,74.43248415,0,0,-21.58727264,20.525383,-40.0097847,0.2139999717,74.92492111,5.297008991,1.238255978,1.317753673,1700,1800,1200,620
LR,std,1,1,0.001,3,none,0.9797104167,1,1,0,0,-4.898530483,28.28361702,-15.46656609,0.4810001254,75.30614196,0,0,-30.96945953,25.03173065,-47.78715515,0.1884999573,76.60686523,6.598442554,1.419040561,1.260769129,1800,2100,1200,602
LR,std,1,1,0.001,4,none,0.9847479167,1,1,0,0,-5.225677013,30.48269272,-14.70183277,0.4825001061,76.82801196,0,0,-33.65708923,28.15945625,-58.44034576,0.1832499504,76.672377,7.509632587,1.54778266,1.164826632,1300,1500,1200,639
LR,std,1,1,0.001,5,none,0.98533125,1,1,0,0,-6.378863811,33.08541107,-22.10541344,0.4877501428,75.83534673,0,0,-39.56715012,33.17058563,-66.47357178,0.1832499504,78.50158483,8.403446198,1.672087431,1.120466471,1200,1400,1200,822
