arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
LR,7,0.001,23,none,0.8238520833,1,1,0,0,-9.349035263,5.149261951,-16.30984306,0.1157500222,70.70033223,0,0,-12.06177902,5.554306507,-20.09253502,0.1097500101,49.28505352,36.85966492,5.57247448,11.55450726
LR,7,0.001,24,none,0.8244916667,1,1,0,0,-9.936875343,5.232893944,-17.08148956,0.1150000095,70.59599162,0,0,-12.08077431,5.604466915,-23.79295921,0.1097500101,48.26946685,37.59024429,5.590666294,11.58397865
LR,7,0.001,25,none,0.8232541667,1,1,0,0,-10.54488564,5.511291981,-15.77131367,0.1112500131,69.61824238,0,0,-13.03560829,5.765262127,-22.97948647,0.1075000092,47.8255557,38.7876091,5.674794674,11.5726099
LR,7,0.001,26,none,0.7967166667,1,1,0,0,-10.26092529,5.569012642,-20.6924839,0.1112500131,69.59186657,0,0,-12.64008999,5.661411285,-21.85247803,0.1090000123,47.24361752,40.07665634,5.641670227,11.49699688
LR,7,0.001,27,none,0.8245666667,1,1,0,0,-10.6001873,5.627930641,-18.20955658,0.1112500131,69.34344364,0,0,-12.44455433,5.640075207,-22.86586571,0.1097500101,48.53684801,41.17676926,5.692420483,11.66630363
LR,7,0.001,28,none,0.8076770833,1,1,0,0,-10.51343632,5.683739662,-15.86689091,0.1135000065,69.3877759,0,0,-12.73580933,5.66708374,-20.26374626,0.1060000136,44.59604989,41.98323441,5.691908836,11.37027454
LR,7,0.001,29,none,0.8035770833,1,1,0,0,-11.4910984,5.753320217,-16.81217384,0.1097500101,68.68213195,0,0,-12.89887238,5.867620945,-20.01380157,0.1075000092,47.18714806,43.00905228,5.671856403,11.36995602
LR,7,0.001,30,none,0.8265020833,1,1,0,0,-10.87450409,5.780199528,-16.23176193,0.1127500162,69.20820747,0,0,-12.62163258,6.073925018,-20.63879967,0.1090000123,50.54814109,43.75087357,5.671176434,11.27546692
LR,7,0.001,31,none,0.8223708333,1,1,0,0,-10.7798748,5.869303226,-18.96460724,0.1105000153,68.0719307,0,0,-12.9305706,6.120634079,-18.14554977,0.1075000092,47.26788078,44.94950104,5.689910889,10.99562263
LR,7,0.001,32,none,0.8223104167,1,1,0,0,-11.34184742,5.91423893,-18.81974792,0.1120000109,69.16212679,0,0,-13.07089329,5.8370924,-21.33285713,0.108250007,47.41556853,45.92778778,5.657631874,11.09295177
LR,7,0.001,33,none,0.8093083333,1,1,0,0,-11.07722187,5.988311291,-17.58132172,0.1150000095,70.21033983,0,0,-12.77340984,6.081421375,-20.84527969,0.1097500101,50.12259346,46.83290482,5.625339985,10.93421555
LR,7,0.001,34,none,0.81151875,1,1,0,0,-11.03336525,5.916043282,-20.01314735,0.1135000065,70.46374546,0,0,-13.27153015,6.161778927,-20.28928185,0.1075000241,47.3139872,47.85037613,5.593479156,10.85888481
LR,7,0.001,35,none,0.81513125,1,1,0,0,-11.54759693,6.149242878,-19.8522892,0.1120000109,70.38507091,0,0,-13.40632629,6.143663883,-21.09839821,0.1082500219,49.47398456,48.44395447,5.538693905,10.69600487
LR,7,0.001,36,none,0.8036791667,1,1,0,0,-11.66122055,6.356155396,-20.68929863,0.1120000184,70.37336572,0,0,-14.13172245,6.28990078,-22.79370499,0.1060000136,47.40404073,50.01451874,5.623624802,10.94813538
LR,7,0.001,37,none,0.81071875,1,1,0,0,-12.22929573,6.484705925,-17.84446144,0.1127500162,69.81934111,0,0,-14.30461597,6.46649313,-21.18885803,0.108250007,47.9929559,50.53459167,5.634683609,10.95359421
LR,7,0.001,38,none,0.8020666667,1,1,0,0,-12.07339668,6.41421175,-18.84976959,0.1142500043,70.21342266,0,0,-13.05691051,6.156979084,-20.07312202,0.1105000153,51.62905959,51.80532837,5.553871632,10.78739166
LR,7,0.001,39,none,0.8145520833,1,1,0,0,-12.1766777,6.520431519,-18.77214241,0.1105000079,70.30315771,0,0,-13.49423504,6.307919025,-19.83657646,0.1090000048,51.23907743,52.51616287,5.633863449,10.83452034
