step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,sign_match_mean,sign_clone_frac,eval_loss,w_D_all,w_D_alive,n_alive,w_paircos_all,w_paircos_alive,w_rnorm_mean,w_rnorm_alive
0,B_w100_K10000_c-1.5_lr0.01_s10,0,0,0,69.1498,25.7563,0.500952,0,2.16554,0.987351,0.987351,100,0.00267604,0.00267604,1.43203,1.43203
0,B_w100_K10000_c-1.5_lr0.01_s11,0,0,0,68.8345,26.3514,0.500279,0,2.03198,0.992094,0.992094,100,-0.00211473,-0.00211473,1.40575,1.40575
0,B_w100_K10000_c-1.5_lr0.01_s0_nfix,0,0,0,69.5675,26.6114,0.499269,0,1.78329,0.992556,0.992556,100,-0.00258192,-0.00258192,1.41336,1.41336
0,B_w100_K10000_c-1.5_lr0.01_s1_nfix,0,0,0,67.43,24.67,0.499096,0,1.94352,0.990621,0.990621,100,-0.000627489,-0.00062749,1.41918,1.41918
0,B_w100_K10000_c-1.5_lr0.01_s2_nfix,0,0,0,65.6048,23.5753,0.501164,0,2.02406,0.987408,0.987408,100,0.00261806,0.00261806,1.38728,1.38728
0,B_w100_K10000_c-1.5_lr0.01_s3_nfix,0,0,0,68.0921,25.3341,0.499702,0,5.01942,0.991761,0.991761,100,-0.00177899,-0.00177899,1.41181,1.41181
0,B_w100_K10000_c-1.5_lr0.01_s4_nfix,0,0,0,68.7515,26.3226,0.499933,0,1.60074,0.991452,0.991452,100,-0.00146686,-0.00146686,1.42256,1.42256
0,B_w100_K10000_c-1.5_lr0.01_s5_nfix,0,0,0,67.8477,25.4512,0.50328,0,1.91021,0.985189,0.985189,100,0.00485951,0.00485951,1.38656,1.38656
0,B_w100_K10000_c-1.5_lr0.01_s6_nfix,0,0,0,68.1947,24.8731,0.49974,0,1.4614,0.991718,0.991718,100,-0.00173556,-0.00173556,1.39933,1.39933
0,B_w100_K10000_c-1.5_lr0.01_s7_nfix,0,0,0,67.9084,25.8722,0.498268,0,5.59421,0.992286,0.992286,100,-0.00230946,-0.00230946,1.41063,1.41063
0,B_w100_K10000_c-1.5_lr0.01_s8_nfix,0,0,0,69.0798,24.9925,0.499875,0,6.78937,0.987708,0.987708,100,0.00231469,0.00231469,1.40873,1.40873
0,B_w100_K10000_c-1.5_lr0.01_s9_nfix,0,0,0,67.9975,24.3867,0.499288,0,3.85425,0.990647,0.990647,100,-0.000653747,-0.000653747,1.41344,1.41344
0,B_w100_K10000_c-1.5_lr0.01_s10_nfix,0,0,0,68.6119,26.1829,0.499538,0,1.81652,0.992718,0.992718,100,-0.0027454,-0.0027454,1.42811,1.42811
0,B_w100_K10000_c-1.5_lr0.01_s11_nfix,0,0,0,67.8846,24.8009,0.50101,0,5.48733,0.990518,0.990518,100,-0.000523312,-0.000523312,1.38969,1.38969
0,B_w100_K10000_c-1.25_lr0.01_s0,0,0,0,69.4648,26.2016,0.50176,0.00020202,1.46541,0.989963,0.989963,100,3.74245e-05,3.74256e-05,1.42198,1.42198
0,B_w100_K10000_c-1.25_lr0.01_s1,0,0,0,70.0051,25.5116,0.500693,0,1.90689,0.989368,0.989368,100,0.000637993,0.000637993,1.38664,1.38664
0,B_w100_K10000_c-1.25_lr0.01_s2,0,0,0,68.9261,26.2019,0.500318,0,2.98567,0.990745,0.990745,100,-0.000752509,-0.000752509,1.40462,1.40462
0,B_w100_K10000_c-1.25_lr0.01_s3,0,0,0,69.7421,25.7376,0.50077,0,2.45848,0.986284,0.986284,100,0.00375381,0.00375381,1.43636,1.43636
0,B_w100_K10000_c-1.25_lr0.01_s4,0,0,0,68.3435,25.0852,0.501183,0,0.879276,0.987671,0.987671,100,0.00235265,0.00235265,1.43849,1.43849
0,B_w100_K10000_c-1.25_lr0.01_s5,0,0,0,68.7534,25.3555,0.502251,0,1.54521,0.989428,0.989428,100,0.000577597,0.000577598,1.38543,1.38543
0,B_w100_K10000_c-1.25_lr0.01_s6,0,0,0,68.5776,25.7741,0.498201,0,3.4229,0.990595,0.990595,100,-0.000601283,-0.000601283,1.40879,1.40879
0,B_w100_K10000_c-1.25_lr0.01_s7,0,0,0,68.4339,25.4189,0.501847,0,1.34217,0.98451,0.98451,100,0.00554533,0.00554533,1.41105,1.41105
0,B_w100_K10000_c-1.25_lr0.01_s8,0,0,0,69.2893,26.3274,0.500375,0,1.48176,0.989408,0.989408,100,0.000597798,0.000597798,1.3878,1.3878
0,B_w100_K10000_c-1.25_lr0.01_s9,0,0,0,69.7756,25.2527,0.497778,0,3.42506,0.994082,0.994082,100,-0.0041231,-0.0041231,1.40729,1.40729
0,B_w100_K10000_c-1.25_lr0.01_s10,0,0,0,69.351,25.8144,0.499663,0,5.23999,0.991088,0.991088,100,-0.00109867,-0.00109867,1.40679,1.40679
0,B_w100_K10000_c-1.25_lr0.01_s11,0,0,0,69.0024,25.0847,0.502039,0,2.85329,0.986216,0.986216,100,0.00382271,0.00382271,1.42134,1.42134
0,B_w100_K10000_c-1.25_lr0.01_s0_nfix,0,0,0,68.5383,24.6407,0.499192,0,1.90867,0.993458,0.993458,100,-0.00349261,-0.00349261,1.42931,1.42932
0,B_w100_K10000_c-1.25_lr0.01_s1_nfix,0,0,0,70.0562,26.2842,0.499827,0,1.49656,0.98862,0.98862,100,0.00139365,0.00139365,1.39061,1.39061
0,B_w100_K10000_c-1.25_lr0.01_s2_nfix,0,0,0,68.8932,25.6349,0.498499,0,1.39635,0.994237,0.994237,100,-0.0042796,-0.0042796,1.42722,1.42722
0,B_w100_K10000_c-1.25_lr0.01_s3_nfix,0,0,0,69.43,26.5055,0.49797,0,2.69044,0.992678,0.992678,100,-0.00270476,-0.00270477,1.41905,1.41905
0,B_w100_K10000_c-1.25_lr0.01_s4_nfix,0,0,0,68.3551,25.3459,0.500087,0,2.81999,0.991073,0.991073,100,-0.00108424,-0.00108424,1.388,1.388
0,B_w100_K10000_c-1.25_lr0.01_s5_nfix,0,0,0,68.8486,26.1264,0.500115,0.00020202,4.12688,0.990802,0.990802,100,-0.000810082,-0.000810081,1.42454,1.42454
0,B_w100_K10000_c-1.25_lr0.01_s6_nfix,0,0,0,69.0779,26.0746,0.500875,0,1.13247,0.988047,0.988047,100,0.00197236,0.00197236,1.41166,1.41166
0,B_w100_K10000_c-1.25_lr0.01_s7_nfix,0,0,0,67.8796,25.1513,0.500827,0,2.62593,0.983606,0.983606,100,0.00645879,0.00645879,1.38293,1.38293
0,B_w100_K10000_c-1.25_lr0.01_s8_nfix,0,0,0,68.6819,25.418,0.499788,0,2.07198,0.9928,0.9928,100,-0.00282807,-0.00282807,1.4301,1.4301
0,B_w100_K10000_c-1.25_lr0.01_s9_nfix,0,0,0,68.8503,25.3046,0.50052,0,2.80814,0.9924,0.9924,100,-0.00242451,-0.00242451,1.41423,1.41423
0,B_w100_K10000_c-1.25_lr0.01_s10_nfix,0,0,0,67.8552,25.5163,0.500885,0,4.55061,0.989183,0.989183,100,0.000824963,0.000824962,1.4031,1.4031
0,B_w100_K10000_c-1.25_lr0.01_s11_nfix,0,0,0,70.2022,26.7083,0.499192,0,3.11512,0.991072,0.991072,100,-0.00108308,-0.00108308,1.4085,1.4085
0,B_w100_K10000_c-1.0_lr0.01_s0,0,0,0,70.0409,26.6491,0.499327,0,1.52188,0.992951,0.992951,100,-0.00298052,-0.00298052,1.42045,1.42045
0,B_w100_K10000_c-1.0_lr0.01_s1,0,0,0,69.2511,25.0595,0.5033,0,1.49948,0.980951,0.980951,100,0.00914026,0.00914026,1.41626,1.41626
0,B_w100_K10000_c-1.0_lr0.01_s2,0,0,0,69.9108,27.2633,0.499125,0,1.70918,0.99391,0.99391,100,-0.00394915,-0.00394915,1.39587,1.39587
0,B_w100_K10000_c-1.0_lr0.01_s3,0,0,0,69.3389,25.7322,0.500481,0,1.1261,0.991891,0.991891,100,-0.00191045,-0.00191045,1.39859,1.39859
0,B_w100_K10000_c-1.0_lr0.01_s4,0,0,0,69.368,25.569,0.499481,0,3.11174,0.987934,0.987934,100,0.00208645,0.00208645,1.41557,1.41557
0,B_w100_K10000_c-1.0_lr0.01_s5,0,0,0,69.4159,26.7753,0.500789,0,1.11536,0.991961,0.991961,100,-0.00198076,-0.00198076,1.4158,1.4158
